S. No.,STO Code,DDO Code,Head of Account,Balance
1,101,1010702001,8342001170004001000NVN,0
2,102,1020702001,8342001170004001000NVN,0
3,103,1030702001,8342001170004001000NVN,0
4,104,1040702001,8342001170004001000NVN,0
5,105,1050702001,8342001170004001000NVN,0
6,106,1060702001,8342001170004001000NVN,0
7,107,1070702001,8342001170004001000NVN,0
8,108,1080702001,8342001170004001000NVN,0
9,109,1090702001,8342001170004001000NVN,0
10,110,1100702001,8342001170004001000NVN,0
11,111,1110702001,8342001170004001000NVN,0
12,112,1120702001,8342001170004001000NVN,0
13,113,1130702001,8342001170004001000NVN,0
14,114,1140702001,8342001170004001000NVN,0
15,115,1150702001,8342001170004001000NVN,0
16,201,2010702002,8342001170004001000NVN,0
17,202,2020702001,8342001170004001000NVN,0
18,203,2030702001,8342001170004001000NVN,0
19,204,2040702001,8342001170004001000NVN,0
20,205,2050702001,8342001170004001000NVN,0
21,206,2060702001,8342001170004001000NVN,0
22,207,2070702001,8342001170004001000NVN,0
23,208,2080702001,8342001170004001000NVN,0
24,209,2090702001,8342001170004001000NVN,0
25,210,2100702001,8342001170004001000NVN,0
26,211,2110702001,8342001170004001000NVN,0
27,212,2120702001,8342001170004001000NVN,0
28,213,2130702001,8342001170004001000NVN,0
29,214,2140702001,8342001170004001000NVN,0
30,301,3010702001,8342001170004001000NVN,0
31,302,3020702001,8342001170004001000NVN,0
32,303,3030702001,8342001170004001000NVN,0
33,304,3040702001,8342001170004001000NVN,0
34,305,3050702001,8342001170004001000NVN,0
35,306,3060702001,8342001170004001000NVN,0
36,307,3070702001,8342001170004001000NVN,0
37,308,3080702001,8342001170004001000NVN,0
38,309,3090702001,8342001170004001000NVN,0
39,310,3100702001,8342001170004001000NVN,0
40,312,3120702001,8342001170004001000NVN,0
41,313,3130702001,8342001170004001000NVN,0
42,314,3140702001,8342001170004001000NVN,0
43,315,3150702001,8342001170004001000NVN,0
44,316,3160702001,8342001170004001000NVN,0
45,317,3170702001,8342001170004001000NVN,0
46,318,3180702001,8342001170004001000NVN,0
47,319,3190702001,8342001170004001000NVN,0
48,320,3200702001,8342001170004001000NVN,0
49,401,4010702001,8342001170004001000NVN,0
50,402,4020702001,8342001170004001000NVN,0
51,403,4030702001,8342001170004001000NVN,0
52,404,4040702001,8342001170004001000NVN,0
53,405,4050702001,8342001170004001000NVN,0
54,406,4060702001,8342001170004001000NVN,0
55,407,4070702001,8342001170004001000NVN,0
56,408,4080702001,8342001170004001000NVN,0
57,409,4090702001,8342001170004001000NVN,0
58,410,4100702001,8342001170004001000NVN,0
59,411,4110702001,8342001170004001000NVN,0
60,412,4120702001,8342001170004001000NVN,0
61,413,4130702001,8342001170004001000NVN,0
62,414,4140702001,8342001170004001000NVN,0
63,415,4150702001,8342001170004001000NVN,0
64,501,5010702001,8342001170004001000NVN,0
65,502,5020702001,8342001170004001000NVN,0
66,503,5030702001,8342001170004001000NVN,0
67,504,5040702001,8342001170004001000NVN,0
68,505,5050702001,8342001170004001000NVN,0
69,506,5060702001,8342001170004001000NVN,0
70,507,5070702001,8342001170004001000NVN,0
71,508,5080702001,8342001170004001000NVN,0
72,509,5090702001,8342001170004001000NVN,0
73,510,5100702001,8342001170004001000NVN,0
74,511,5110702001,8342001170004001000NVN,0
75,512,5120702001,8342001170004001000NVN,0
76,513,5130702001,8342001170004001000NVN,0
77,514,5140702001,8342001170004001000NVN,0
78,515,5150702001,8342001170004001000NVN,0
79,516,5160702001,8342001170004001000NVN,0
80,517,5170702001,8342001170004001000NVN,0
81,518,5180702001,8342001170004001000NVN,0
82,519,5190702001,8342001170004001000NVN,0
83,601,6010702001,8342001170004001000NVN,0
84,602,6020702001,8342001170004001000NVN,0
85,603,6030702001,8342001170004001000NVN,0
86,604,6040702001,8342001170004001000NVN,0
87,605,6050702001,8342001170004001000NVN,0
88,606,6060702001,8342001170004001000NVN,0
89,607,6070702001,8342001170004001000NVN,0
90,608,6080702001,8342001170004001000NVN,0
91,609,6090702001,8342001170004001000NVN,0
92,610,6100702001,8342001170004001000NVN,0
93,611,6110702001,8342001170004001000NVN,0
94,612,6120702001,8342001170004001000NVN,0
95,613,6130702001,8342001170004001000NVN,0
96,614,6140702001,8342001170004001000NVN,0
97,615,6150702001,8342001170004001000NVN,0
98,616,6160702001,8342001170004001000NVN,0
99,617,6170702001,8342001170004001000NVN,0
100,618,6180702001,8342001170004001000NVN,0
