Sno,"Account Name","DDO Code",HOA,Amount
1,MPDO," BURJA",01072202006,8448001200022000000NVN,300000
2,MPDO," MANDASA",01122202001,8448001200022000000NVN,125000
3,"E.E. (PRI) SRIKAKULAM",01012202010,8448001200022000000NVN,200000
4,MPDO," Laveru",01102202004,8448001200022000000NVN,200000
5,MPDO," Vajrapukotturu",01082202002,8448001200022000000NVN,75000
6,MPDO," Veeraghattam",01072202003,8448001200022000000NVN,50000
7,MPDO," Palakonda",01072202002,8448001200022000000NVN,50000
8,MPDO," Amadalavalasa",01022202001,8448001200022000000NVN,100000
9,"E.E. (PRI) Tekkali",01142203001,8448001200022000000NVN,150000
10,"E.E. (RWS) Palasa",01082203001,8448001200022000000NVN,75000
