Sno,"Account Name","DDO Code",HOA,Amount
1,C.P.O.,01072202006,8448001200022000000NVN,300000
2,C.P.O.,01122202001,8448001200022000000NVN,125000
3,C.P.O.,01012202010,8448001200022000000NVN,200000
4,C.P.O.,01102202004,8448001200022000000NVN,200000
5,C.P.O.,01082202002,8448001200022000000NVN,75000
6,C.P.O.,01072202003,8448001200022000000NVN,50000
7,C.P.O.,01072202002,8448001200022000000NVN,50000
8,C.P.O.,01022202001,8448001200022000000NVN,100000
9,C.P.O.,01142203001,8448001200022000000NVN,150000
10,C.P.O.,01082203001,8448001200022000000NVN,310000
