'Sno','Starting Leaf','Ending Leaf'
1,3876,3900
2,3901,3925
3,3926,3950
4,3951,3975
5,3976,4000
6,4001,4025
7,4026,4050
8,4051,4075
9,4076,4100
10,4101,4125
11,4126,4150
12,4151,4175
13,4176,4200
14,4201,4225
15,4226,4250
16,4251,4275
17,4276,4300
18,4301,4325
19,4326,4350
20,4351,4375
21,4376,4400
22,4401,4425
23,4426,4450
24,4451,4475
25,4476,4500
26,4501,4525
27,4526,4550
28,4551,4575
29,4576,4600
30,4601,4625
31,4626,4650
32,4651,4675
33,4676,4700
34,4701,4725
35,4726,4750
36,4751,4775
37,4776,4800
38,4801,4825
39,4826,4850
40,4851,4875
41,4876,4900
42,4901,4925
43,4926,4950
44,4951,4975
45,4976,5000
46,5001,5025
47,5026,5050
48,5051,5075
49,5076,5100
50,5101,5125
51,5126,5150
52,5151,5175
53,5176,5200
54,5201,5225
55,5226,5250
56,5251,5275
57,5276,5300
58,5301,5325
59,5326,5350
60,5351,5375
61,5376,5400
62,5401,5425
63,5426,5450
64,5451,5475
65,5476,5500
66,5501,5525
67,5526,5550
68,5551,5575
69,5576,5600
70,5601,5625
71,5626,5650
72,5651,5675
73,5676,5700
74,5701,5725
75,5726,5750
76,5751,5775
77,5776,5800
78,5801,5825
79,5826,5850
80,5851,5875
81,5876,5900
82,5901,5925
83,5926,5950
84,5951,5975
85,5976,6000
86,6001,6025
87,6026,6050
88,6051,6075
89,6076,6100
90,6101,6125
91,6126,6150
92,6151,6175
93,6176,6200
94,6201,6225
95,6226,6250
