Sno,Starting;Leaf,Ending;Leaf
000351;000375;25
000376;000400;25
000401;000421;25
000426;000450;25
000451;000475;25
000476;000500;25
000501;000525;25
000526;000550;25
000551;000575;25
000576;000600;25
000601;000625;25
000626;000650;25
000651;000675;25
000676;000700;25
000701;000725;25
000726;000750;25
000751;000775;25
000776;000800;25
000801;000825;25
000826;000850;25
000851;000875;25
000876;000900;25
000901;000925;25
000926;000950;25
000951;000975;25
000976;001000;25
001001;001025;25
001026;001050;25
001051;001075;25
001056;001100;25
001101;001125;25
001126;001150;25
001151;001175;25
001176;001200;25
001201;001225;25
001226;001250;25
001251;001275;25
001276;001300;25
001301;001325;25
001326;001350;25
001351;001375;25
001376;001400;25
001401;001425;25
001426;001450;25
001451;001475;25
001476;001500;25
001501;001525;25
001526;001550;25
001551;001575;25
001576;001600;25
001601;001625;25
001626;001650;25
001651;001675;25
001676;001700;25
001701;001725;25
001726;001750;25
001751;001775;25
001776;001800;25
001801;001825;25
001826;001850;25
001851;001875;25
001876;001900;25
001901;001925;25
001926;001950;25
001951;001975;25
001976;002000;25
002001;002025;25
002026;002050;25
002051;002075;25
002076;002100;25
002101;002125;25
002126;002150;25
002151;002175;25
002176;002200;25
002201;002225;25
002226;002250;25
002251;002275;25
002276;002300;25
002301;002325;25
002326;002350;25
002351;002375;25
002376;002400;25
002401;002425;25
002426;002450;25
002451;002475;25
002476;002500;25
002501;002525;25
002526;002550;25
002551;002575;25
002576;002600;25
002601;002625;25
002626;002650;25
002651;002675;25
002676;002700;25
002701;002725;25
002726;002750;25
002751;002775;25
002776;002800;25
002801;002825;25
002826;002850;25
002851;002875;25
002876;002900;25
002901;002925;25
002926;002950;25
002951;002975;25
002976;003000;25
003001;003025;25
003026;003050;25
003051;003075;25
003076;003100;25
003101;003125;25
003126;003150;25
003151;003175;25
003176;003200;25
003201;003225;25
003226;003250;25
003251;003275;25
003276;003300;25
003301;003325;25
003326;003350;25
003351;003375;25
003376;003400;25
003401;003425;25
003426;003450;25
003451;003475;25
003476;003500;25
003501;003525;25
003526;003550;25
003551;003575;25
003576;003600;25
003601;003625;25
003626;003650;25
003651;003675;25
003676;003700;25
003701;003725;25
003726;003750;25
003751;003800;50
003801;003850;50
003851;003900;50
003901;003950;50
003951;004000;50
004001;004050;50
004051;004100;50
004101;004150;50
004151;004200;50
004201;004250;50
004251;004300;50
004301;004350;50
004351;004400;50
004401;004450;50
004451;004500;50
004501;004550;50
004551;004600;50
004601;004650;50
004651;004700;50
004701;004750;50
004751;004800;50
004801;004850;50
004851;004900;50
004901;004950;50
004951;005000;50
005001;005050;50
005051;005100;50
005101;005150;50
005151;005200;50
005201;005250;50
005251;005300;50
005301;005350;50
005351;005400;50
005401;005450;50
005451;005500;50
005501;005550;50
005551;005600;50
005601;005650;50
005651;005700;50
005701;005750;50
005751;005800;50
005801;005850;50
005851;005900;50
005901;005950;50
005951;006000;50
006001;006050;50
006051;006100;50
006101;006150;50
006151;006200;50
006201;006250;50
