"Sno";"Staring_Leaf,Ending";"Ending_Leaf"
1;24201;24300
2;24301;24400
3;24401;24500
4;24501;24600
5;24601;24700
6;24701;24800
7;24801;24900
8;24901;25000
9;25001;25100
10;25101;25200
11;25201;25300
12;25301;25400
13;25401;25500
14;25501;25600
15;25601;25700
16;25701;25800
17;25801;25900
18;25901;26000
19;26001;26100
20;26101;26200
21;26201;26300
22;26301;26400
23;26401;26500
24;26501;26600
25;26601;26700
26;26701;26800
27;26801;26900
28;26901;27000
29;27001;27100
30;27101;27200
31;27201;27300
32;27301;27400
33;27401;27500
34;27501;27600
35;27601;27700
36;27701;27800
37;27801;27900
38;27901;28000
39;28001;28100
40;28101;28200
41;28201;28300
42;28301;28400
43;28401;28500
44;28501;28600
45;28601;28700
46;28701;28800
47;28801;28900
48;28901;29000
49;29001;29100
50;29101;29200
51;29201;29300
