s.no,starting_leaf,ending_leaf
01,24201,24300
02,24301,24400
03,24401,24500
04,24501,24600
05,24601,24700
06,24701,24800
07,24801,24900
08,24901,25000
09,25001,25100
10,25101,25200
11,25201,25300
12,25301,25400
13,25401,25500
14,25501,25600
15,25601,25700
16,25701,25800
17,25801,25900
18,25901,26000
19,26001,26100
20,26101,26200
21,26201,26300
22,26301,26400
23,26401,26500
24,26501,26600
25,26601,26700
26,26701,26800
27,26801,26900
28,26901,27000
29,27001,27100
30,27101,27200
31,27201,27300
32,27301,27400
33,27401,27500
34,27501,27600
35,27601,27700
36,27701,27800
37,27801,27900
38,27901,28000
39,28001,28100
40,28101,28200
41,28201,28300
42,28301,28400
43,28401,28500
44,28501,28600
45,28601,28700
46,28701,28800
47,28801,28900
48,28901,29000
49,29001,29100
50,29101,29200
51,29201,29300
52,8001,8100
53,8101,8200
54,8201,8300
55,8301,8400
56,8401,8500
57,8501,8600
58,8601,8700
59,8701,8800
60,8801,8900
61,8901,9000
62,9001,9100
63,9101,9200
64,9201,9300
65,9301,9400
66,9401,9500
67,9501,9600
68,9601,9700
69,9701,9800
70,9801,9900
71,9901,10000
72,10001,10100
73,10101,10200
74,10201,10300
75,10301,10400
76,10401,10500
77,10501,10600
78,10601,10700
79,10701,10800
80,10801,10900
81,10901,11000
82,11001,11100
83,11101,11200
84,11201,11300
85,11301,11400
86,11401,11500
87,11501,11600
88,11601,11700
89,11701,11800
90,11801,11900
91,11901,12000
92,12001,12100
93,12101,12200
94,12201,12300
95,12301,12400
96,12401,12500
97,12501,12600
98,12601,12700
99,12701,12800
100,12801,12900
101,12901,13000
102,13001,13100
103,13101,13200
104,13201,13300
105,13301,13400
106,13401,13500
107,426,450
108,451,475
109,476,500
110,501,525
111,526,550
112,551,575
113,576,600
114,601,625
115,626,650
116,651,675
117,676,700
118,701,725
119,726,750
120,751,775
121,776,800
122,801,825
123,826,850
124,851,875
125,876,900
126,901,925
127,926,950
128,951,975
129,976,1000
130,1001,1025
131,1026,1050
132,1051,1075
133,1076,1100
134,1101,1125
135,1126,1150
136,1151,1175
137,1176,1200
138,1201,1225
139,1226,1250
140,1251,1275
141,1276,1300
142,1301,1325
143,1326,1350
144,1351,1375
145,1376,1400
146,1401,1425
147,1426,1450
148,1451,1475
149,1476,1500
150,1501,1525
151,1526,1550
152,1551,1575
153,1576,1600
154,1601,1625
155,1626,1650
156,1651,1675
157,1676,1700
158,1701,1725
159,1726,1750
160,1751,1775
161,1776,1800
162,1801,1825
163,1826,1850
164,1851,1875
165,1876,1900
166,1901,1925
167,1926,1950
168,1951,1975
169,1976,2000
170,2001,2025
171,2026,2050
172,2051,2075
173,2076,2100
174,2101,2125
175,2126,2150
176,2151,2175
177,2176,2200
178,2201,2225
179,2226,2250
180,2251,2275
181,2276,2300
182,2301,2325
183,2326,2350
184,2351,2375
185,2376,2400
186,2401,2425
187,2426,2450
188,2451,2475
189,2476,2500
190,4301,4350
191,4351,4400
192,4401,4450
193,4451,4500
194,4501,4550
195,4551,4600
196,4601,4650
197,4651,4700
198,4701,4750
199,4751,4800
200,4801,4850
201,4851,4900
202,4901,4950
203,4951,5000
204,5001,5050
205,5051,5100
206,5101,5150
207,5151,5200
208,5201,5250
209,5251,5300
210,5301,5350
211,5351,5400
212,5401,5450
213,5451,5500
214,5501,5550
215,5551,5600
216,5601,5650
217,5651,5700
218,5701,5750
219,5751,5800
220,5801,5850
221,5851,5900
222,5901,5950
223,5951,6000
224,6001,6050
225,6051,6100
226,6101,6150
227,6151,6200
228,6201,6250
229,6251,6300
230,6301,6350
231,6351,6400
232,6401,6450
233,6451,6500
234,6501,6550
235,6551,6600
236,6601,6650
237,6651,6700
238,6701,6750
239,6751,6800
240,6801,6850
241,6851,6900
242,6901,6950
243,6951,7000
244,7001,7050
245,7051,7100
246,7101,7150
247,7151,7200
248,7201,7250
249,7251,7300
250,7301,7350
251,7351,7400
252,7401,7450
253,7451,7500
