Sno,Starting Leaf,Ending Leaf
07CTB01,5601,5650
07CTB02,5651,5700
07CTB03,5701,5750
07CTB04,5751,5800
07CTB05,5801,5850
07CTB06,5851,5900
07CTB07,5901,5950
07CTB08,5951,6000
07CTB09,6001,6050
07CTB10,6051,6100
07CTB11,6101,6150
07CTB12,6151,6200
07CTB13,6201,6250
07CTB14,6251,6300
07CTB15,6301,6350
07CTB16,6351,6400
07CTB17,6401,6450
07CTB18,6451,6500
07CTB19,6501,6550
07CTB20,6551,6600
07CTB21,6601,6650
07CTB22,6651,6700
07CTB23,6701,6750
07CTB24,6751,6800
07CTB25,6801,6850
07CTB26,6851,6900
07CTB27,6901,6950
07CTB28,6951,7000
07CTB29,7001,7050
07CTB30,7051,7100
07CTB31,7101,7150
07CTB32,7151,7200
07CTB33,7201,7250
07CTB34,7251,7300
07CTB35,7301,7350
07CTB36,7351,7400
07CTB37,7401,7450
07CTB38,7451,7500
07CTB39,7501,7550
07CTB40,7551,7600
07CTB41,7601,7650
07CTB42,7651,7700
07CTB43,7701,7750
07CTB44,7751,7800
07CTB45,7801,7850
07CTB46,7851,7900
07CTB47,7901,7950
07CTB48,7951,8000
07CTB49,8001,8050
07CTB50,8051,8100
07CTB51,8101,8150
07CTB52,8151,8200
07CTB53,8201,8250
07CTB54,8251,8300
07CTB55,8301,8350
07CTB56,8351,8400
07CTB57,8401,8450
07CTB58,8451,8500
07CTB59,8501,8550
07CTB60,8551,8600
07CTB61,8601,8650
07CTB62,8651,8700
07CTB63,8701,8750
07CTB64,8751,8800
07CTB65,8801,8850
07CTB66,8851,8900
07CTB67,8901,8950
07CTB68,8951,9000
07CTB69,9001,9050
07CTB70,9051,9100
07CTB71,9101,9150
07CTB72,9151,9200
07CTB73,9201,9250
07CTB74,9251,9300
07CTB75,9301,9350
07CTB76,9351,9400
07CTB77,9401,9450
07CTB78,9451,9500
07CTB79,9501,9550
07CTB80,9551,9600
07CTB81,9601,9650
07CTB82,9651,9700
07CTB83,9701,9750
07CTB84,9751,9800
07CTB85,9801,9850
07CTB86,9851,9900
07CTB87,9901,9950
07CTB88,9951,10000
07CTB89,10001,10050
07CTB90,10051,10100
07CTB91,10101,10150
07CTB92,10151,10200
07CTB93,10201,10250
07CTB94,10251,10300
07CTB95,10301,10350
07CTB96,10351,10400
07CTB97,10401,10450
07CTB98,10451,10500
07CTB99,10501,10550
07CTB100,10551,10600
07CTB101,10601,10650
07CTB102,10651,10700
07CTB103,10701,10750
07CTB104,10751,10800
07CTB105,10801,10850
07CTB106,10851,10900
07CTB107,10901,10950
07CTB108,10951,11000
07CTB109,11001,11050
07CTB110,11051,11100
07CTB111,11101,11150
07CTB112,11151,11200
07CTB113,11201,11250
07CTB114,11251,11300
07CTB115,11301,11350
07CTB116,11351,11400
07CTB117,11401,11450
07CTB118,11451,11500
07CTB119,11501,11550
07CTB120,11551,11600
07CTB121,11601,11650
07CTB122,11651,11700
07CTB123,11701,11750
07CTB124,11751,11800
07CTB125,11801,11850
07CTB126,11851,11900
07CTB127,11901,11950
07CTB128,11951,12000
07CTB129,12001,12050
07CTB130,12051,12100
07CTB131,12101,12150
07CTB132,12151,12200
07CTB133,12201,12250
07CTB134,12251,12300
07CTB135,12301,12350
07CTB136,12351,12400
07CTB137,12401,12450
07CTB138,12451,12500
07CTB139,12501,12550
07CTB140,12551,12600
07CTB141,12601,12650
07CTB142,12651,12700
07CTB143,12701,12750
07CTB144,12751,12800
07CTB145,12801,12850
07CTB146,12851,12900
07CTB147,12901,12950
07CTB148,12951,13000
07CTB149,13001,13050
07CTB150,13051,13100
07CTB151,13101,13150
07CTB152,13151,13200
07CTB153,13201,13250
07CTB154,13251,13300
07CTB155,13301,13350
07CTB156,13351,13400
07CTB157,13401,13450
07CTB158,13451,13500
07CTB159,13501,13550
07CTB160,13551,13600
07CTB161,13601,13650
07CTB162,13651,13700
07CTB163,13701,13750
07CTB164,13751,13800
07CTB165,13801,13850
07CTB166,13851,13900
07CTB167,13901,13950
07CTB168,13951,14000
07CTB169,14001,14050
07CTB170,14051,14100
07CTB171,14101,14150
07CTB172,14151,14200
07CTB173,14201,14250
07CTB174,14251,14300
07CTB175,14301,14350
07CTB176,14351,14400
07CTB177,14401,14450
07CTB178,14451,14500
07CTB179,14501,14550
07CTB180,14551,14600
07CTB181,14601,14650
07CTB182,14651,14700
07CTB183,14701,14750
07CTB184,14751,14800
07CTB185,14801,14850
07CTB186,14851,14900
07CTB187,14901,14950
07CTB188,14951,15000
