Sno,Account Name,DDO Code,HOA,Amount
1,Acharya N.G.Ranga Agricultural University(ANGRAU),2702-0111-001,8448-110-26 -NVN ,49500000
2,Agri biotech foundaton implementing agency through ANGRAU,2702-0111-001,8448-110-26 -NVN ,6700000
3,Food and Agribusiness School implementing agency through ANGRAU,2702-0111-001,8448-110-26 -NVN ,9500000
4,Horticulture,2702-0103-001,8449-120-92 NVN ,71000000
5,Dr.YSR Horticultural Univerisity,0414-0103-001,8448-110-54 NVN            ,41500000
6,Animal Husbandary,2702-0202-001,8449-120-09 NVN ,212700000
7,Fisheries,2702-0204-001,8449-120-60 NVN         ,60000000
8,Sri Venkateswara Vetrinary University(SVVU),1116-0202-010,8448-110-45-F200,5500000
9,Sericulture,2702-1304-001,8449-120-25  ,27000000
10,AP Food Processing Society,2702-1301-001,8449-120-10 ,41000000
11,Horiticulture implementing agency for spice board for promotion of spieces project,2702-0103-001,8449-120-92 NVN ,12000000
12,AP MARKFED,2702-0105-001,8448-120-02,16000000
13,Forest Department,2702-0407-001,8449-120-72 NVN ,24000000
14,Horticulture,2702-0103-001,8449-120-92 NVN ,19500000
15,Animal HUsbandary,2702-0202-001,8449-120-09 NVN ,36850000
16,VIUC Horticulture,2702-0103-001,8449-120-92 NVN ,43750000
