Sno,Account Name,DDO Code,HOA,Amount,,
1,JDA Srikakulam,0101-0102-004,8449-120-30,1200000,,
2,JDA Vizianagarm,2201-0102-005,8449-120-30,3000000,,
3,Jda Visakhapatnam,0201-0102-002,8449-120-30,2800000,,
4,Jda East Godavari,0301-0102-004,8449-120-30,500000,,
5,JDA Prakasam,0701-0102-001,8449-120-30,1500000,,
6,JDA SPS Nellore,0801-0102-002,8449-120-30,1500000,,
7,JDA Kurnool,0901-0102-001,8449-120-30,4000000,,
8,JDA Ananthapur,1001-0102-007,8449-120-30,3250000,,
9,JDA Kadapa,1201-0102-008,8449-120-30,2000000,,
10,Jda Chittor,1101-0102-002,8449-120-30,3750000,,
,,,,,,
,,,,,,
