Sno,Account Name,DDO Code,HOA,Amount
1, SRIKAKULAM,1010702001,8342001170004002000NVN,196157
2, AMADALAVALASA,1020702001,8342001170004002000NVN,53569
3, ICHAPURAM,1030702001,8342001170004002000NVN,4712
4, KOTABOMMALI,1040702001,8342001170004002000NVN,3979
5, KOTTUR,1050702001,8342001170004002000NVN,428146
6, NARSANNAPETA,1060702001,8342001170004002000NVN,3746
7, PALAKONDA,1070702001,8342001170004002000NVN,139633
8, PALASA,1080702001,8342001170004002000NVN,33447
9, PATHAPATNAM,1090702001,8342001170004002000NVN,7303
10, PONDURU,1100702001,8342001170004002000NVN,21157
11, RAJAM,1110702001,8342001170004002000NVN,5346
12, SOMPETA,1120702001,8342001170004002000NVN,38305
13, TEKKALI,1140702001,8342001170004002000NVN,41054
14, VISAKHAPATNAM,2010702001,8342001170004002000NVN,1206752
15, ANAKAPALLI(EAST),2020702001,8342001170004002000NVN,33833
16, ARAKU,2040702001,8342001170004002000NVN,41154
17, BHEEMUNIPATNAM,2050702001,8342001170004002000NVN,70405
18, CHINTHAPALLI,2060702001,8342001170004002000NVN,43506
19, CHODAVARAM,2070702001,8342001170004002000NVN,31117
20, ELLAMANCHILI,2080702001,8342001170004002000NVN,27814
21, KOTAURATLA,2090702001,8342001170004002000NVN,9366
22, MADUGULA,2100702001,8342001170004002000NVN,403504
23, NAKKAPALLI,2110702001,8342001170004002000NVN,135893
24, NARSIPATNAM,2120702001,8342001170004002000NVN,311480
25, PADERU,2130702001,8342001170004002000NVN,303377
26, EAST GODAVARI,3010702001,8342001170004002000NVN,1263965
27, ADDATHEEGALA,3020702001,8342001170004002000NVN,6445
28, ALAMUR,3030702001,8342001170004002000NVN,19534
29, AMALAPURAM,3040702001,8342001170004002000NVN,34388
30, KOTHAPETA,3060702001,8342001170004002000NVN,36323
31, MUMMIDIVARAM,3070702001,8342001170004002000NVN,45702
32, PEDDAPURAM,3080702001,8342001170004002000NVN,10745
33, PITHAPURAM,3090702001,8342001170004002000NVN,6491
34, PRATHIPADU,3100702001,8342001170004002000NVN,27486
35, RAJAMUNDRY(N),3120702001,8342001170004002000NVN,162773
36, RAMACHANDRAPURAM,3130702001,8342001170004002000NVN,26084
37, RAMPACHODAVARAM,3140702001,8342001170004002000NVN,5786
38, RAYAVARAM,3150702001,8342001170004002000NVN,23541
39, RAZOLE,3160702001,8342001170004002000NVN,69105
40, TUNI,3170702001,8342001170004002000NVN,8103
41, JAGGAMPET,3180702001,8342001170004002000NVN,17152
42,KORUKONDA,3190702001,8342001170004002000NVN,43331
43, WEST GODAVARI,4010702001,8342001170004002000NVN,1126506
44, AKIVEEDU,4020702001,8342001170004002000NVN,22281
45, BHIMAVARAM,4030702001,8342001170004002000NVN,13800
46, BHIMADOLE,4040702001,8342001170004002000NVN,101896
47, CHITALAPUDI,4050702001,8342001170004002000NVN,108885
48, JANGAREDDYGUDEM,4070702001,8342001170004002000NVN,39403
49, KOVVUR,4080702001,8342001170004002000NVN,27529
50, NARSAPUR,4090702001,8342001170004002000NVN,27775
51, NIDADAVOLE,4100702001,8342001170004002000NVN,27222
52, PALKOL,4110702001,8342001170004002000NVN,29667
53, PENUGONDA,4120702001,8342001170004002000NVN,170500
54, POLAVARAM,4130702001,8342001170004002000NVN,85547
55, TADEPALLIGUDEM,4140702001,8342001170004002000NVN,110890
56, TANUKU,4150702001,8342001170004002000NVN,132826
57, KRISHNA,5010702001,8342001170004002000NVN,169360
58, AVANIGADDA,5020702001,8342001170004002000NVN,38407
59, GANNAVARAM,5050702001,8342001170004002000NVN,39933
60, GUDIVADA,5060702001,8342001170004002000NVN,22831
61, JAGGAIAHPETA,5070702001,8342001170004002000NVN,369875
62, KAIKALURU,5080702001,8342001170004002000NVN,28601
63, MOVVA,5090702001,8342001170004002000NVN,28823
64, MYLAVARAM,5100702001,8342001170004002000NVN,721
65, NUZVID,5120702001,8342001170004002000NVN,51305
66, PAMARRU,5130702001,8342001170004002000NVN,6748
67, TIRUVUR,5140702001,8342001170004002000NVN,41316
68, VIJAYAWADA(WEST),5160702001,8342001170004002000NVN,102305
69, VISSANNAPETA,5170702001,8342001170004002000NVN,141021
70, VUYYURU,5180702001,8342001170004002000NVN,4393
71, KANCHIKA CHARLA,5190702001,8342001170004002000NVN,13314
72, GUNTUR,6010702001,8342001170004002000NVN,3033238
73, BAPATLA,6020702001,8342001170004002000NVN,52920
74, CHILAKALURIPET,6030702001,8342001170004002000NVN,49149
75, EMANI-AT-DUGGIRALA,6040702001,8342001170004002000NVN,32035
76, GUNTUR (),6050702001,8342001170004002000NVN,462
77, GURAJALA(PALNAD),6060702001,8342001170004002000NVN,53447
78, MACHERLA,6070702001,8342001170004002000NVN,22076
79, MANGALAGIRI,6080702001,8342001170004002000NVN,463154
