 S.No.,Name & address of the Unit,Account No.,Name of the Bank ,Name of the Branch,IFSC Code,Amount (in Rupees)
1,"Venkataramanamma Transport, D.No.32-660, Tarakaramapuram Street, Dharmavaram, Ananthapur District",31641010000544,Syndicate Bank ," Old town, Anantapuram",SYNB0003164,433250
2,"Sasank Clinc, D.No.4-14-219/2, 3rd Line, Anjaneyapet, 42nd Ward (V), Guntur Town (M), Guntur District",32761010000076,Syndicate Bank ,"Brundavan Gardens, Guntur",SYNB0003276,1304040
3,"Hanuman Industries (Transport), Plot No.1 Phase 1, Indl Park, Nadikudi, Dachepalli (M), Guntur District",31420013024,State Bank of India ," Nadikudi Br, Guntur",SBIN0001923,248500
4,"Lakshmi Durga Travels, D.No.9-91/2, Venkatareddy palem, Kaza (V), Mangalagiri(M), Guntur ",096530100105418,Andhra Bank ,"Kaza Br, Guntur",ANDB0000965,129710
5,"Sri Laxmi Thirupathamma transport, D.No. 1-274/B, Kanchibodu thanda, Madipadu, Atchampet (M), Guntur District,",700430049033137,(Account with Andhra Bank),"CGGB Atchampet Br, Guntur Dist. (Account with Andhra Bank)",ANDB0001921,181000
6,"Edukondalu Travels, D.No. 2-217, Dechavaram (V), Rupenaguntla panchayath, Nekarikallu (M), Guntur ",018230100059182,Andhra Bank ,"Ramireddypet Narasaraopet, Guntur",ANDB0000182,267583
7,"Sri Lakshmi Narayana Fly ash Brick Industry, D.No. 74/2B, Nekarikallu, Guntur Dt.",11550717235,State Bank of India ,"Nakarikallu Br, Guntur",SBIN0003727,257280
8,"Uma Travels, D.No.1/306-A, ST Colony, Kadapa District",1962101026760,Canara Bank ," Chinna Chowk, Sankarapuram, Kadapa",CNRB0001962,400640
9,"Surya Chandra Transport, D.No.1/43, Kattuguvannagari Palli (V), Yerraguntla (M), YSR District",ZCFDLNAKC00290D,Indusind Bank,Kadapa,INDB0000007,3025300
10,"Sri Balaji Ware House Godowns, Sy.No.412/1, Maddikera East, Maddikera (M), Kurnool District",62331486887,State Bank of Hyderabad ,Guntakal,SBHY0020870,3868870
11,"Sujatha Fuel Transportations, D.No.4-30-4-1, Balaji Nagar, Statan Puram (V), Kurnool, Kurnool District",1499165000000011,Karur Vysya Bank ," Venkataramana Colony Br, Kurnool",KVBL0001499,1070400
12,"Sai Ganesh Travels, D.NO. 51-967-D-8, Seetharam nagar, Kurnool",31837127539,State Bank of India ," Srinagar Colony, Kurnool",SBIN00012719,381869
13,"Nithin Travels, D.NO. 4-101-2-1, New Postal Colony, Kurnool",3323849117,Central Bank of India , Adoni,CBIN0280844,471180
14,"Indla Leela, Mattigutta ( V), N.G.Padu(M), Prakasam District",1422180000000512,Karur Vysya Bank ,Ongole,KVBL0001422,242110
15,"Ushodaya Resorts, Padmapuram (V), Arakuvally (M), Visakhapatnam District",30823460415,State Bank of India ," Arukuvalley, Visakhapatnam Dist.",SBIN0002691,500000
,,,,,,12781732
,,,,,,
"Joint Director (II),",,,,,,
O/o. COMMISSIONER OF INDUSTRIES,,,,,,
