Statement showing the ITDA & Non – ITDA  wise Bank Account Numbers alongwith IFSC code Numbers,,,,,

ITDA(POs),Name of the Bank,Branch,Account No.,IFSC code Number,Amount
Seethampeta,SBI,Seethampeta,30676439365,SBIN0011997,1130000
Parvathipuram,SBI,Parvathipuram,11328830291,SBIN0000895,2450000
Paderu,UBI,Paderu,3.29E+14,UBIN0532924,10000000
R.C.Varam,UBI,Rampachodavaram,3.29E+14,UBIN0532878,10000000
K.R.Puram,SBI,Polavaram,11617920245,SBIN0000778,2050000
Krishna,SBI,Machilipatnam,10873064910,SBIN0000874,54000
Guntur,SBI,Treasury Branch,11003210298,SBIN0006307,2000000
Prakasam ,SBI,Ongole main branch,10957238158,SBIN0000890,1000000
SPSR Nellore,SBI (main),Nellore,10604178767,SBIN0000887,1000000
Chittoor,Indian Bank,Girimpeta,991453112,IDIB000G034,2000000
Ananthapur,SBI,Treasury branch OTRI Annatapur,10873416364,SBIN0012831,100000
Kurnool,AB,Krishnanagar,1.43E+14,ANDB0001430,1000000
,TOTAL,,,,32784000
