                                        Account Statement-06/2015
DDO:GVMC, COMMISSIONER, V S P(02011815005)                      Head of Account:MUN_CORP(8448001020006001000NVN)
                                    Opening Balance:462010301.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      0000000826           45255.00             0.00     462055556.00  
2           01/06/2015      0000002356          252675.00             0.00     462308231.00  
3           01/06/2015      0000002367          600847.00             0.00     462909078.00  
4           01/06/2015      0000002366           30000.00             0.00     462939078.00  
5           01/06/2015      0000002361           71820.00             0.00     463010898.00  
6           01/06/2015      0000002360           31350.00             0.00     463042248.00  
7           01/06/2015      0000002359           43050.00             0.00     463085298.00  
8           01/06/2015      0000002358          126915.00             0.00     463212213.00  
9           02/06/2015      0000002384          616340.00             0.00     463828553.00  
10          02/06/2015      0000002388          125400.00             0.00     463953953.00  
11          02/06/2015      0000002374           82515.00             0.00     464036468.00  
12          02/06/2015      0000002375          479205.00             0.00     464515673.00  
13          02/06/2015      0000002394           37135.00             0.00     464552808.00  
14          02/06/2015      0000002395          278925.00             0.00     464831733.00  
15          02/06/2015      0000000838           86770.00             0.00     464918503.00  
16          02/06/2015      0000002393          124245.00             0.00     465042748.00  
17          02/06/2015      0000002389          120780.00             0.00     465163528.00  
18          03/06/2015      0000002415           51285.00             0.00     465214813.00  
19          03/06/2015      0000002413          329455.00             0.00     465544268.00  
20          03/06/2015      0000000860           37095.00             0.00     465581363.00  
21          03/06/2015      0000002420          174450.00             0.00     465755813.00  
22          04/06/2015      0000002467         1158100.00             0.00     466913913.00  
23          04/06/2015      0000002449          163055.00             0.00     467076968.00  
24          04/06/2015      0000002465          334290.00             0.00     467411258.00  
25          04/06/2015      0000002463          276340.00             0.00     467687598.00  
26          04/06/2015      0000002450          102315.00             0.00     467789913.00  
27          04/06/2015      0000002443          123720.00             0.00     467913633.00  
28          04/06/2015      0000002442          104295.00             0.00     468017928.00  
29          04/06/2015      0000002466          133050.00             0.00     468150978.00  
30          05/06/2015      0000002500          195940.00             0.00     468346918.00  
31          05/06/2015      0000002511           91645.00             0.00     468438563.00  
32          05/06/2015      0000002509          558230.00             0.00     468996793.00  
33          05/06/2015      0000000870           65405.00             0.00     469062198.00  
34          05/06/2015      0000002502          130025.00             0.00     469192223.00  
35          05/06/2015      0000002501          284000.00             0.00     469476223.00  
36          05/06/2015      0000002512           48975.00             0.00     469525198.00  
37          06/06/2015      0000002593         1222505.00             0.00     470747703.00  
38          06/06/2015      0000002589          445710.00             0.00     471193413.00  
39          06/06/2015      0000002590          128265.00             0.00     471321678.00  
40          06/06/2015      0000002588          358740.00             0.00     471680418.00  
41          08/06/2015      0000000902          157175.00             0.00     471837593.00  
42          08/06/2015      0000002630         4033220.00             0.00     475870813.00  
43          08/06/2015      0000002633           72645.00             0.00     475943458.00  
44          08/06/2015      0000002634          462820.00             0.00     476406278.00  
45          08/06/2015      0000002646          148350.00             0.00     476554628.00  
46          08/06/2015      0000002647          418065.00             0.00     476972693.00  
47          08/06/2015      0000002650          297225.00             0.00     477269918.00  
48          08/06/2015      0000002651          124350.00             0.00     477394268.00  
49          08/06/2015      0000002652          289440.00             0.00     477683708.00  
50          08/06/2015      0000002653          335500.00             0.00     478019208.00  
51          08/06/2015      0000000915            2835.00             0.00     478022043.00  
52          08/06/2015      0000000908          120090.00             0.00     478142133.00  
53          09/06/2015      0000002718          299790.00             0.00     478441923.00  
54          09/06/2015      0000002717          278310.00             0.00     478720233.00  
55          09/06/2015      0000002716          211770.00             0.00     478932003.00  
56          09/06/2015      0000002715          429200.00             0.00     479361203.00  
57          09/06/2015      0000002707          377940.00             0.00     479739143.00  
58          09/06/2015      0000002705          314340.00             0.00     480053483.00  
59          09/06/2015      0000002701          161610.00             0.00     480215093.00  
60          09/06/2015      0000002700           21795.00             0.00     480236888.00  
61          09/06/2015      0000000925           59770.00             0.00     480296658.00  
62          10/06/2015      0000002765          142945.00             0.00     480439603.00  
63          10/06/2015      0000002764           48300.00             0.00     480487903.00  
64          10/06/2015      0000000945             430.00             0.00     480488333.00  
65          10/06/2015      0000002758          252415.00             0.00     480740748.00  
66          10/06/2015      0000002748          522515.00             0.00     481263263.00  
67          10/06/2015      0000002747          530225.00             0.00     481793488.00  
68          10/06/2015      0000002746          103785.00             0.00     481897273.00  
69          10/06/2015      0000002774           81030.00             0.00     481978303.00  
70          10/06/2015      0000002766          331590.00             0.00     482309893.00  
71          11/06/2015      0000001002           39955.00             0.00     482349848.00  
72          11/06/2015      0000002801           59670.00             0.00     482409518.00  
73          11/06/2015      0000002802          197355.00             0.00     482606873.00  
74          11/06/2015      0000002809          127470.00             0.00     482734343.00  
75          11/06/2015      0000002815          920090.00             0.00     483654433.00  
76          11/06/2015      0000002816          275370.00             0.00     483929803.00  
77          11/06/2015      0000002817           86790.00             0.00     484016593.00  
78          11/06/2015      0000000528         1720845.00             0.00     485737438.00  
79          12/06/2015      0000002841         1776885.00             0.00     487514323.00  
80          12/06/2015      0000002842          225025.00             0.00     487739348.00  
81          12/06/2015      0000002830          229380.00             0.00     487968728.00  
82          12/06/2015      0000002829          237600.00             0.00     488206328.00  
83          12/06/2015      0000002828          238455.00             0.00     488444783.00  
84          12/06/2015      0000002827           79410.00             0.00     488524193.00  
85          12/06/2015      0000001011          709165.00             0.00     489233358.00  
86          12/06/2015      0000001008          272020.00             0.00     489505378.00  
87          12/06/2015      0000002834          193740.00             0.00     489699118.00  
88          15/06/2015      0000001030          266195.00             0.00     489965313.00  
89          16/06/2015      0000001044          133805.00             0.00     490099118.00  
90          18/06/2015      0000001074            6795.00             0.00     490105913.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 28095612.00		Total Debit: 0.00		Closing Balance:490105913.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
