                                        Account Statement-04/2015
DDO:PRL JUNIOR CIVIL JUDGE, KAKINADA (03011603011)                      Head of Account:Civil_Court_Deposits(8443001040001000000NVN)
                                    Opening Balance:23809156.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           04/04/2015      0000000194            2197.00             0.00      23811353.00  
2           04/04/2015      0000000008             950.00             0.00      23812303.00  
3           04/04/2015      0000000193            1678.00             0.00      23813981.00  
4           06/04/2015      0000000003            1800.00             0.00      23815781.00  
5           06/04/2015      0000000180             300.00             0.00      23816081.00  
6           06/04/2015      0000000006            2000.00             0.00      23818081.00  
7           06/04/2015      0000000005            2000.00             0.00      23820081.00  
8           06/04/2015      0000000004            2000.00             0.00      23822081.00  
9           07/04/2015      0000000196            3219.00             0.00      23825300.00  
10          07/04/2015      0000000181            2380.00             0.00      23827680.00  
11          08/04/2015      0000000185            5200.00             0.00      23832880.00  
12          08/04/2015      0000000184             325.00             0.00      23833205.00  
13          10/04/2015      0000000327           98955.00             0.00      23932160.00  
14          13/04/2015      0000001375               0.00         24000.00      23908160.00  
15          13/04/2015      0000001376               0.00         54113.00      23854047.00  
16          15/04/2015      0000000381            1000.00             0.00      23855047.00  
17          15/04/2015      0000000379            1000.00             0.00      23856047.00  
18          15/04/2015      0000000380            1000.00             0.00      23857047.00  
19          15/04/2015      0000000377            1650.00             0.00      23858697.00  
20          15/04/2015      0000000375            1650.00             0.00      23860347.00  
21          15/04/2015      0000000195             300.00             0.00      23860647.00  
22          15/04/2015      0000000388            1950.00             0.00      23862597.00  
23          15/04/2015      0000000384            3230.00             0.00      23865827.00  
24          15/04/2015      0000000383            1000.00             0.00      23866827.00  
25          16/04/2015      0000000393            3167.00             0.00      23869994.00  
26          16/04/2015      0000000419            5650.00             0.00      23875644.00  
27          16/04/2015      0000000418            5570.00             0.00      23881214.00  
28          16/04/2015      0000000417            3000.00             0.00      23884214.00  
29          16/04/2015      0000000416            7400.00             0.00      23891614.00  
30          16/04/2015      0000000405             916.00             0.00      23892530.00  
31          16/04/2015      0000000404             350.00             0.00      23892880.00  
32          16/04/2015      0000000403             680.00             0.00      23893560.00  
33          16/04/2015      0000000402            1134.00             0.00      23894694.00  
34          16/04/2015      0000000401            3600.00             0.00      23898294.00  
35          16/04/2015      0000000399            1000.00             0.00      23899294.00  
36          16/04/2015      0000000397            2783.00             0.00      23902077.00  
37          16/04/2015      0000000396            2783.00             0.00      23904860.00  
38          16/04/2015      0000000395            2605.00             0.00      23907465.00  
39          16/04/2015      0000000394            2000.00             0.00      23909465.00  
40          16/04/2015      0000000389            6400.00             0.00      23915865.00  
41          16/04/2015      0000000392            1040.00             0.00      23916905.00  
42          16/04/2015      0000000391            6097.00             0.00      23923002.00  
43          16/04/2015      0000000390            3200.00             0.00      23926202.00  
44          16/04/2015      0000000370            9609.00             0.00      23935811.00  
45          16/04/2015      0000000371           21422.00             0.00      23957233.00  
46          17/04/2015      0000001468               0.00         38549.00      23918684.00  
47          17/04/2015      0000000341             300.00             0.00      23918984.00  
48          20/04/2015      0000000479            2000.00             0.00      23920984.00  
49          20/04/2015      0000000480            4900.00             0.00      23925884.00  
50          20/04/2015      0000000488            3620.00             0.00      23929504.00  
51          20/04/2015      0000000489            4620.00             0.00      23934124.00  
52          20/04/2015      0000000490            4620.00             0.00      23938744.00  
53          20/04/2015      0000000491           12702.00             0.00      23951446.00  
54          20/04/2015      0000000487            2820.00             0.00      23954266.00  
55          20/04/2015      0000000486            3620.00             0.00      23957886.00  
56          20/04/2015      0000000485           10370.00             0.00      23968256.00  
57          20/04/2015      0000000484            1950.00             0.00      23970206.00  
58          20/04/2015      0000000483            2000.00             0.00      23972206.00  
59          20/04/2015      0000000477            4774.00             0.00      23976980.00  
60          20/04/2015      0000000481            3007.00             0.00      23979987.00  
61          20/04/2015      0000000492            6370.00             0.00      23986357.00  
