                                        Account Statement-05/2015
DDO:PRL SENIOR CIVIL JUDGE, KAKINADA(03011603015)                      Head of Account:Civil_Court_Deposits(8443001040001000000NVN)
                                    Opening Balance:85659292.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/05/2015      0000003379               0.00        102758.00      85556534.00  
2           04/05/2015      0000003383               0.00       1004112.00      84552422.00  
3           04/05/2015      0000003384               0.00        356711.00      84195711.00  
4           06/05/2015      0000001264           30000.00             0.00      84225711.00  
5           06/05/2015      0000003723               0.00        815000.00      83410711.00  
6           06/05/2015      0000003719               0.00        265953.00      83144758.00  
7           07/05/2015      0000001109            2173.00             0.00      83146931.00  
8           07/05/2015      0000001135           15000.00             0.00      83161931.00  
9           07/05/2015      0000001117            7720.00             0.00      83169651.00  
10          07/05/2015      0000001121            8530.00             0.00      83178181.00  
11          07/05/2015      0000001123            7016.00             0.00      83185197.00  
12          07/05/2015      0000001134            9550.00             0.00      83194747.00  
13          07/05/2015      0000001137           12000.00             0.00      83206747.00  
14          07/05/2015      0000001140            2190.00             0.00      83208937.00  
15          07/05/2015      0000001146            8997.00             0.00      83217934.00  
16          07/05/2015      0000001147            8200.00             0.00      83226134.00  
17          07/05/2015      0000001151           11160.00             0.00      83237294.00  
18          07/05/2015      0000001152           25320.00             0.00      83262614.00  
19          07/05/2015      0000001165            9000.00             0.00      83271614.00  
20          07/05/2015      0000001168           18405.00             0.00      83290019.00  
21          07/05/2015      0000001170           16400.00             0.00      83306419.00  
22          07/05/2015      0000001176           14892.00             0.00      83321311.00  
23          07/05/2015      0000001180            6105.00             0.00      83327416.00  
24          07/05/2015      0000001194            2190.00             0.00      83329606.00  
25          07/05/2015      0000001196            4890.00             0.00      83334496.00  
26          07/05/2015      0000001215            1732.00             0.00      83336228.00  
27          07/05/2015      0000001216           10000.00             0.00      83346228.00  
28          07/05/2015      0000001231           10000.00             0.00      83356228.00  
29          07/05/2015      0000001232           10000.00             0.00      83366228.00  
30          07/05/2015      0000001234           20000.00             0.00      83386228.00  
31          07/05/2015      0000001233           10000.00             0.00      83396228.00  
32          07/05/2015      0000001236           96019.00             0.00      83492247.00  
33          07/05/2015      0000001240           90453.00             0.00      83582700.00  
34          07/05/2015      0000001254           11160.00             0.00      83593860.00  
35          07/05/2015      0000001222         1091411.00             0.00      84685271.00  
36          07/05/2015      0000001108            7000.00             0.00      84692271.00  
37          08/05/2015      0000001113            4110.00             0.00      84696381.00  
38          08/05/2015      0000001114            3236.00             0.00      84699617.00  
39          08/05/2015      0000001115            3678.00             0.00      84703295.00  
40          08/05/2015      0000001118            2645.00             0.00      84705940.00  
41          08/05/2015      0000001119            2510.00             0.00      84708450.00  
42          08/05/2015      0000001122            4775.00             0.00      84713225.00  
43          08/05/2015      0000001130            5840.00             0.00      84719065.00  
44          08/05/2015      0000001131            3510.00             0.00      84722575.00  
45          08/05/2015      0000001132            6130.00             0.00      84728705.00  
46          08/05/2015      0000001136            5800.00             0.00      84734505.00  
47          08/05/2015      0000001138            4553.00             0.00      84739058.00  
48          08/05/2015      0000001139            4000.00             0.00      84743058.00  
49          08/05/2015      0000001144            1000.00             0.00      84744058.00  
50          08/05/2015      0000001148            5500.00             0.00      84749558.00  
51          08/05/2015      0000001149            5210.00             0.00      84754768.00  
52          08/05/2015      0000001150            3959.00             0.00      84758727.00  
53          08/05/2015      0000001153            1000.00             0.00      84759727.00  
54          08/05/2015      0000001154             900.00             0.00      84760627.00  
55          08/05/2015      0000001156           32885.00             0.00      84793512.00  
56          08/05/2015      0000001157            3500.00             0.00      84797012.00  
57          08/05/2015      0000001158            3000.00             0.00      84800012.00  
58          08/05/2015      0000001159            1750.00             0.00      84801762.00  
59          08/05/2015      0000001160            6000.00             0.00      84807762.00  
60          08/05/2015      0000001161            4212.00             0.00      84811974.00  
61          08/05/2015      0000001162            4212.00             0.00      84816186.00  
62          08/05/2015      0000001163            4212.00             0.00      84820398.00  
63          08/05/2015      0000001164            3000.00             0.00      84823398.00  
64          08/05/2015      0000001167            2000.00             0.00      84825398.00  
65          08/05/2015      0000001169            2500.00             0.00      84827898.00  
66          08/05/2015      0000001171           23680.00             0.00      84851578.00  
67          08/05/2015      0000001172            5545.00             0.00      84857123.00  
68          08/05/2015      0000001173            7983.00             0.00      84865106.00  
69          08/05/2015      0000001174            7983.00             0.00      84873089.00  
70          08/05/2015      0000001175            2000.00             0.00      84875089.00  
71          08/05/2015      0000001177            4300.00             0.00      84879389.00  
72          08/05/2015      0000001178            4813.00             0.00      84884202.00  
73          08/05/2015      0000001181            6940.00             0.00      84891142.00  
74          08/05/2015      0000001182            7785.00             0.00      84898927.00  
75          08/05/2015      0000001183            1900.00             0.00      84900827.00  
76          08/05/2015      0000001184            5500.00             0.00      84906327.00  
77          08/05/2015      0000001185            5500.00             0.00      84911827.00  
78          08/05/2015      0000001186            8500.00             0.00      84920327.00  
79          08/05/2015      0000001088            4700.00             0.00      84925027.00  
80          08/05/2015      0000001111            1000.00             0.00      84926027.00  
81          08/05/2015      0000001116            5788.00             0.00      84931815.00  
82          08/05/2015      0000001142             980.00             0.00      84932795.00  
83          08/05/2015      0000001166            3400.00             0.00      84936195.00  
84          08/05/2015      0000001187            6500.00             0.00      84942695.00  
85          08/05/2015      0000001213           47694.00             0.00      84990389.00  
86          08/05/2015      0000001258            6130.00             0.00      84996519.00  
87          08/05/2015      0000001078            4000.00             0.00      85000519.00  
88          08/05/2015      0000001079             750.00             0.00      85001269.00  
89          08/05/2015      0000001080            1100.00             0.00      85002369.00  
90          08/05/2015      0000001081             481.00             0.00      85002850.00  
91          08/05/2015      0000001082            2000.00             0.00      85004850.00  
92          08/05/2015      0000001083            7235.00             0.00      85012085.00  
93          08/05/2015      0000001084            7235.00             0.00      85019320.00  
94          08/05/2015      0000001085            3850.00             0.00      85023170.00  
95          08/05/2015      0000001086            5840.00             0.00      85029010.00  
96          08/05/2015      0000001087            3620.00             0.00      85032630.00  
97          08/05/2015      0000001089            3970.00             0.00      85036600.00  
98          08/05/2015      0000001090            4760.00             0.00      85041360.00  
99          08/05/2015      0000001091            5200.00             0.00      85046560.00  
100         08/05/2015      0000001092            4220.00             0.00      85050780.00  
101         08/05/2015      0000001093            2913.00             0.00      85053693.00  
102         08/05/2015      0000001094            4900.00             0.00      85058593.00  
103         08/05/2015      0000001095            3610.00             0.00      85062203.00  
104         08/05/2015      0000001096            3730.00             0.00      85065933.00  
105         08/05/2015      0000001097            4000.00             0.00      85069933.00  
106         08/05/2015      0000001098            4000.00             0.00      85073933.00  
107         08/05/2015      0000001099            4900.00             0.00      85078833.00  
108         08/05/2015      0000001101            5500.00             0.00      85084333.00  
