                                        Account Statement-05/2015
DDO:ZILLA GRANDHALAYA SAMSTH, SECY, KAKINADA(03012202010)                      Head of Account:ZILLA_GRANDALAYA(8448001200003000000NVN)
                                    Opening Balance:9435039.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/05/2015      0000001112             462.00             0.00       9435501.00  
2           01/05/2015      0000002099            2268.00             0.00       9437769.00  
3           01/05/2015      0000002112            1170.00             0.00       9438939.00  
4           01/05/2015      0000001089            2137.00             0.00       9441076.00  
5           02/05/2015      0000001921           15905.00             0.00       9456981.00  
6           02/05/2015      0000002155             760.00             0.00       9457741.00  
7           04/05/2015      0000002227             353.00             0.00       9458094.00  
8           04/05/2015      0000008825            6150.00             0.00       9464244.00  
9           04/05/2015      0000001848             286.00             0.00       9464530.00  
10          04/05/2015      0000002866             298.00             0.00       9464828.00  
11          05/05/2015      0000004092             132.00             0.00       9464960.00  
12          05/05/2015      0000009006             260.00             0.00       9465220.00  
13          05/05/2015      0000001216             200.00             0.00       9465420.00  
14          05/05/2015      0000003564               0.00       2415728.00       7049692.00  
15          05/05/2015      0000002270             373.00             0.00       7050065.00  
16          05/05/2015      0000002067          800000.00             0.00       7850065.00  
17          05/05/2015      0000010264             419.00             0.00       7850484.00  
18          05/05/2015      0000003563               0.00       2421537.00       5428947.00  
19          06/05/2015      0000002092             420.00             0.00       5429367.00  
20          06/05/2015      0000010472            1289.00             0.00       5430656.00  
21          06/05/2015      0000002344             378.00             0.00       5431034.00  
22          06/05/2015      0000002090             400.00             0.00       5431434.00  
23          06/05/2015      0000001507            3914.00             0.00       5435348.00  
24          06/05/2015      0000010471             300.00             0.00       5435648.00  
25          07/05/2015      0000001537             610.00             0.00       5436258.00  
26          07/05/2015      0000002426             224.00             0.00       5436482.00  
27          07/05/2015      0000002461             287.00             0.00       5436769.00  
28          07/05/2015      0000001361             150.00             0.00       5436919.00  
29          07/05/2015      0000003737               0.00         41561.00       5395358.00  
30          07/05/2015      0000003735               0.00        170770.00       5224588.00  
31          07/05/2015      0000003128            1100.00             0.00       5225688.00  
32          08/05/2015      0000002500             140.00             0.00       5225828.00  
33          08/05/2015      0000003153            1366.00             0.00       5227194.00  
34          08/05/2015      0000001414            3595.00             0.00       5230789.00  
35          08/05/2015      0000001290            2940.00             0.00       5233729.00  
36          08/05/2015      0000003757               0.00        312400.00       4921329.00  
37          09/05/2015      0000003780               0.00         81573.00       4839756.00  
38          09/05/2015      0000010609           22172.00             0.00       4861928.00  
39          11/05/2015      0000002578             107.00             0.00       4862035.00  
40          11/05/2015      0000001358             100.00             0.00       4862135.00  
41          11/05/2015      0000003364            3287.00             0.00       4865422.00  
42          11/05/2015      0000002572             236.00             0.00       4865658.00  
43          11/05/2015      0000002258             541.00             0.00       4866199.00  
44          11/05/2015      0000003390            6273.00             0.00       4872472.00  
45          11/05/2015      0000001635           11601.00             0.00       4884073.00  
46          11/05/2015      0000003363             180.00             0.00       4884253.00  
47          12/05/2015      0000002307             726.00             0.00       4884979.00  
48          12/05/2015      0000002635             100.00             0.00       4885079.00  
49          13/05/2015      0000004156               0.00         20000.00       4865079.00  
50          13/05/2015      0000010916            1500.00             0.00       4866579.00  
51          13/05/2015      0000003548           21969.00             0.00       4888548.00  
52          13/05/2015      0000001390             844.00             0.00       4889392.00  
53          13/05/2015      0000002230             100.00             0.00       4889492.00  
54          13/05/2015      0000002678             309.00             0.00       4889801.00  
55          14/05/2015      0000001144            9372.00             0.00       4899173.00  
56          14/05/2015      0000003706            3287.00             0.00       4902460.00  
57          14/05/2015      0000010844            1587.00             0.00       4904047.00  
58          14/05/2015      0000001783          330290.00             0.00       5234337.00  
59          14/05/2015      0000002737             166.00             0.00       5234503.00  
60          14/05/2015      0000002752             222.00             0.00       5234725.00  
61          14/05/2015      0000001418             733.00             0.00       5235458.00  
62          14/05/2015      0000012426           80476.00             0.00       5315934.00  
63          15/05/2015      0000002801             123.00             0.00       5316057.00  
64          15/05/2015      0000002428             248.00             0.00       5316305.00  
65          15/05/2015      0000002483             363.00             0.00       5316668.00  
66          15/05/2015      0000002874              39.00             0.00       5316707.00  
67          15/05/2015      0000001480             641.00             0.00       5317348.00  
68          15/05/2015      0000011544             300.00             0.00       5317648.00  
69          15/05/2015      0000003799           18642.00             0.00       5336290.00  
70          15/05/2015      0000003858           10404.00             0.00       5346694.00  
71          16/05/2015      0000001757           14040.00             0.00       5360734.00  
72          16/05/2015      0000004880               0.00        720452.00       4640282.00  
73          16/05/2015      0000002541             350.00             0.00       4640632.00  
74          16/05/2015      0000002921              64.00             0.00       4640696.00  
75          16/05/2015      0000002525             474.00             0.00       4641170.00  
76          18/05/2015      0000004010             100.00             0.00       4641270.00  
77          18/05/2015      0000004054            6028.00             0.00       4647298.00  
78          18/05/2015      0000013404              50.00             0.00       4647348.00  
79          18/05/2015      0000002979             140.00             0.00       4647488.00  
80          18/05/2015      0000013401           34320.00             0.00       4681808.00  
81          18/05/2015      0000013405              84.00             0.00       4681892.00  
82          18/05/2015      0000001753             600.00             0.00       4682492.00  
83          18/05/2015      0000003014             356.00             0.00       4682848.00  
84          19/05/2015      0000002657              66.00             0.00       4682914.00  
85          19/05/2015      0000001334           14067.00             0.00       4696981.00  
86          19/05/2015      0000001266           26000.00             0.00       4722981.00  
87          19/05/2015      0000005160               0.00        234196.00       4488785.00  
88          19/05/2015      0000003124             216.00             0.00       4489001.00  
89          19/05/2015      0000003091             552.00             0.00       4489553.00  
90          19/05/2015      0000013857            8445.00             0.00       4497998.00  
91          19/05/2015      0000012235           13701.00             0.00       4511699.00  
92          20/05/2015      0000003176            1145.00             0.00       4512844.00  
93          20/05/2015      0000003831           22296.00             0.00       4535140.00  
94          20/05/2015      0000000854            1000.00             0.00       4536140.00  
95          20/05/2015      0000011571           66989.00             0.00       4603129.00  
96          21/05/2015      0000001743            1056.00             0.00       4604185.00  
97          21/05/2015      0000003300             289.00             0.00       4604474.00  
98          21/05/2015      0000003273             406.00             0.00       4604880.00  
99          21/05/2015      0000002808             150.00             0.00       4605030.00  
100         22/05/2015      0000003320          124000.00             0.00       4729030.00  
101         22/05/2015      0000013796           21148.00             0.00       4750178.00  
102         22/05/2015      0000014939           12717.00             0.00       4762895.00  
103         22/05/2015      0000003695             344.00             0.00       4763239.00  
104         22/05/2015      0000006001               0.00        346988.00       4416251.00  
105         22/05/2015      0000003372            1286.00             0.00       4417537.00  
106         23/05/2015      0000015176            2638.00             0.00       4420175.00  
107         23/05/2015      0000003449             167.00             0.00       4420342.00  
108         23/05/2015      0000003463            2930.00             0.00       4423272.00  
109         23/05/2015      0000002139            8481.00             0.00       4431753.00  
110         25/05/2015      0000005821               0.00        -59307.00       4491060.00  
111         25/05/2015      0000003522             301.00             0.00       4491361.00  
112         26/05/2015      0000004812            7629.00             0.00       4498990.00  
113         26/05/2015      0000002991           10415.00             0.00       4509405.00  
114         26/05/2015      0000001918              59.00             0.00       4509464.00  
115         26/05/2015      0000003584             215.00             0.00       4509679.00  
116         27/05/2015      0000016345           13436.00             0.00       4523115.00  
117         27/05/2015      0000002634             141.00             0.00       4523256.00  
118         27/05/2015      0000003670              42.00             0.00       4523298.00  
119         27/05/2015      0000001978             618.00             0.00       4523916.00  
120         27/05/2015      0000006134               0.00         20236.00       4503680.00  
121         27/05/2015      0000014833            3750.00             0.00       4507430.00  
122         27/05/2015      0000002345             250.00             0.00       4507680.00  
123         28/05/2015      0000003764              15.00             0.00       4507695.00  
124         28/05/2015      0000001992             100.00             0.00       4507795.00  
125         28/05/2015      0000003782             655.00             0.00       4508450.00  
126         28/05/2015      0000002155           25006.00             0.00       4533456.00  
127         28/05/2015      0000003056             467.00             0.00       4533923.00  
128         28/05/2015      0000004904            9704.00             0.00       4543627.00  
129         29/05/2015      0000016788           39827.00             0.00       4583454.00  
130         29/05/2015      0000016787           40000.00             0.00       4623454.00  
131         29/05/2015      0000003839             170.00             0.00       4623624.00  
132         29/05/2015      0000003816             112.00             0.00       4623736.00  
133         30/05/2015      0000002012           12100.00             0.00       4635836.00  
134         30/05/2015      0000002011           17900.00             0.00       4653736.00  
135         30/05/2015      0000003921              71.00             0.00       4653807.00  
136         30/05/2015      0000017096             631.00             0.00       4654438.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 1945533.00		Total Debit: 6726134.00		Closing Balance:4654438.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
