                                        Account Statement-06/2015
DDO:DIST JUDGE, ELURU(04011603001)                      Head of Account:Civil_Court_Deposits(8443001040001000000NVN)
                                    Opening Balance:64952138.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           02/06/2015      0000206192          102123.00             0.00      65054261.00  
2           02/06/2015      0000206190          645181.00             0.00      65699442.00  
3           02/06/2015      0000206194            1000.00             0.00      65700442.00  
4           02/06/2015      0000206191          111210.00             0.00      65811652.00  
5           03/06/2015      0000306024          297262.00             0.00      66108914.00  
6           03/06/2015      0000306001           35321.00             0.00      66144235.00  
7           03/06/2015      0000306003          460000.00             0.00      66604235.00  
8           03/06/2015      0000306021          270000.00             0.00      66874235.00  
9           03/06/2015      0000306014          420000.00             0.00      67294235.00  
10          03/06/2015      0000306020          130000.00             0.00      67424235.00  
11          03/06/2015      0000306013          475000.00             0.00      67899235.00  
12          03/06/2015      0000306012           38565.00             0.00      67937800.00  
13          03/06/2015      0000306023          285000.00             0.00      68222800.00  
14          03/06/2015      0000306005             970.00             0.00      68223770.00  
15          03/06/2015      0000306008          214193.00             0.00      68437963.00  
16          03/06/2015      0000306006          150000.00             0.00      68587963.00  
17          03/06/2015      0000306007          703394.00             0.00      69291357.00  
18          03/06/2015      0000306025          355000.00             0.00      69646357.00  
19          03/06/2015      0000306011          133910.00             0.00      69780267.00  
20          03/06/2015      0000306018          400000.00             0.00      70180267.00  
21          03/06/2015      0000306009          117552.00             0.00      70297819.00  
22          03/06/2015      0000306002          110534.00             0.00      70408353.00  
23          03/06/2015      0000306026          357182.00             0.00      70765535.00  
24          03/06/2015      0000306016          240000.00             0.00      71005535.00  
25          03/06/2015      0000306004          148566.00             0.00      71154101.00  
26          03/06/2015      0000306017           35000.00             0.00      71189101.00  
27          04/06/2015      0000406199           14816.00             0.00      71203917.00  
28          04/06/2015      0000406204           90202.00             0.00      71294119.00  
29          04/06/2015      0000406206           82387.00             0.00      71376506.00  
30          04/06/2015      0000406210           91531.00             0.00      71468037.00  
31          04/06/2015      0000406219          101318.00             0.00      71569355.00  
32          04/06/2015      0000406216          104111.00             0.00      71673466.00  
33          04/06/2015      0000406227           20021.00             0.00      71693487.00  
34          04/06/2015      0000406208           16833.00             0.00      71710320.00  
35          04/06/2015      0000406215          248944.00             0.00      71959264.00  
36          04/06/2015      0000406213          348686.00             0.00      72307950.00  
37          04/06/2015      0000406212           71266.00             0.00      72379216.00  
38          04/06/2015      0000406207           30567.00             0.00      72409783.00  
39          04/06/2015      0000406228           20021.00             0.00      72429804.00  
40          04/06/2015      0000406214           29975.00             0.00      72459779.00  
41          04/06/2015      0000406209           16833.00             0.00      72476612.00  
42          04/06/2015      0000406195           74294.00             0.00      72550906.00  
43          04/06/2015      0000406205           69045.00             0.00      72619951.00  
44          04/06/2015      0000406211          111661.00             0.00      72731612.00  
45          04/06/2015      0000406218           52055.00             0.00      72783667.00  
46          04/06/2015      0000406198          163598.00             0.00      72947265.00  
47          04/06/2015      0000406217           72878.00             0.00      73020143.00  
48          04/06/2015      0000406197           14816.00             0.00      73034959.00  
49          05/06/2015      0000506247          180229.00             0.00      73215188.00  
50          05/06/2015      0000506257          121025.00             0.00      73336213.00  
51          05/06/2015      0000506255          100579.00             0.00      73436792.00  
52          05/06/2015      0000506221           14160.00             0.00      73450952.00  
53          05/06/2015      0000506232           22529.00             0.00      73473481.00  
54          05/06/2015      0000506233          103232.00             0.00      73576713.00  
55          05/06/2015      0000506245           14988.00             0.00      73591701.00  
56          05/06/2015      0000506248           64133.00             0.00      73655834.00  
57          05/06/2015      0000506256          139811.00             0.00      73795645.00  
58          05/06/2015      0000506234          101028.00             0.00      73896673.00  
59          05/06/2015      0000506236           85287.00             0.00      73981960.00  
60          05/06/2015      0000506237          180403.00             0.00      74162363.00  
61          05/06/2015      0000506238           66773.00             0.00      74229136.00  
62          05/06/2015      0000506240           27822.00             0.00      74256958.00  
63          05/06/2015      0000506231           79715.00             0.00      74336673.00  
64          05/06/2015      0000506250          215841.00             0.00      74552514.00  
65          05/06/2015      0000506230          249052.00             0.00      74801566.00  
66          05/06/2015      0000506244           42870.00             0.00      74844436.00  
67          05/06/2015      0000506249          126038.00             0.00      74970474.00  
68          05/06/2015      0000506251          180229.00             0.00      75150703.00  
69          05/06/2015      0000506252           97149.00             0.00      75247852.00  
70          05/06/2015      0000506258           22005.00             0.00      75269857.00  
71          05/06/2015      0000506235          180404.00             0.00      75450261.00  
72          05/06/2015      0000506239           77902.00             0.00      75528163.00  
73          05/06/2015      0000506242          100160.00             0.00      75628323.00  
74          05/06/2015      0000506223           83036.00             0.00      75711359.00  
75          05/06/2015      0000506222          110714.00             0.00      75822073.00  
76          05/06/2015      0000506220          307438.00             0.00      76129511.00  
77          05/06/2015      0000506229          550000.00             0.00      76679511.00  
78          05/06/2015      0000506226          139536.00             0.00      76819047.00  
79          05/06/2015      0000506225           44286.00             0.00      76863333.00  
80          05/06/2015      0000506253          255949.00             0.00      77119282.00  
81          05/06/2015      0000506241           27822.00             0.00      77147104.00  
82          05/06/2015      0000506243           28502.00             0.00      77175606.00  
83          05/06/2015      0000506224           83036.00             0.00      77258642.00  
84          05/06/2015      0000506246           66143.00             0.00      77324785.00  
85          05/06/2015      0000506254           55357.00             0.00      77380142.00  
86          09/06/2015      0000906266          724292.00             0.00      78104434.00  
87          09/06/2015      0000906268           96574.00             0.00      78201008.00  
88          09/06/2015      0000906269           52524.00             0.00      78253532.00  
