                                        Account Statement-05/2015
DDO:ZILLA PARISHAD, DY CHIEF EXE OFFICER, ELURU, WG DIST(04012202009)                      Head of Account:ZPP_General_Fund(8448001090003001000NVN)
                                    Opening Balance:112252526.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/05/2015      0000000469          246188.00             0.00     112498714.00  
2           02/05/2015      0000004850            2400.00             0.00     112501114.00  
3           04/05/2015      0000000454           77000.00             0.00     112578114.00  
4           05/05/2015      0000005219          223274.00             0.00     112801388.00  
5           07/05/2015      0000005555            5000.00             0.00     112806388.00  
6           07/05/2015      0000003064            3000.00             0.00     112809388.00  
7           07/05/2015      0000001549           11700.00             0.00     112821088.00  
8           07/05/2015      0000005563            5095.00             0.00     112826183.00  
9           07/05/2015      0000001550           11700.00             0.00     112837883.00  
10          07/05/2015      0000004398            7200.00             0.00     112845083.00  
11          08/05/2015      0000000586            1000.00             0.00     112846083.00  
12          08/05/2015      0000001034           15000.00             0.00     112861083.00  
13          11/05/2015      0000004968        12000000.00             0.00     124861083.00  
14          11/05/2015      0000001846           45000.00             0.00     124906083.00  
15          11/05/2015      0000001847           45000.00             0.00     124951083.00  
16          11/05/2015      0000001848           45000.00             0.00     124996083.00  
17          11/05/2015      0000001237            6971.00             0.00     125003054.00  
18          12/05/2015      0000006165             600.00             0.00     125003654.00  
19          12/05/2015      0000003672           11736.00             0.00     125015390.00  
20          13/05/2015      0000003079               0.00        168384.00     124847006.00  
21          13/05/2015      0000006382            1000.00             0.00     124848006.00  
22          13/05/2015      0000001957           45000.00             0.00     124893006.00  
23          14/05/2015      0000003080               0.00         13141.00     124879865.00  
24          14/05/2015      0000003940           45000.00             0.00     124924865.00  
25          14/05/2015      0000006481            1000.00             0.00     124925865.00  
26          14/05/2015      0000002010           45000.00             0.00     124970865.00  
27          14/05/2015      0000003081               0.00         33917.00     124936948.00  
28          15/05/2015      0000003965            5000.00             0.00     124941948.00  
29          15/05/2015      0000003967            5000.00             0.00     124946948.00  
30          15/05/2015      0000006655           30452.00             0.00     124977400.00  
31          15/05/2015      0000003141               0.00       1000000.00     123977400.00  
32          15/05/2015      0000003140               0.00          6990.00     123970410.00  
33          15/05/2015      0000003137               0.00       2530795.00     121439615.00  
34          15/05/2015      0000003139               0.00         28875.00     121410740.00  
35          15/05/2015      0000003138               0.00       2589511.00     118821229.00  
36          15/05/2015      0000003961            5000.00             0.00     118826229.00  
37          16/05/2015      0000003119               0.00          6050.00     118820179.00  
38          16/05/2015      0000003120               0.00        780499.00     118039680.00  
39          16/05/2015      0000003121               0.00          8960.00     118030720.00  
40          16/05/2015      0000003118               0.00         16455.00     118014265.00  
41          16/05/2015      0000003122               0.00         15417.00     117998848.00  
42          18/05/2015      0000007005            3000.00             0.00     118001848.00  
43          18/05/2015      0000003192               0.00         11730.00     117990118.00  
44          18/05/2015      0000003191               0.00         14657.00     117975461.00  
45          18/05/2015      0000003190               0.00         26101.00     117949360.00  
46          18/05/2015      0000003189               0.00          2293.00     117947067.00  
47          18/05/2015      0000003188               0.00          2425.00     117944642.00  
48          18/05/2015      0000003187               0.00         14161.00     117930481.00  
49          18/05/2015      0000003186               0.00           554.00     117929927.00  
50          19/05/2015      0000003662               0.00          5203.00     117924724.00  
51          19/05/2015      0000007004         8120000.00             0.00     126044724.00  
52          19/05/2015      0000007144              50.00             0.00     126044774.00  
53          19/05/2015      0000003666               0.00         43990.00     126000784.00  
54          19/05/2015      0000003664               0.00          2350.00     125998434.00  
55          19/05/2015      0000003663               0.00          7900.00     125990534.00  
56          19/05/2015      0000003665               0.00          2838.00     125987696.00  
57          20/05/2015      0000003800               0.00          1302.00     125986394.00  
58          20/05/2015      0000002753            1000.00             0.00     125987394.00  
59          20/05/2015      0000003798               0.00          1680.00     125985714.00  
60          20/05/2015      0000003799               0.00          4855.00     125980859.00  
61          20/05/2015      0000003796               0.00          1800.00     125979059.00  
62          20/05/2015      0000003797               0.00          4125.00     125974934.00  
63          20/05/2015      0000004707            8524.00             0.00     125983458.00  
64          20/05/2015      0000004743           45000.00             0.00     126028458.00  
65          20/05/2015      0000006654            3930.00             0.00     126032388.00  
66          20/05/2015      0000007362            1000.00             0.00     126033388.00  
67          21/05/2015      0000003994               0.00        173181.00     125860207.00  
68          21/05/2015      0000001905            8524.00             0.00     125868731.00  
69          21/05/2015      0000003996               0.00        117269.00     125751462.00  
70          21/05/2015      0000003995               0.00        292415.00     125459047.00  
71          21/05/2015      0000003309           23700.00             0.00     125482747.00  
72          22/05/2015      0000004613               0.00        438983.00     125043764.00  
73          22/05/2015      0000007719            6000.00             0.00     125049764.00  
74          25/05/2015      0000007946            4975.00             0.00     125054739.00  
75          25/05/2015      0000004678               0.00          5644.00     125049095.00  
76          25/05/2015      0000007947           45666.00             0.00     125094761.00  
77          26/05/2015      0000004694               0.00        537593.00     124557168.00  
78          26/05/2015      0000004696               0.00        204110.00     124353058.00  
79          26/05/2015      0000001704            1000.00             0.00     124354058.00  
80          26/05/2015      0000005336           25000.00             0.00     124379058.00  
81          26/05/2015      0000004695               0.00         15087.00     124363971.00  
82          27/05/2015      0000004717               0.00        844552.00     123519419.00  
83          27/05/2015      0000001473            1000.00             0.00     123520419.00  
84          27/05/2015      0000004716               0.00          9560.00     123510859.00  
85          27/05/2015      0000004718               0.00        163106.00     123347753.00  
86          27/05/2015      0000000909           10000.00             0.00     123357753.00  
87          27/05/2015      0000000839            1000.00             0.00     123358753.00  
88          28/05/2015      0000004783               0.00          2936.00     123355817.00  
89          28/05/2015      0000004782               0.00       2264847.00     121090970.00  
90          28/05/2015      0000004779               0.00         10000.00     121080970.00  
91          28/05/2015      0000004780               0.00         21000.00     121059970.00  
92          28/05/2015      0000004781               0.00         60000.00     120999970.00  
93          28/05/2015      0000001434           15000.00             0.00     121014970.00  
94          28/05/2015      0000001435           15000.00             0.00     121029970.00  
