                                        Account Statement-05/2015
DDO:AGRL MARKETING COMMITTEE, SECY, MACHILIPATNAM(05010104001)                      Head of Account:Ag_Market_Committee_Funds(8448001200002000000NVN)
                                    Opening Balance:10232285.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/05/2015      0000000709            3800.00             0.00      10236085.00  
2           01/05/2015      0000001221               0.00        742284.00       9493801.00  
3           01/05/2015      0000000707           13500.00             0.00       9507301.00  
4           01/05/2015      0000000712            2900.00             0.00       9510201.00  
5           02/05/2015      0000000744           14980.00             0.00       9525181.00  
6           02/05/2015      0000000726           12053.00             0.00       9537234.00  
7           02/05/2015      0000000746            2500.00             0.00       9539734.00  
8           02/05/2015      0000000729            1605.00             0.00       9541339.00  
9           04/05/2015      0000000724           77840.00             0.00       9619179.00  
10          04/05/2015      0000000723            2100.00             0.00       9621279.00  
11          04/05/2015      0000000725            4483.00             0.00       9625762.00  
12          04/05/2015      0000000727           10000.00             0.00       9635762.00  
13          04/05/2015      0000000728           13158.00             0.00       9648920.00  
14          04/05/2015      0000000773            2650.00             0.00       9651570.00  
15          04/05/2015      0000000774            9600.00             0.00       9661170.00  
16          04/05/2015      0000000775           23300.00             0.00       9684470.00  
17          05/05/2015      0000000798           21600.00             0.00       9706070.00  
18          05/05/2015      0000000792            4400.00             0.00       9710470.00  
19          05/05/2015      0000000807           22170.00             0.00       9732640.00  
20          06/05/2015      0000000819            3257.00             0.00       9735897.00  
21          06/05/2015      0000000818           33000.00             0.00       9768897.00  
22          06/05/2015      0000000820             658.00             0.00       9769555.00  
23          07/05/2015      0000000848            2500.00             0.00       9772055.00  
24          07/05/2015      0000000861            2971.00             0.00       9775026.00  
25          07/05/2015      0000000843            1400.00             0.00       9776426.00  
26          07/05/2015      0000000846           23200.00             0.00       9799626.00  
27          08/05/2015      0000000908           24494.00             0.00       9824120.00  
28          08/05/2015      0000000869           21500.00             0.00       9845620.00  
29          08/05/2015      0000000868            8100.00             0.00       9853720.00  
30          08/05/2015      0000000909              60.00             0.00       9853780.00  
31          11/05/2015      0000000926            1800.00             0.00       9855580.00  
32          11/05/2015      0000000913           21880.00             0.00       9877460.00  
33          11/05/2015      0000000925            4650.00             0.00       9882110.00  
34          12/05/2015      0000000962           12600.00             0.00       9894710.00  
35          13/05/2015      0000000980           10600.00             0.00       9905310.00  
36          13/05/2015      0000000981             150.00             0.00       9905460.00  
37          13/05/2015      0000000982            5300.00             0.00       9910760.00  
38          14/05/2015      0000000987           54830.00             0.00       9965590.00  
39          14/05/2015      0000000988            2700.00             0.00       9968290.00  
40          15/05/2015      0000001008           36600.00             0.00      10004890.00  
41          15/05/2015      0000001007             150.00             0.00      10005040.00  
42          16/05/2015      0000001027             120.00             0.00      10005160.00  
43          16/05/2015      0000001028           28700.00             0.00      10033860.00  
44          18/05/2015      0000001047           10800.00             0.00      10044660.00  
45          18/05/2015      0000001073           23950.00             0.00      10068610.00  
46          18/05/2015      0000001048            7850.00             0.00      10076460.00  
47          19/05/2015      0000001103             104.00             0.00      10076564.00  
48          19/05/2015      0000001124            3600.00             0.00      10080164.00  
49          19/05/2015      0000001099           11200.00             0.00      10091364.00  
50          19/05/2015      0000001102            3125.00             0.00      10094489.00  
51          19/05/2015      0000001104            5440.00             0.00      10099929.00  
52          20/05/2015      0000001143           10986.00             0.00      10110915.00  
53          20/05/2015      0000001127             200.00             0.00      10111115.00  
54          20/05/2015      0000001128            5200.00             0.00      10116315.00  
55          20/05/2015      0000001129            1400.00             0.00      10117715.00  
56          20/05/2015      0000001139            9987.00             0.00      10127702.00  
57          21/05/2015      0000001144           18100.00             0.00      10145802.00  
58          21/05/2015      0000001145             300.00             0.00      10146102.00  
59          22/05/2015      0000001152             250.00             0.00      10146352.00  
60          22/05/2015      0000001153            2400.00             0.00      10148752.00  
61          22/05/2015      0000001154            6400.00             0.00      10155152.00  
62          23/05/2015      0000001164           11200.00             0.00      10166352.00  
63          25/05/2015      0000001175             400.00             0.00      10166752.00  
64          25/05/2015      0000001171           18200.00             0.00      10184952.00  
65          26/05/2015      0000001184            3300.00             0.00      10188252.00  
66          26/05/2015      0000001183           15500.00             0.00      10203752.00  
67          27/05/2015      0000001195           12400.00             0.00      10216152.00  
68          28/05/2015      0000001218              60.00             0.00      10216212.00  
69          28/05/2015      0000001219           21300.00             0.00      10237512.00  
70          28/05/2015      0000001220            7052.00             0.00      10244564.00  
71          28/05/2015      0000001211            2400.00             0.00      10246964.00  
72          28/05/2015      0000001837             882.00             0.00      10247846.00  
73          29/05/2015      0000001223           15300.00             0.00      10263146.00  
74          29/05/2015      0000001226            4379.00             0.00      10267525.00  
75          30/05/2015      0000001242            8600.00             0.00      10276125.00  
76          30/05/2015      0000001243             300.00             0.00      10276425.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 786424.00		Total Debit: 742284.00		Closing Balance:10276425.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
