                                        Account Statement-04/2015
DDO:SUB JUDGE, MACHILIPATNAM, KRISHNA DIST(05011603003)                      Head of Account:Civil_Court_Deposits(8443001040001000000NVN)
                                    Opening Balance:4046465.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           07/04/2015      0000000116             500.00             0.00       4046965.00  
2           13/04/2015      0000000117             500.00             0.00       4047465.00  
3           13/04/2015      0000000518               0.00         26710.00       4020755.00  
4           15/04/2015      0000000301            4480.00             0.00       4025235.00  
5           15/04/2015      0000000304            8329.00             0.00       4033564.00  
6           15/04/2015      0000000305            6611.00             0.00       4040175.00  
7           15/04/2015      0000000306            4900.00             0.00       4045075.00  
8           15/04/2015      0000000241           19000.00             0.00       4064075.00  
9           15/04/2015      0000000251            3524.00             0.00       4067599.00  
10          15/04/2015      0000000295            4480.00             0.00       4072079.00  
11          15/04/2015      0000000257            2000.00             0.00       4074079.00  
12          15/04/2015      0000000258            5350.00             0.00       4079429.00  
13          15/04/2015      0000000269            1000.00             0.00       4080429.00  
14          15/04/2015      0000000274            3650.00             0.00       4084079.00  
15          15/04/2015      0000000284           32483.00             0.00       4116562.00  
16          15/04/2015      0000000285           59824.00             0.00       4176386.00  
17          15/04/2015      0000000286            4900.00             0.00       4181286.00  
18          15/04/2015      0000000252             750.00             0.00       4182036.00  
19          15/04/2015      0000000296            8329.00             0.00       4190365.00  
20          15/04/2015      0000000297            6495.00             0.00       4196860.00  
21          16/04/2015      0000000288            4450.00             0.00       4201310.00  
22          16/04/2015      0000000289            7847.00             0.00       4209157.00  
23          16/04/2015      0000000290            5447.00             0.00       4214604.00  
24          16/04/2015      0000000291           31548.00             0.00       4246152.00  
25          16/04/2015      0000000292            3000.00             0.00       4249152.00  
26          16/04/2015      0000000294            3000.00             0.00       4252152.00  
27          16/04/2015      0000000298            4500.00             0.00       4256652.00  
28          16/04/2015      0000000299           13653.00             0.00       4270305.00  
29          16/04/2015      0000000300           59900.00             0.00       4330205.00  
30          16/04/2015      0000000303            7234.00             0.00       4337439.00  
31          16/04/2015      0000000293            3000.00             0.00       4340439.00  
32          16/04/2015      0000000250            5008.00             0.00       4345447.00  
33          16/04/2015      0000000256            2550.00             0.00       4347997.00  
34          16/04/2015      0000000260            5883.00             0.00       4353880.00  
35          16/04/2015      0000000261            4500.00             0.00       4358380.00  
36          16/04/2015      0000000262            5570.00             0.00       4363950.00  
37          16/04/2015      0000000263            5447.00             0.00       4369397.00  
38          16/04/2015      0000000264            7847.00             0.00       4377244.00  
39          16/04/2015      0000000265            4450.00             0.00       4381694.00  
40          16/04/2015      0000000268            5482.00             0.00       4387176.00  
41          16/04/2015      0000000270            2550.00             0.00       4389726.00  
42          16/04/2015      0000000271          102520.00             0.00       4492246.00  
43          16/04/2015      0000000272          193063.00             0.00       4685309.00  
44          16/04/2015      0000000273           21451.00             0.00       4706760.00  
45          16/04/2015      0000000275            4117.00             0.00       4710877.00  
46          16/04/2015      0000000276            5883.00             0.00       4716760.00  
47          16/04/2015      0000000249           67841.00             0.00       4784601.00  
48          16/04/2015      0000000282            4090.00             0.00       4788691.00  
49          16/04/2015      0000000283          125000.00             0.00       4913691.00  
50          16/04/2015      0000000287            5570.00             0.00       4919261.00  
51          20/04/2015      0000000424            2904.00             0.00       4922165.00  
52          20/04/2015      0000000423           60000.00             0.00       4982165.00  
53          20/04/2015      0000000412           96228.00             0.00       5078393.00  
54          21/04/2015      0000000266            9343.00             0.00       5087736.00  
55          21/04/2015      0000000267            3410.00             0.00       5091146.00  
56          21/04/2015      0000000302            3276.00             0.00       5094422.00  
57          21/04/2015      0000000413          711751.00             0.00       5806173.00  
58          21/04/2015      0000000824               0.00         23301.00       5782872.00  
59          21/04/2015      0000000255            4150.00             0.00       5787022.00  
60          21/04/2015      0000000259            3583.00             0.00       5790605.00  
61          23/04/2015      0000001072               0.00         63084.00       5727521.00  
62          24/04/2015      0000001124               0.00        128250.00       5599271.00  
63          24/04/2015      0000001122               0.00         96228.00       5503043.00  
64          27/04/2015      0000000602           60000.00             0.00       5563043.00  
65          27/04/2015      0000000601             500.00             0.00       5563543.00  
66          27/04/2015      0000001117               0.00         24000.00       5539543.00  
67          28/04/2015      0000000637          114170.00             0.00       5653713.00  
68          28/04/2015      0000000615             500.00             0.00       5654213.00  
69          30/04/2015      0000000684           12105.00             0.00       5666318.00  
70          30/04/2015      0000000702           29750.00             0.00       5696068.00  
71          30/04/2015      0000000697             500.00             0.00       5696568.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 2011676.00		Total Debit: 361573.00		Closing Balance:5696568.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
