                                        Account Statement-06/2015
DDO:ZILLA PARISHAD, DY DIST DEVE OFFR, MACHILIPATNAM, KRISHNA DIST(05012202002)                      Head of Account:ZPP_General_Fund(8448001090003001000NVN)
                                    Opening Balance:285840834.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      0000001612           25000.00             0.00     285865834.00  
2           02/06/2015      0000002605             600.00             0.00     285866434.00  
3           02/06/2015      0000002604             600.00             0.00     285867034.00  
4           02/06/2015      0000002603             600.00             0.00     285867634.00  
5           02/06/2015      0000002602             600.00             0.00     285868234.00  
6           02/06/2015      0000002600             600.00             0.00     285868834.00  
7           02/06/2015      0000002599             600.00             0.00     285869434.00  
8           02/06/2015      0000002597             600.00             0.00     285870034.00  
9           02/06/2015      0000002596             600.00             0.00     285870634.00  
10          02/06/2015      0000002595             600.00             0.00     285871234.00  
11          02/06/2015      0000002594             600.00             0.00     285871834.00  
12          02/06/2015      0000002593             600.00             0.00     285872434.00  
13          02/06/2015      0000002590             600.00             0.00     285873034.00  
14          02/06/2015      0000002589             600.00             0.00     285873634.00  
15          02/06/2015      0000002588             600.00             0.00     285874234.00  
16          02/06/2015      0000002587             600.00             0.00     285874834.00  
17          02/06/2015      0000002426             600.00             0.00     285875434.00  
18          02/06/2015      0000002427             600.00             0.00     285876034.00  
19          02/06/2015      0000002428             600.00             0.00     285876634.00  
20          02/06/2015      0000002429             600.00             0.00     285877234.00  
21          02/06/2015      0000002508             600.00             0.00     285877834.00  
22          02/06/2015      0000002510             600.00             0.00     285878434.00  
23          02/06/2015      0000002511             600.00             0.00     285879034.00  
24          02/06/2015      0000002540             600.00             0.00     285879634.00  
25          02/06/2015      0000002542             600.00             0.00     285880234.00  
26          02/06/2015      0000002551             600.00             0.00     285880834.00  
27          02/06/2015      0000002552             600.00             0.00     285881434.00  
28          02/06/2015      0000002553             600.00             0.00     285882034.00  
29          02/06/2015      0000002554             600.00             0.00     285882634.00  
30          02/06/2015      0000002585             600.00             0.00     285883234.00  
31          02/06/2015      0000002586             600.00             0.00     285883834.00  
32          02/06/2015      0000002622            1300.00             0.00     285885134.00  
33          02/06/2015      0000002623            1300.00             0.00     285886434.00  
34          02/06/2015      0000002624            1300.00             0.00     285887734.00  
35          02/06/2015      0000002625            1300.00             0.00     285889034.00  
36          02/06/2015      0000002037             600.00             0.00     285889634.00  
37          02/06/2015      0000002609             600.00             0.00     285890234.00  
38          02/06/2015      0000002423             600.00             0.00     285890834.00  
39          02/06/2015      0000002607             600.00             0.00     285891434.00  
40          02/06/2015      0000002412             600.00             0.00     285892034.00  
41          02/06/2015      0000002411             600.00             0.00     285892634.00  
42          02/06/2015      0000002608             600.00             0.00     285893234.00  
43          02/06/2015      0000002606             600.00             0.00     285893834.00  
