                                        Account Statement-06/2015
DDO:AGRL MARKETING COMMITTEE, SECY, GUNTUR(06010104002)                      Head of Account:Ag_Market_Committee_Funds(8448001200002000000NVN)
                                    Opening Balance:1378499774.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      0000001618          329276.00             0.00    1378829050.00  
2           01/06/2015      0000001614           29040.00             0.00    1378858090.00  
3           01/06/2015      0000001617          123543.00             0.00    1378981633.00  
4           01/06/2015      0000001620          450758.00             0.00    1379432391.00  
5           01/06/2015      0000001640           19953.00             0.00    1379452344.00  
6           01/06/2015      0000001791           57407.00             0.00    1379509751.00  
7           01/06/2015      0000001695          148729.00             0.00    1379658480.00  
8           01/06/2015      0000001643          112974.00             0.00    1379771454.00  
9           01/06/2015      0000001642          178137.00             0.00    1379949591.00  
10          01/06/2015      0000001641            7014.00             0.00    1379956605.00  
11          01/06/2015      0000001639           15152.00             0.00    1379971757.00  
12          01/06/2015      0000001638           21330.00             0.00    1379993087.00  
13          01/06/2015      0000001637          250605.00             0.00    1380243692.00  
14          01/06/2015      0000001636           66225.00             0.00    1380309917.00  
15          01/06/2015      0000001634          174138.00             0.00    1380484055.00  
16          01/06/2015      0000001633           15407.00             0.00    1380499462.00  
17          01/06/2015      0000001632           49488.00             0.00    1380548950.00  
18          01/06/2015      0000001631          276400.00             0.00    1380825350.00  
19          01/06/2015      0000001621          195689.00             0.00    1381021039.00  
20          01/06/2015      0000001607           17663.00             0.00    1381038702.00  
21          01/06/2015      0000001608           28721.00             0.00    1381067423.00  
22          01/06/2015      0000001609           18475.00             0.00    1381085898.00  
23          01/06/2015      0000001610           51299.00             0.00    1381137197.00  
24          01/06/2015      0000001611           76342.00             0.00    1381213539.00  
25          01/06/2015      0000001612             677.00             0.00    1381214216.00  
26          01/06/2015      0000001613           43414.00             0.00    1381257630.00  
27          01/06/2015      0000001615           93636.00             0.00    1381351266.00  
28          01/06/2015      0000001616          105502.00             0.00    1381456768.00  
29          01/06/2015      0000001619          391954.00             0.00    1381848722.00  
30          02/06/2015      0000001664          949560.00             0.00    1382798282.00  
31          02/06/2015      0000001665          823549.00             0.00    1383621831.00  
32          02/06/2015      0000001658           70572.00             0.00    1383692403.00  
33          02/06/2015      0000001660          118764.00             0.00    1383811167.00  
34          02/06/2015      0000001659          277346.00             0.00    1384088513.00  
35          02/06/2015      0000001666         1444384.00             0.00    1385532897.00  
36          02/06/2015      0000001737           61430.00             0.00    1385594327.00  
37          02/06/2015      0000001661           58627.00             0.00    1385652954.00  
38          02/06/2015      0000001662          160825.00             0.00    1385813779.00  
39          02/06/2015      0000001663          456810.00             0.00    1386270589.00  
40          03/06/2015      0000001703          468755.00             0.00    1386739344.00  
41          03/06/2015      0000001707          351912.00             0.00    1387091256.00  
42          03/06/2015      0000001708          191318.00             0.00    1387282574.00  
43          03/06/2015      0000001706          160121.00             0.00    1387442695.00  
44          03/06/2015      0000001698          293175.00             0.00    1387735870.00  
45          03/06/2015      0000001699          525402.00             0.00    1388261272.00  
46          03/06/2015      0000001724          166645.00             0.00    1388427917.00  
47          03/06/2015      0000001709          164618.00             0.00    1388592535.00  
48          03/06/2015      0000001725          127729.00             0.00    1388720264.00  
49          03/06/2015      0000001726          133827.00             0.00    1388854091.00  
50          03/06/2015      0000001727          210194.00             0.00    1389064285.00  
51          03/06/2015      0000001759           42695.00             0.00    1389106980.00  
52          03/06/2015      0000001704          241496.00             0.00    1389348476.00  
53          03/06/2015      0000001705          177905.00             0.00    1389526381.00  
54          03/06/2015      0000001700          283771.00             0.00    1389810152.00  
55          03/06/2015      0000001701          274043.00             0.00    1390084195.00  
56          03/06/2015      0000001702          500805.00             0.00    1390585000.00  
57          04/06/2015      0000001710           39443.00             0.00    1390624443.00  
58          04/06/2015      0000001696           23807.00             0.00    1390648250.00  
59          04/06/2015      0000001826          116993.00             0.00    1390765243.00  
60          04/06/2015      0000001738          420229.00             0.00    1391185472.00  
61          04/06/2015      0000001718           42467.00             0.00    1391227939.00  
62          04/06/2015      0000001728           22061.00             0.00    1391250000.00  
63          04/06/2015      0000001723           16685.00             0.00    1391266685.00  
64          04/06/2015      0000001722           28929.00             0.00    1391295614.00  
65          04/06/2015      0000001721           95233.00             0.00    1391390847.00  
66          04/06/2015      0000001720           31608.00             0.00    1391422455.00  
67          04/06/2015      0000001719           42282.00             0.00    1391464737.00  
68          04/06/2015      0000001717           42878.00             0.00    1391507615.00  
69          04/06/2015      0000001716            7456.00             0.00    1391515071.00  
70          04/06/2015      0000001715            1359.00             0.00    1391516430.00  
71          04/06/2015      0000001714           43745.00             0.00    1391560175.00  
72          04/06/2015      0000001713            3707.00             0.00    1391563882.00  
73          04/06/2015      0000001712            8687.00             0.00    1391572569.00  
74          04/06/2015      0000001697          125079.00             0.00    1391697648.00  
75          05/06/2015      0000001769          625720.00             0.00    1392323368.00  
76          05/06/2015      0000001763          328649.00             0.00    1392652017.00  
77          05/06/2015      0000001764          252773.00             0.00    1392904790.00  
78          05/06/2015      0000001765          363290.00             0.00    1393268080.00  
79          05/06/2015      0000001766          635257.00             0.00    1393903337.00  
80          05/06/2015      0000001768          370361.00             0.00    1394273698.00  
81          05/06/2015      0000001774          308865.00             0.00    1394582563.00  
82          05/06/2015      0000001778          655655.00             0.00    1395238218.00  
83          05/06/2015      0000001785          471842.00             0.00    1395710060.00  
84          05/06/2015      0000001786          998620.00             0.00    1396708680.00  
85          05/06/2015      0000001787         2577324.00             0.00    1399286004.00  
86          05/06/2015      0000001866           17125.00             0.00    1399303129.00  
87          06/06/2015      0000001770           24819.00             0.00    1399327948.00  
88          06/06/2015      0000001773            4102.00             0.00    1399332050.00  
89          06/06/2015      0000001775           15977.00             0.00    1399348027.00  
90          06/06/2015      0000001776            5133.00             0.00    1399353160.00  
91          06/06/2015      0000001777           39655.00             0.00    1399392815.00  
92          06/06/2015      0000001779           99768.00             0.00    1399492583.00  
93          06/06/2015      0000001780          170204.00             0.00    1399662787.00  
94          06/06/2015      0000001781          163393.00             0.00    1399826180.00  
95          06/06/2015      0000001782           10518.00             0.00    1399836698.00  
96          06/06/2015      0000001783           17333.00             0.00    1399854031.00  
97          06/06/2015      0000001784           36705.00             0.00    1399890736.00  
98          06/06/2015      0000001788           21635.00             0.00    1399912371.00  
99          06/06/2015      0000001789          129156.00             0.00    1400041527.00  
100         06/06/2015      0000001790            6395.00             0.00    1400047922.00  
101         06/06/2015      0000001919           19740.00             0.00    1400067662.00  
102         06/06/2015      0000001761            5937.00             0.00    1400073599.00  
103         06/06/2015      0000001762            3905.00             0.00    1400077504.00  
104         06/06/2015      0000001771           20889.00             0.00    1400098393.00  
105         06/06/2015      0000001772           16224.00             0.00    1400114617.00  
106         06/06/2015      0000001767           14000.00             0.00    1400128617.00  
107         08/06/2015      0000001875          509029.00             0.00    1400637646.00  
108         08/06/2015      0000001868            1888.00             0.00    1400639534.00  
109         08/06/2015      0000001869            8244.00             0.00    1400647778.00  
110         08/06/2015      0000001870           17183.00             0.00    1400664961.00  
111         08/06/2015      0000001871          169020.00             0.00    1400833981.00  
112         08/06/2015      0000001872            3732.00             0.00    1400837713.00  
113         08/06/2015      0000001876          117353.00             0.00    1400955066.00  
114         08/06/2015      0000001877          231697.00             0.00    1401186763.00  
115         08/06/2015      0000001878          192647.00             0.00    1401379410.00  
116         08/06/2015      0000001934          125528.00             0.00    1401504938.00  
117         09/06/2015      0000001949           22649.00             0.00    1401527587.00  
118         10/06/2015      0000002009           13025.00             0.00    1401540612.00  
119         10/06/2015      0000002000           14757.00             0.00    1401555369.00  
