                                        Account Statement-05/2015
DDO:ZILLA GRANDHALAYA SAMSTH, SECY, GUNTUR(06010104003)                      Head of Account:ZILLA_GRANDALAYA(8448001200003000000NVN)
                                    Opening Balance:6184066.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/05/2015      0000009525           69933.00             0.00       6253999.00  
2           01/05/2015      0000003211               0.00        164228.00       6089771.00  
3           01/05/2015      0000009860           47237.00             0.00       6137008.00  
4           01/05/2015      0000001659             133.00             0.00       6137141.00  
5           04/05/2015      0000000458            2700.00             0.00       6139841.00  
6           04/05/2015      0000010456            8647.00             0.00       6148488.00  
7           05/05/2015      0000003772            2435.00             0.00       6150923.00  
8           05/05/2015      0000010610           10700.00             0.00       6161623.00  
9           05/05/2015      0000001770             324.00             0.00       6161947.00  
10          06/05/2015      0000001254           10326.00             0.00       6172273.00  
11          06/05/2015      0000000628            8261.00             0.00       6180534.00  
12          06/05/2015      0000003920               0.00         25475.00       6155059.00  
13          07/05/2015      0000003929               0.00         44056.00       6111003.00  
14          07/05/2015      0000002724           91234.00             0.00       6202237.00  
15          08/05/2015      0000004076           50379.00             0.00       6252616.00  
16          08/05/2015      0000001957            8483.00             0.00       6261099.00  
17          09/05/2015      0000000422           40000.00             0.00       6301099.00  
18          11/05/2015      0000001313            8552.00             0.00       6309651.00  
19          11/05/2015      0000004269               0.00          2650.00       6307001.00  
20          13/05/2015      0000002982           18526.00             0.00       6325527.00  
21          13/05/2015      0000012493            9251.00             0.00       6334778.00  
22          13/05/2015      0000002053             600.00             0.00       6335378.00  
23          13/05/2015      0000001366            2937.00             0.00       6338315.00  
24          14/05/2015      0000004559           17207.00             0.00       6355522.00  
25          14/05/2015      0000003099           30756.00             0.00       6386278.00  
26          14/05/2015      0000000692            6570.00             0.00       6392848.00  
27          14/05/2015      0000004318               0.00         15000.00       6377848.00  
28          14/05/2015      0000002146            1145.00             0.00       6378993.00  
29          14/05/2015      0000003074            9260.00             0.00       6388253.00  
30          15/05/2015      0000002917          216666.00             0.00       6604919.00  
31          15/05/2015      0000004656           28316.00             0.00       6633235.00  
32          15/05/2015      0000004357               0.00        229152.00       6404083.00  
33          15/05/2015      0000002919          216667.00             0.00       6620750.00  
34          15/05/2015      0000003138            7852.00             0.00       6628602.00  
35          15/05/2015      0000003139           12560.00             0.00       6641162.00  
36          16/05/2015      0000001456            7768.00             0.00       6648930.00  
37          16/05/2015      0000000860           77189.00             0.00       6726119.00  
38          16/05/2015      0000001455            8000.00             0.00       6734119.00  
39          16/05/2015      0000003261            8333.00             0.00       6742452.00  
40          16/05/2015      0000002281              73.00             0.00       6742525.00  
41          18/05/2015      0000002274           45203.00             0.00       6787728.00  
42          18/05/2015      0000012922          190477.00             0.00       6978205.00  
43          18/05/2015      0000001761           20912.00             0.00       6999117.00  
44          19/05/2015      0000003409            8777.00             0.00       7007894.00  
45          19/05/2015      0000002383             288.00             0.00       7008182.00  
46          19/05/2015      0000002356             199.00             0.00       7008381.00  
47          19/05/2015      0000000774             920.00             0.00       7009301.00  
48          21/05/2015      0000002875            1051.00             0.00       7010352.00  
49          22/05/2015      0000001936            9122.00             0.00       7019474.00  
50          22/05/2015      0000001654            3288.00             0.00       7022762.00  
51          22/05/2015      0000001655            7759.00             0.00       7030521.00  
52          22/05/2015      0000001653            7569.00             0.00       7038090.00  
53          22/05/2015      0000000766            3420.00             0.00       7041510.00  
54          23/05/2015      0000000841           51496.00             0.00       7093006.00  
55          23/05/2015      0000006318               0.00       5971129.00       1121877.00  
56          23/05/2015      0000001001           24058.00             0.00       1145935.00  
57          25/05/2015      0000006293               0.00        229882.00        916053.00  
58          25/05/2015      0000005659           11104.00             0.00        927157.00  
59          25/05/2015      0000005646            2991.00             0.00        930148.00  
60          25/05/2015      0000005638           11480.00             0.00        941628.00  
61          25/05/2015      0000005594             380.00             0.00        942008.00  
62          25/05/2015      0000002008            4055.00             0.00        946063.00  
63          25/05/2015      0000004848           14956.00             0.00        961019.00  
64          25/05/2015      0000004849             100.00             0.00        961119.00  
65          25/05/2015      0000005368            6582.00             0.00        967701.00  
66          25/05/2015      0000003737             410.00             0.00        968111.00  
67          26/05/2015      0000002654             379.00             0.00        968490.00  
68          26/05/2015      0000002610             300.00             0.00        968790.00  
69          27/05/2015      0000002634             640.00             0.00        969430.00  
70          27/05/2015      0000002084            2304.00             0.00        971734.00  
71          27/05/2015      0000016841            1600.00             0.00        973334.00  
72          27/05/2015      0000016990            5200.00             0.00        978534.00  
73          28/05/2015      0000000921             100.00             0.00        978634.00  
74          28/05/2015      0000005967            2150.00             0.00        980784.00  
75          29/05/2015      0000001037            7506.00             0.00        988290.00  
76          29/05/2015      0000001828            6981.00             0.00        995271.00  
77          29/05/2015      0000006050            7071.00             0.00       1002342.00  
78          30/05/2015      0000004141           10983.00             0.00       1013325.00  
79          30/05/2015      0000002815            2870.00             0.00       1016195.00  
80          30/05/2015      0000006286            3110.00             0.00       1019305.00  
81          30/05/2015      0000002244          200000.00             0.00       1219305.00  
82          30/05/2015      0000001929             100.00             0.00       1219405.00  
83          30/05/2015      0000002892             345.00             0.00       1219750.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 1717256.00		Total Debit: 6681572.00		Closing Balance:1219750.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
