                                        Account Statement-06/2015
DDO:DIST INSURANCE OFFICE, JT DIRECTOR, GUNTUR (06010704001)                      Head of Account:(8011001050001000000NVN)
                                    Opening Balance:597811.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      0000002595             450.00             0.00        598261.00  
2           01/06/2015      0000002573            1000.00             0.00        599261.00  
3           01/06/2015      0000002569            1000.00             0.00        600261.00  
4           01/06/2015      0000002570             750.00             0.00        601011.00  
5           01/06/2015      0000002571             750.00             0.00        601761.00  
6           01/06/2015      0000002572            1000.00             0.00        602761.00  
7           01/06/2015      0000002574            1000.00             0.00        603761.00  
8           01/06/2015      0000002583             450.00             0.00        604211.00  
9           01/06/2015      0000002584             450.00             0.00        604661.00  
10          01/06/2015      0000002585             350.00             0.00        605011.00  
11          01/06/2015      0000002587             750.00             0.00        605761.00  
12          01/06/2015      0000002588             600.00             0.00        606361.00  
13          01/06/2015      0000002589             600.00             0.00        606961.00  
14          01/06/2015      0000002592              75.00             0.00        607036.00  
15          01/06/2015      0000002593             350.00             0.00        607386.00  
16          01/06/2015      0000002594             350.00             0.00        607736.00  
17          01/06/2015      0000002591             350.00             0.00        608086.00  
18          01/06/2015      0000018352             600.00             0.00        608686.00  
19          02/06/2015      0000018630            5250.00             0.00        613936.00  
20          03/06/2015      0000018145            2000.00             0.00        615936.00  
21          03/06/2015      0000002402             350.00             0.00        616286.00  
22          03/06/2015      0000018141            2000.00             0.00        618286.00  
23          05/06/2015      0000019491             250.00             0.00        618536.00  
24          05/06/2015      0000002464             450.00             0.00        618986.00  
25          05/06/2015      0000019383             450.00             0.00        619436.00  
26          05/06/2015      0000019381             600.00             0.00        620036.00  
27          05/06/2015      0000003120             750.00             0.00        620786.00  
28          06/06/2015      0000019029            1200.00             0.00        621986.00  
29          06/06/2015      0000019008             600.00             0.00        622586.00  
30          06/06/2015      0000018922            6500.00             0.00        629086.00  
31          06/06/2015      0000019005             750.00             0.00        629836.00  
32          06/06/2015      0000019009             450.00             0.00        630286.00  
33          08/06/2015      0000019124             750.00             0.00        631036.00  
34          08/06/2015      0000019134             450.00             0.00        631486.00  
35          08/06/2015      0000019390            1500.00             0.00        632986.00  
36          08/06/2015      0000019388            1250.00             0.00        634236.00  
37          08/06/2015      0000019385            1500.00             0.00        635736.00  
38          08/06/2015      0000019384             750.00             0.00        636486.00  
39          08/06/2015      0000019140             750.00             0.00        637236.00  
40          09/06/2015      0000020366             750.00             0.00        637986.00  
41          09/06/2015      0000020336             600.00             0.00        638586.00  
42          10/06/2015      0000001173             450.00             0.00        639036.00  
43          10/06/2015      0000020015            2000.00             0.00        641036.00  
44          10/06/2015      0000019840            1225.00             0.00        642261.00  
45          11/06/2015      0000020006            4086.00             0.00        646347.00  
46          11/06/2015      0000020007            5350.00             0.00        651697.00  
47          11/06/2015      0000020411            1500.00             0.00        653197.00  
48          11/06/2015      0000020616             750.00             0.00        653947.00  
49          11/06/2015      0000020613           17599.00             0.00        671546.00  
50          11/06/2015      0000020005            1200.00             0.00        672746.00  
51          12/06/2015      0000005794             600.00             0.00        673346.00  
52          12/06/2015      0000021239             600.00             0.00        673946.00  
53          13/06/2015      0000021041             700.00             0.00        674646.00  
54          13/06/2015      0000021016            1750.00             0.00        676396.00  
55          13/06/2015      0000021015            1150.00             0.00        677546.00  
56          13/06/2015      0000020995            1950.00             0.00        679496.00  
57          13/06/2015      0000020993             750.00             0.00        680246.00  
58          13/06/2015      0000020992              75.00             0.00        680321.00  
59          13/06/2015      0000021043             350.00             0.00        680671.00  
60          13/06/2015      0000021042            4950.00             0.00        685621.00  
61          16/06/2015      0000021781             600.00             0.00        686221.00  
62          16/06/2015      0000021284             750.00             0.00        686971.00  
63          16/06/2015      0000021283            1000.00             0.00        687971.00  
64          17/06/2015      0000007039           16492.00             0.00        704463.00  
65          17/06/2015      0000007038           36066.00             0.00        740529.00  
66          17/06/2015      0000007037           15000.00             0.00        755529.00  
67          20/06/2015      021128                   0.00       1809606.00      -1054077.00  
68          20/06/2015      021127                   0.00       2267447.00      -3321524.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 157718.00		Total Debit: 4077053.00		Closing Balance:-3321524.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
