                                        Account Statement-06/2015
DDO:ZILLA PARISHAD, CEO, GUNTUR(06012202002)                      Head of Account:ZPP_General_Fund(8448001090003001000NVN)
                                    Opening Balance:260233179.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      0000005536           16900.00             0.00     260250079.00  
2           01/06/2015      0000018367           45000.00             0.00     260295079.00  
3           01/06/2015      0000002259             100.00             0.00     260295179.00  
4           03/06/2015      0000002355            1700.00             0.00     260296879.00  
5           04/06/2015      0000002432            1080.00             0.00     260297959.00  
6           04/06/2015      0000003031            3900.00             0.00     260301859.00  
7           05/06/2015      0000001847            5000.00             0.00     260306859.00  
8           05/06/2015      0000001842            5000.00             0.00     260311859.00  
9           05/06/2015      0000001843            5000.00             0.00     260316859.00  
10          05/06/2015      0000001844            5000.00             0.00     260321859.00  
11          05/06/2015      0000001845            5000.00             0.00     260326859.00  
12          05/06/2015      0000001846            5000.00             0.00     260331859.00  
13          05/06/2015      0000001848            5000.00             0.00     260336859.00  
14          05/06/2015      0000001849            5000.00             0.00     260341859.00  
15          05/06/2015      0000001850            5000.00             0.00     260346859.00  
16          05/06/2015      0000001851            5000.00             0.00     260351859.00  
17          05/06/2015      0000001852            5000.00             0.00     260356859.00  
18          05/06/2015      0000001853            5000.00             0.00     260361859.00  
19          05/06/2015      0000001854            5000.00             0.00     260366859.00  
20          06/06/2015      0090009356              12.00             0.00     260366871.00  
21          06/06/2015      0090010018              43.00             0.00     260366914.00  
22          08/06/2015      0000006032            6000.00             0.00     260372914.00  
23          09/06/2015      0000003213             300.00             0.00     260373214.00  
24          09/06/2015      0000001887            1000.00             0.00     260374214.00  
25          09/06/2015      0000001947            1000.00             0.00     260375214.00  
26          10/06/2015      0000006305           12000.00             0.00     260387214.00  
27          10/06/2015      0000006304           12000.00             0.00     260399214.00  
28          11/06/2015      0000002027            2500.00             0.00     260401714.00  
29          11/06/2015      0000020879            6500.00             0.00     260408214.00  
30          11/06/2015      0000002026            5000.00             0.00     260413214.00  
31          12/06/2015      0000021236           15000.00             0.00     260428214.00  
32          12/06/2015      0000021162           45000.00             0.00     260473214.00  
33          12/06/2015      0000021160           45000.00             0.00     260518214.00  
34          12/06/2015      0000021174            5000.00             0.00     260523214.00  
35          12/06/2015      0000021235           10000.00             0.00     260533214.00  
36          13/06/2015      0000003447            2170.00             0.00     260535384.00  
37          15/06/2015      0000006560           40000.00             0.00     260575384.00  
38          15/06/2015      0000006585            6924.00             0.00     260582308.00  
39          15/06/2015      0000006586            5396.00             0.00     260587704.00  
40          15/06/2015      0000001181         1103797.00             0.00     261691501.00  
41          15/06/2015      0000003576             600.00             0.00     261692101.00  
42          15/06/2015      0000003577             600.00             0.00     261692701.00  
43          15/06/2015      0000003575             600.00             0.00     261693301.00  
44          15/06/2015      0000003574             600.00             0.00     261693901.00  
45          15/06/2015      0000003459            2240.00             0.00     261696141.00  
46          15/06/2015      0000021443            4150.00             0.00     261700291.00  
47          15/06/2015      0000006556            5534.00             0.00     261705825.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 1472646.00		Total Debit: 0.00		Closing Balance:261705825.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
