                                        Account Statement-04/2015
DDO:MUNICIPAL COMMISSIONER, ONGOLE(07011802001)                      Head of Account:MuncipalGeneralFund(8448001020003001000NVN)
                                    Opening Balance:166604865.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           02/04/2015      0000000006          638284.00             0.00     167243149.00  
2           02/04/2015      0000000008          149935.00             0.00     167393084.00  
3           04/04/2015      0000000033          117983.00             0.00     167511067.00  
4           06/04/2015      08179/0604        38185000.00             0.00     205696067.00  
5           06/04/2015      0000000097          294602.00             0.00     205990669.00  
6           07/04/2015      0000000005            6560.00             0.00     205997229.00  
7           07/04/2015      0000000125          198410.00             0.00     206195639.00  
8           08/04/2015      08047/0804           12547.00             0.00     206208186.00  
9           08/04/2015      0000000124         3632561.00             0.00     209840747.00  
10          09/04/2015      0000000902               0.00        644653.00     209196094.00  
11          09/04/2015      0000000204           70525.00             0.00     209266619.00  
12          09/04/2015      0000000205            3030.00             0.00     209269649.00  
13          09/04/2015      0000000206            6903.00             0.00     209276552.00  
14          09/04/2015      0000000224          138585.00             0.00     209415137.00  
15          09/04/2015      0000000231           35710.00             0.00     209450847.00  
16          13/04/2015      0000000257          109884.00             0.00     209560731.00  
17          15/04/2015      0000000227            7200.00             0.00     209567931.00  
18          15/04/2015      0000000228           29250.00             0.00     209597181.00  
19          15/04/2015      0000000230           10918.00             0.00     209608099.00  
20          15/04/2015      0000000259           17300.00             0.00     209625399.00  
21          15/04/2015      0000000226            8010.00             0.00     209633409.00  
22          15/04/2015      0000000286            1700.00             0.00     209635109.00  
23          15/04/2015      0000000287           14200.00             0.00     209649309.00  
24          15/04/2015      0000000288            2300.00             0.00     209651609.00  
25          15/04/2015      0000000276          267428.00             0.00     209919037.00  
26          16/04/2015      0000000280            3750.00             0.00     209922787.00  
27          16/04/2015      0000000278            6800.00             0.00     209929587.00  
28          16/04/2015      0000000279           10100.00             0.00     209939687.00  
29          16/04/2015      0000000281           11900.00             0.00     209951587.00  
30          16/04/2015      0000000282           20100.00             0.00     209971687.00  
31          16/04/2015      0000000283           15100.00             0.00     209986787.00  
32          16/04/2015      0000000284          107200.00             0.00     210093987.00  
33          16/04/2015      0000000285           10400.00             0.00     210104387.00  
34          16/04/2015      0000000302          108870.00             0.00     210213257.00  
35          16/04/2015      0000000310           18750.00             0.00     210232007.00  
36          16/04/2015      0000000312            2000.00             0.00     210234007.00  
37          17/04/2015      0000000309            4000.00             0.00     210238007.00  
38          17/04/2015      0000000308             896.00             0.00     210238903.00  
39          17/04/2015      0000000307          148373.00             0.00     210387276.00  
40          17/04/2015      0000000305            6114.00             0.00     210393390.00  
41          17/04/2015      0000000306            9268.00             0.00     210402658.00  
42          17/04/2015      0000000348            2750.00             0.00     210405408.00  
43          17/04/2015      0000000311          443520.00             0.00     210848928.00  
44          18/04/2015      0000000389           80538.00             0.00     210929466.00  
45          18/04/2015      0000000349           45400.00             0.00     210974866.00  
46          20/04/2015      0000000463          138960.00             0.00     211113826.00  
47          20/04/2015      0000000473            3135.00             0.00     211116961.00  
48          20/04/2015      0000000472            9415.00             0.00     211126376.00  
49          21/04/2015      0000000466            3135.00             0.00     211129511.00  
50          21/04/2015      0000000467            6280.00             0.00     211135791.00  
51          21/04/2015      0000000468            9701.00             0.00     211145492.00  
52          21/04/2015      0000000469           35284.00             0.00     211180776.00  
53          21/04/2015      0000000567          128673.00             0.00     211309449.00  
54          22/04/2015      0000000569          998585.00             0.00     212308034.00  
55          22/04/2015      0000000570          200000.00             0.00     212508034.00  
56          22/04/2015      0000000633          164997.00             0.00     212673031.00  
57          23/04/2015      0000000655           11000.00             0.00     212684031.00  
58          23/04/2015      0000000652           71345.00             0.00     212755376.00  
59          24/04/2015      0000000676           97994.00             0.00     212853370.00  
60          24/04/2015      0000000654             720.00             0.00     212854090.00  
61          25/04/2015      0000000697          196656.00             0.00     213050746.00  
62          27/04/2015      0000000707           72730.00             0.00     213123476.00  
63          27/04/2015      0000000709           17620.00             0.00     213141096.00  
64          28/04/2015      0000000737          183110.00             0.00     213324206.00  
65          29/04/2015      0000000750           24600.00             0.00     213348806.00  
66          30/04/2015      0000000752             800.00             0.00     213349606.00  
67          30/04/2015      0000000761          119300.00             0.00     213468906.00  
68          30/04/2015      0000000760           46500.00             0.00     213515406.00  
69          30/04/2015      0000000759           79300.00             0.00     213594706.00  
70          30/04/2015      0000000758          134300.00             0.00     213729006.00  
71          30/04/2015      0000000757            3600.00             0.00     213732606.00  
72          30/04/2015      0000000756            3000.00             0.00     213735606.00  
73          30/04/2015      0000000755            9000.00             0.00     213744606.00  
74          30/04/2015      0000000753            8400.00             0.00     213753006.00  
75          30/04/2015      0000000754            1600.00             0.00     213754606.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 47794394.00		Total Debit: 644653.00		Closing Balance:213754606.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
