                                        Account Statement-06/2015
DDO:DIST JUDGE, KURNOOL (09011603001)                      Head of Account:Civil_Court_Deposits(8443001040001000000NVN)
                                    Opening Balance:5099060.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      0000003134           59620.00             0.00       5158680.00  
2           01/06/2015      0000003135           44463.00             0.00       5203143.00  
3           01/06/2015      0000003136          200422.00             0.00       5403565.00  
4           01/06/2015      0000003207           16080.00             0.00       5419645.00  
5           01/06/2015      0000003208           10000.00             0.00       5429645.00  
6           01/06/2015      0000003209           10000.00             0.00       5439645.00  
7           02/06/2015      0000003210           96231.00             0.00       5535876.00  
8           02/06/2015      0000003211          419516.00             0.00       5955392.00  
9           02/06/2015      0000003212          130530.00             0.00       6085922.00  
10          02/06/2015      0000003213           34708.00             0.00       6120630.00  
11          02/06/2015      0000003215          195000.00             0.00       6315630.00  
12          02/06/2015      0000003132             900.00             0.00       6316530.00  
13          02/06/2015      0000003133            1000.00             0.00       6317530.00  
14          02/06/2015      0000003137          100000.00             0.00       6417530.00  
15          02/06/2015      0000003169          143170.00             0.00       6560700.00  
16          02/06/2015      0000003170          297253.00             0.00       6857953.00  
17          02/06/2015      0000003171           87970.00             0.00       6945923.00  
18          02/06/2015      0000003109          246878.00             0.00       7192801.00  
19          02/06/2015      0000003110           22304.00             0.00       7215105.00  
20          02/06/2015      0000003111          147838.00             0.00       7362943.00  
21          02/06/2015      0000003112          246878.00             0.00       7609821.00  
22          02/06/2015      0000003114          112206.00             0.00       7722027.00  
23          02/06/2015      0000003115          122225.00             0.00       7844252.00  
24          02/06/2015      0000003116          328464.00             0.00       8172716.00  
25          02/06/2015      0000003117           46348.00             0.00       8219064.00  
26          02/06/2015      0000003118          118772.00             0.00       8337836.00  
27          02/06/2015      0000003119           53205.00             0.00       8391041.00  
28          02/06/2015      0000003120          583802.00             0.00       8974843.00  
29          02/06/2015      0000003121           27713.00             0.00       9002556.00  
30          02/06/2015      0000003122          140000.00             0.00       9142556.00  
31          02/06/2015      0000003123          279469.00             0.00       9422025.00  
32          02/06/2015      0000003124          350197.00             0.00       9772222.00  
33          02/06/2015      0000003125            1125.00             0.00       9773347.00  
34          02/06/2015      0000003113          246878.00             0.00      10020225.00  
35          02/06/2015      0000003138           65000.00             0.00      10085225.00  
36          02/06/2015      0000003172          340000.00             0.00      10425225.00  
37          02/06/2015      0000003097          152000.00             0.00      10577225.00  
38          02/06/2015      0000003098          625000.00             0.00      11202225.00  
39          02/06/2015      0000003099          184924.00             0.00      11387149.00  
40          02/06/2015      0000003100          233318.00             0.00      11620467.00  
41          02/06/2015      0000003101          590191.00             0.00      12210658.00  
42          02/06/2015      0000003102          244901.00             0.00      12455559.00  
43          02/06/2015      0000003103            1977.00             0.00      12457536.00  
44          02/06/2015      0000003104          246878.00             0.00      12704414.00  
45          02/06/2015      0000003105          246878.00             0.00      12951292.00  
46          02/06/2015      0000003106          147918.00             0.00      13099210.00  
47          02/06/2015      0000003107          246878.00             0.00      13346088.00  
48          03/06/2015      0000003258           24077.00             0.00      13370165.00  
49          03/06/2015      0000003254           58442.00             0.00      13428607.00  
50          03/06/2015      0000003252            1820.00             0.00      13430427.00  
51          03/06/2015      0000003255          500000.00             0.00      13930427.00  
52          03/06/2015      0000003259           41135.00             0.00      13971562.00  
53          03/06/2015      0000003257         1009862.00             0.00      14981424.00  
54          08/06/2015      0000001282         -129200.00             0.00      14852224.00  
55          11/06/2015      0000003802          206812.00             0.00      15059036.00  
56          11/06/2015      0000003804           34510.00             0.00      15093546.00  
57          11/06/2015      0000003805           34510.00             0.00      15128056.00  
58          11/06/2015      0000003811          551610.00             0.00      15679666.00  
59          11/06/2015      0000003812          535236.00             0.00      16214902.00  
60          11/06/2015      0000003813          174741.00             0.00      16389643.00  
61          11/06/2015      0000003834             513.00             0.00      16390156.00  
62          11/06/2015      0000003835             513.00             0.00      16390669.00  
63          11/06/2015      0000003801            9090.00             0.00      16399759.00  
64          12/06/2015      0000003826          382015.00             0.00      16781774.00  
65          12/06/2015      0000003800           80330.00             0.00      16862104.00  
66          12/06/2015      0000003803           72942.00             0.00      16935046.00  
67          12/06/2015      0000003807           53777.00             0.00      16988823.00  
68          12/06/2015      0000003808          428395.00             0.00      17417218.00  
69          12/06/2015      0000003810          732300.00             0.00      18149518.00  
70          12/06/2015      0000003815           54497.00             0.00      18204015.00  
71          12/06/2015      0000003816           44074.00             0.00      18248089.00  
72          12/06/2015      0000003818          407521.00             0.00      18655610.00  
73          12/06/2015      0000003820          165078.00             0.00      18820688.00  
74          12/06/2015      0000003821          646696.00             0.00      19467384.00  
75          12/06/2015      0000003822          893672.00             0.00      20361056.00  
76          12/06/2015      0000003823          540000.00             0.00      20901056.00  
77          12/06/2015      0000003824           57060.00             0.00      20958116.00  
78          12/06/2015      0000003825          225000.00             0.00      21183116.00  
79          12/06/2015      0000003827           52382.00             0.00      21235498.00  
80          12/06/2015      0000003828          203364.00             0.00      21438862.00  
81          12/06/2015      0000003829          139044.00             0.00      21577906.00  
82          12/06/2015      0000003830          524739.00             0.00      22102645.00  
83          12/06/2015      0000003831            2125.00             0.00      22104770.00  
84          12/06/2015      0000003832          123484.00             0.00      22228254.00  
85          12/06/2015      0000003833           68601.00             0.00      22296855.00  
86          12/06/2015      0000004206          460000.00             0.00      22756855.00  
87          16/06/2015      0000004176           38937.00             0.00      22795792.00  
88          16/06/2015      0000004183           13891.00             0.00      22809683.00  
89          16/06/2015      0000004185          207638.00             0.00      23017321.00  
90          16/06/2015      0000004187           81757.00             0.00      23099078.00  
91          16/06/2015      0000004190          109000.00             0.00      23208078.00  
92          16/06/2015      0000004191          265000.00             0.00      23473078.00  
93          16/06/2015      0000004192         1140077.00             0.00      24613155.00  
94          16/06/2015      0000004230          200000.00             0.00      24813155.00  
95          16/06/2015      0000004231            1133.00             0.00      24814288.00  
96          17/06/2015      0000004343           16080.00             0.00      24830368.00  
97          18/06/2015      0000004297          201416.00             0.00      25031784.00  
98          18/06/2015      0000004298           75790.00             0.00      25107574.00  
99          18/06/2015      0000004299           58358.00             0.00      25165932.00  
100         18/06/2015      0000004342           46354.00             0.00      25212286.00  
101         18/06/2015      0000004419           14851.00             0.00      25227137.00  
102         18/06/2015      0000004420             281.00             0.00      25227418.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 20128358.00		Total Debit: 0.00		Closing Balance:25227418.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
