                                        Account Statement-06/2015
DDO:MUNICIPAL COMMISSIONER, KURNOOL(09011806001)                      Head of Account:Muncipal CORP Salary Fund(8448001020006002000NVN)
                                    Opening Balance:300330126.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      0000003223          549335.00             0.00     300879461.00  
2           01/06/2015      0000003221          202115.00             0.00     301081576.00  
3           02/06/2015      0000003225          167850.00             0.00     301249426.00  
4           02/06/2015      0000003276          961720.00             0.00     302211146.00  
5           02/06/2015      0000003274          127865.00             0.00     302339011.00  
6           02/06/2015      0000003226           62595.00             0.00     302401606.00  
7           03/06/2015      0000003336          896333.00             0.00     303297939.00  
8           03/06/2015      0000003334           11955.00             0.00     303309894.00  
9           04/06/2015      0000003365           81655.00             0.00     303391549.00  
10          04/06/2015      0000003369          886056.00             0.00     304277605.00  
11          05/06/2015      0000003451          817053.00             0.00     305094658.00  
12          05/06/2015      0000003366          185160.00             0.00     305279818.00  
13          05/06/2015      0000003367           66060.00             0.00     305345878.00  
14          05/06/2015      0000003443          196250.00             0.00     305542128.00  
15          06/06/2015      0000003371           57870.00             0.00     305599998.00  
16          06/06/2015      0000003488          581063.00             0.00     306181061.00  
17          06/06/2015      0000003478          192425.00             0.00     306373486.00  
18          08/06/2015      0000003449          171330.00             0.00     306544816.00  
19          08/06/2015      0000003673          776468.00             0.00     307321284.00  
20          08/06/2015      0000003448          130200.00             0.00     307451484.00  
21          08/06/2015      0000003495           89685.00             0.00     307541169.00  
22          08/06/2015      0000003489          124155.00             0.00     307665324.00  
23          09/06/2015      0000003716          886506.00             0.00     308551830.00  
24          09/06/2015      0000003710          106415.00             0.00     308658245.00  
25          10/06/2015      0000003836           71535.00             0.00     308729780.00  
26          10/06/2015      0000003809         1139217.00             0.00     309868997.00  
27          10/06/2015      0000003784           64275.00             0.00     309933272.00  
28          10/06/2015      0000003845             498.00             0.00     309933770.00  
29          11/06/2015      0000003846           15363.00             0.00     309949133.00  
30          11/06/2015      0000003847          219718.00             0.00     310168851.00  
31          11/06/2015      0000003848            1145.00             0.00     310169996.00  
32          11/06/2015      0000003849           21912.00             0.00     310191908.00  
33          11/06/2015      0000003850            2780.00             0.00     310194688.00  
34          11/06/2015      0000003851            3300.00             0.00     310197988.00  
35          11/06/2015      0000003852            2660.00             0.00     310200648.00  
36          11/06/2015      0000003853           84084.00             0.00     310284732.00  
37          11/06/2015      0000003865          194290.00             0.00     310479022.00  
38          11/06/2015      0000004146         1352622.00             0.00     311831644.00  
39          12/06/2015      0000004151          349811.00             0.00     312181455.00  
40          12/06/2015      0000006260           55725.00             0.00     312237180.00  
41          12/06/2015      0000003819            9600.00             0.00     312246780.00  
42          12/06/2015      0000003817          135025.00             0.00     312381805.00  
43          12/06/2015      0000004180          908076.00             0.00     313289881.00  
44          12/06/2015      0000004167          238630.00             0.00     313528511.00  
45          12/06/2015      0000004153          403396.00             0.00     313931907.00  
46          13/06/2015      0000004198            3240.00             0.00     313935147.00  
47          13/06/2015      0000004199           26042.00             0.00     313961189.00  
48          13/06/2015      0000004200          330681.00             0.00     314291870.00  
49          15/06/2015      0000004247          355790.00             0.00     314647660.00  
50          15/06/2015      0000007713           38000.00             0.00     314685660.00  
51          15/06/2015      0000007891         5000000.00             0.00     319685660.00  
52          15/06/2015      0000004241          152400.00             0.00     319838060.00  
53          15/06/2015      0000004246          248720.00             0.00     320086780.00  
54          15/06/2015      0000004248         1420385.00             0.00     321507165.00  
55          15/06/2015      0000004250         1163066.00             0.00     322670231.00  
56          16/06/2015      0000004301          107520.00             0.00     322777751.00  
57          16/06/2015      0000004369          282160.00             0.00     323059911.00  
58          17/06/2015      0000004302           25860.00             0.00     323085771.00  
59          17/06/2015      0000004357           13385.00             0.00     323099156.00  
60          17/06/2015      0000004361           25585.00             0.00     323124741.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 22794615.00		Total Debit: 0.00		Closing Balance:323124741.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
