                                        Account Statement-06/2015
DDO:ZILLA PARISHAD, CHIEF EXE OFFICER, KURNOOL(09012202003)                      Head of Account:ZPP_General_Fund(8448001090003001000NVN)
                                    Opening Balance:15223649.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      0000013517              75.00             0.00      15223724.00  
2           01/06/2015      0000001965             250.00             0.00      15223974.00  
3           02/06/2015      0000002037             100.00             0.00      15224074.00  
4           03/06/2015      0000002971             733.00             0.00      15224807.00  
5           03/06/2015      0000002972            1283.00             0.00      15226090.00  
6           05/06/2015      0000004997             400.00             0.00      15226490.00  
7           05/06/2015      0000002137             100.00             0.00      15226590.00  
8           05/06/2015      0000001907             800.00             0.00      15227390.00  
9           05/06/2015      0000003288           26950.00             0.00      15254340.00  
10          06/06/2015      0090009739              20.00             0.00      15254360.00  
11          06/06/2015      0000014724             500.00             0.00      15254860.00  
12          06/06/2015      0090009457              21.00             0.00      15254881.00  
13          06/06/2015      0090009586              59.00             0.00      15254940.00  
14          06/06/2015      0090009781              56.00             0.00      15254996.00  
15          06/06/2015      0090009799              44.00             0.00      15255040.00  
16          06/06/2015      0090009952              63.00             0.00      15255103.00  
17          06/06/2015      0090009398             176.00             0.00      15255279.00  
18          06/06/2015      0090009460            1321.00             0.00      15256600.00  
19          06/06/2015      0090009501             162.00             0.00      15256762.00  
20          06/06/2015      0090009507              25.00             0.00      15256787.00  
21          06/06/2015      0090009558              10.00             0.00      15256797.00  
22          06/06/2015      0090009566              61.00             0.00      15256858.00  
23          06/06/2015      0090009587             178.00             0.00      15257036.00  
24          06/06/2015      0090009649              16.00             0.00      15257052.00  
25          06/06/2015      0090009738              10.00             0.00      15257062.00  
26          06/06/2015      0090009741              38.00             0.00      15257100.00  
27          06/06/2015      0090009742              29.00             0.00      15257129.00  
28          06/06/2015      0090009956              95.00             0.00      15257224.00  
29          06/06/2015      0090009974              24.00             0.00      15257248.00  
30          06/06/2015      0090010038              15.00             0.00      15257263.00  
31          06/06/2015      0090010092            1339.00             0.00      15258602.00  
32          06/06/2015      0000002984           40746.00             0.00      15299348.00  
33          06/06/2015      0000002985           20239.00             0.00      15319587.00  
34          06/06/2015      0090009329             134.00             0.00      15319721.00  
35          06/06/2015      0090009330              37.00             0.00      15319758.00  
36          06/06/2015      0090009370             138.00             0.00      15319896.00  
37          09/06/2015      0000000755           22611.00             0.00      15342507.00  
38          10/06/2015      0000002262             150.00             0.00      15342657.00  
39          11/06/2015      0000005425             200.00             0.00      15342857.00  
40          11/06/2015      0000001355           80946.00             0.00      15423803.00  
41          11/06/2015      0000001357              71.00             0.00      15423874.00  
42          11/06/2015      0000001348           98707.00             0.00      15522581.00  
43          12/06/2015      0000005497           15000.00             0.00      15537581.00  
44          15/06/2015      0000005615           15000.00             0.00      15552581.00  
45          16/06/2015      0000006865           12300.00             0.00      15564881.00  
46          16/06/2015      0000006863         2925500.00             0.00      18490381.00  
47          16/06/2015      0000005166           23900.00             0.00      18514281.00  
48          16/06/2015      0000006862         2615200.00             0.00      21129481.00  
49          17/06/2015      0000004333            2500.00             0.00      21131981.00  
50          17/06/2015      0000004365          400000.00             0.00      21531981.00  
51          18/06/2015      0000004165            3272.00             0.00      21535253.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 6311604.00		Total Debit: 0.00		Closing Balance:21535253.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
