                                        Account Statement-04/2015
DDO:PD Administrator(10011603007)                      Head of Account:Civil_Court_Deposits(8443001040001000000NVN)
                                    Opening Balance:16934703.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           02/04/2015      0000000854               0.00        130009.00      16804694.00  
2           02/04/2015      0000000853               0.00         65233.00      16739461.00  
3           06/04/2015      0000001036               0.00        136430.00      16603031.00  
4           06/04/2015      0006041092           77710.00             0.00      16680741.00  
5           06/04/2015      0006041106           10000.00             0.00      16690741.00  
6           06/04/2015      0000001038               0.00         39121.00      16651620.00  
7           06/04/2015      0000001037               0.00         46100.00      16605520.00  
8           07/04/2015      0007041110            2000.00             0.00      16607520.00  
9           07/04/2015      0000070444            2200.00             0.00      16609720.00  
10          07/04/2015      0007041105            2000.00             0.00      16611720.00  
11          07/04/2015      0007041112            2100.00             0.00      16613820.00  
12          07/04/2015      0000070433            2600.00             0.00      16616420.00  
13          07/04/2015      0000070445            1500.00             0.00      16617920.00  
14          07/04/2015      0007041111            1000.00             0.00      16618920.00  
15          08/04/2015      0008041082           33300.00             0.00      16652220.00  
16          08/04/2015      0008041097            3000.00             0.00      16655220.00  
17          08/04/2015      0008041094            1000.00             0.00      16656220.00  
18          08/04/2015      0008041098            7000.00             0.00      16663220.00  
19          08/04/2015      0000080442           10000.00             0.00      16673220.00  
20          08/04/2015      0000001080               0.00        116329.00      16556891.00  
21          08/04/2015      0008041079           24000.00             0.00      16580891.00  
22          08/04/2015      0008041081           33300.00             0.00      16614191.00  
23          10/04/2015      0000001102               0.00          4599.00      16609592.00  
24          10/04/2015      0000100447            1700.00             0.00      16611292.00  
25          10/04/2015      0000100446            3100.00             0.00      16614392.00  
26          11/04/2015      0000110418            6800.00             0.00      16621192.00  
27          11/04/2015      0000110420            5175.00             0.00      16626367.00  
28          11/04/2015      0000110422            7724.00             0.00      16634091.00  
29          11/04/2015      0000110430            6000.00             0.00      16640091.00  
30          11/04/2015      0000110421            2000.00             0.00      16642091.00  
31          11/04/2015      0011041100           11482.00             0.00      16653573.00  
32          11/04/2015      0011041101           10000.00             0.00      16663573.00  
33          11/04/2015      0000011047            5335.00             0.00      16668908.00  
34          11/04/2015      0000110410            9330.00             0.00      16678238.00  
35          11/04/2015      0000110413            8901.00             0.00      16687139.00  
36          11/04/2015      0011041102            1000.00             0.00      16688139.00  
37          11/04/2015      0000011043           12308.00             0.00      16700447.00  
38          11/04/2015      0000001119               0.00         49185.00      16651262.00  
39          11/04/2015      0011041103            1000.00             0.00      16652262.00  
40          11/04/2015      0000110428            2000.00             0.00      16654262.00  
41          13/04/2015      0013041114            3419.00             0.00      16657681.00  
42          13/04/2015      0000130424            9236.00             0.00      16666917.00  
43          13/04/2015      0000130417           11521.00             0.00      16678438.00  
44          13/04/2015      0000130425           12767.00             0.00      16691205.00  
45          13/04/2015      0000130426            3585.00             0.00      16694790.00  
46          13/04/2015      0000130429           12000.00             0.00      16706790.00  
47          13/04/2015      0000130438            1000.00             0.00      16707790.00  
48          13/04/2015      0000130440            2000.00             0.00      16709790.00  
49          13/04/2015      0013041104           17537.00             0.00      16727327.00  
50          13/04/2015      0000013049           15002.00             0.00      16742329.00  
51          13/04/2015      0000001125               0.00        277693.00      16464636.00  
52          13/04/2015      0000130443            3400.00             0.00      16468036.00  
53          13/04/2015      0013041113            6350.00             0.00      16474386.00  
54          13/04/2015      0013041109            1000.00             0.00      16475386.00  
55          13/04/2015      0000130437            5100.00             0.00      16480486.00  
56          13/04/2015      0013041029           20466.00             0.00      16500952.00  
57          13/04/2015      0013041080           33977.00             0.00      16534929.00  
58          15/04/2015      0000150419           14938.00             0.00      16549867.00  
59          15/04/2015      0000150411            6000.00             0.00      16555867.00  
60          15/04/2015      0000150416            3000.00             0.00      16558867.00  
61          15/04/2015      0015041093            8000.00             0.00      16566867.00  
62          15/04/2015      0015041095            4000.00             0.00      16570867.00  
63          15/04/2015      0000015048            1000.00             0.00      16571867.00  
64          15/04/2015      0000150412            6450.00             0.00      16578317.00  
65          15/04/2015      0000015042            2000.00             0.00      16580317.00  
66          15/04/2015      0000150434            8700.00             0.00      16589017.00  
67          15/04/2015      0000150441           25940.00             0.00      16614957.00  
68          15/04/2015      0000150423            7900.00             0.00      16622857.00  
