                                        Account Statement-06/2015
DDO:DIST JUDGE, CHITTOOR (11011603004)                      Head of Account:Civil_Court_Deposits(8443001040001000000NVN)
                                    Opening Balance:51800672.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           02/06/2015      0000002052          204658.00             0.00      52005330.00  
2           02/06/2015      0000002055           95464.00             0.00      52100794.00  
3           02/06/2015      0000002056          406855.00             0.00      52507649.00  
4           02/06/2015      0000002054           79551.00             0.00      52587200.00  
5           02/06/2015      0000002053           51666.00             0.00      52638866.00  
6           02/06/2015      0000002051          526149.00             0.00      53165015.00  
7           03/06/2015      0000002082          185981.00             0.00      53350996.00  
8           04/06/2015      0000002085          200000.00             0.00      53550996.00  
9           04/06/2015      0000002084          280671.00             0.00      53831667.00  
10          09/06/2015      0000002260          320658.00             0.00      54152325.00  
11          09/06/2015      0000002259            2000.00             0.00      54154325.00  
12          09/06/2015      0000002258            2000.00             0.00      54156325.00  
13          09/06/2015      0000002320          575000.00             0.00      54731325.00  
14          09/06/2015      0000002261          250000.00             0.00      54981325.00  
15          12/06/2015      0000002270          101039.00             0.00      55082364.00  
16          12/06/2015      0000002262           42674.00             0.00      55125038.00  
17          12/06/2015      0000002263           25410.00             0.00      55150448.00  
18          12/06/2015      0000002264          111304.00             0.00      55261752.00  
19          12/06/2015      0000002265           59337.00             0.00      55321089.00  
20          12/06/2015      0000002266          124050.00             0.00      55445139.00  
21          12/06/2015      0000002267           62019.00             0.00      55507158.00  
22          12/06/2015      0000002268          229229.00             0.00      55736387.00  
23          12/06/2015      0000002269          124639.00             0.00      55861026.00  
24          12/06/2015      0000002271          148625.00             0.00      56009651.00  
25          12/06/2015      0000002272           72888.00             0.00      56082539.00  
26          12/06/2015      0000002369           23697.00             0.00      56106236.00  
27          12/06/2015      0000002370          261554.00             0.00      56367790.00  
28          16/06/2015      0000002514          147900.00             0.00      56515690.00  
29          17/06/2015      0000002519          121227.00             0.00      56636917.00  
30          17/06/2015      0000002515          101533.00             0.00      56738450.00  
31          17/06/2015      0000002516          106403.00             0.00      56844853.00  
32          17/06/2015      0000002517           90921.00             0.00      56935774.00  
33          17/06/2015      0000002518           31778.00             0.00      56967552.00  
34          17/06/2015      0000002521          124259.00             0.00      57091811.00  
35          17/06/2015      0000002522          193002.00             0.00      57284813.00  
36          17/06/2015      0000002523            5091.00             0.00      57289904.00  
37          17/06/2015      0000002524           33378.00             0.00      57323282.00  
38          18/06/2015      024740                   0.00        222994.00      57100288.00  
39          19/06/2015      0000002588           43658.00             0.00      57143946.00  
40          19/06/2015      024741                   0.00        139910.00      57004036.00  
41          19/06/2015      024742                   0.00        305722.00      56698314.00  
42          20/06/2015      0000002619          124713.00             0.00      56823027.00  
43          20/06/2015      0000002620          166162.00             0.00      56989189.00  
44          20/06/2015      024743                   0.00        348700.00      56640489.00  
45          20/06/2015      024744                   0.00         64616.00      56575873.00  
46          20/06/2015      024745                   0.00         64616.00      56511257.00  
47          23/06/2015      024752                   0.00        387308.00      56123949.00  
48          23/06/2015      024751                   0.00        284988.00      55838961.00  
49          23/06/2015      024750                   0.00        548756.00      55290205.00  
50          23/06/2015      024749                   0.00         28221.00      55261984.00  
51          23/06/2015      024748                   0.00        100000.00      55161984.00  
52          23/06/2015      024747                   0.00        126718.00      55035266.00  
53          23/06/2015      024746                   0.00         83605.00      54951661.00  
54          24/06/2015      024753                   0.00        117195.00      54834466.00  
55          24/06/2015      024754                   0.00         85000.00      54749466.00  
56          24/06/2015      024755                   0.00         49279.00      54700187.00  
57          24/06/2015      024756                   0.00       2284740.00      52415447.00  
58          24/06/2015      024757                   0.00        316804.00      52098643.00  
59          24/06/2015      024758                   0.00        316804.00      51781839.00  
60          24/06/2015      024759                   0.00         70024.00      51711815.00  
61          24/06/2015      024760                   0.00        280000.00      51431815.00  
62          24/06/2015      024761                   0.00        150000.00      51281815.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 5857143.00		Total Debit: 6376000.00		Closing Balance:51281815.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
