                                        Account Statement-06/2015
DDO:ZILLA GRANDHALAYA SAMSTH, SECY, YSR KADAPA(12010313001)                      Head of Account:ZILLA_GRANDALAYA(8448001200003000000NVN)
                                    Opening Balance:43839235.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      0000001879             214.00             0.00      43839449.00  
2           01/06/2015      0000001899             600.00             0.00      43840049.00  
3           01/06/2015      0000002385            2342.00             0.00      43842391.00  
4           01/06/2015      0000005175            4556.00             0.00      43846947.00  
5           02/06/2015      0000002416            2127.00             0.00      43849074.00  
6           02/06/2015      0000006798          100000.00             0.00      43949074.00  
7           02/06/2015      0000001935            1212.00             0.00      43950286.00  
8           02/06/2015      0000001960           11542.00             0.00      43961828.00  
9           02/06/2015      0000001932             300.00             0.00      43962128.00  
10          02/06/2015      0000005307            5004.00             0.00      43967132.00  
11          02/06/2015      0000001269             205.00             0.00      43967337.00  
12          02/06/2015      0000001933            2866.00             0.00      43970203.00  
13          03/06/2015      0000005425            6739.00             0.00      43976942.00  
14          03/06/2015      0000001827             908.00             0.00      43977850.00  
15          03/06/2015      0000002471            1603.00             0.00      43979453.00  
16          03/06/2015      0000002026           15848.00             0.00      43995301.00  
17          04/06/2015      0000001849             461.00             0.00      43995762.00  
18          04/06/2015      0000005537            4309.00             0.00      44000071.00  
19          04/06/2015      0000001305             300.00             0.00      44000371.00  
20          04/06/2015      0000002126           12548.00             0.00      44012919.00  
21          04/06/2015      0000002496            1493.00             0.00      44014412.00  
22          05/06/2015      0000002146           17949.00             0.00      44032361.00  
23          05/06/2015      0000002505            1273.00             0.00      44033634.00  
24          05/06/2015      0000001934            2400.00             0.00      44036034.00  
25          05/06/2015      0000001434             200.00             0.00      44036234.00  
26          05/06/2015      0000005605            8438.00             0.00      44044672.00  
27          06/06/2015      0000005707            3684.00             0.00      44048356.00  
28          06/06/2015      0000002170           15856.00             0.00      44064212.00  
29          08/06/2015      0000005777            5131.00             0.00      44069343.00  
30          08/06/2015      0000001731             200.00             0.00      44069543.00  
31          08/06/2015      0000002189           19803.00             0.00      44089346.00  
32          08/06/2015      0000001762             135.00             0.00      44089481.00  
33          09/06/2015      0000005906            5344.00             0.00      44094825.00  
34          09/06/2015      0000002018             776.00             0.00      44095601.00  
35          09/06/2015      0000002210           22977.00             0.00      44118578.00  
36          09/06/2015      0000002638            1182.00             0.00      44119760.00  
37          10/06/2015      0000002243           23317.00             0.00      44143077.00  
38          10/06/2015      0000002060             988.00             0.00      44144065.00  
39          10/06/2015      0000005991           13549.00             0.00      44157614.00  
