                                        Account Statement-05/2015
DDO:MUNICIPAL COMMISSIONER, YSR KADAPA(12011802002)                      Head of Account:Muncipal CORP Salary Fund(8448001020006002000NVN)
                                    Opening Balance:18351469.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/05/2015      0000000974          603073.00             0.00      18954542.00  
2           01/05/2015      0000000990          109920.00             0.00      19064462.00  
3           02/05/2015      0000001005           41977.00             0.00      19106439.00  
4           02/05/2015      0000001010            8325.00             0.00      19114764.00  
5           04/05/2015      0000001052           96840.00             0.00      19211604.00  
6           04/05/2015      0000001051           14922.00             0.00      19226526.00  
7           05/05/2015      0000001082           60855.00             0.00      19287381.00  
8           05/05/2015      0000000954          138185.00             0.00      19425566.00  
9           05/05/2015      0000000912          200000.00             0.00      19625566.00  
10          05/05/2015      0000001055           37161.00             0.00      19662727.00  
11          06/05/2015      0000000918           10280.00             0.00      19673007.00  
12          06/05/2015      0000001124           30980.00             0.00      19703987.00  
13          06/05/2015      0000001114           28678.00             0.00      19732665.00  
14          06/05/2015      0000000834           37275.00             0.00      19769940.00  
15          06/05/2015      0000000900           18990.00             0.00      19788930.00  
16          06/05/2015      0000000999           27900.00             0.00      19816830.00  
17          07/05/2015      0000001150          193560.00             0.00      20010390.00  
18          07/05/2015      0000001132           44046.00             0.00      20054436.00  
19          07/05/2015      0000000991           30945.00             0.00      20085381.00  
20          07/05/2015      0000000937            6780.00             0.00      20092161.00  
21          08/05/2015      0000001179          117335.00             0.00      20209496.00  
22          08/05/2015      0000001039           61865.00             0.00      20271361.00  
23          08/05/2015      0000001112           21660.00             0.00      20293021.00  
24          08/05/2015      0000001176           28475.00             0.00      20321496.00  
25          11/05/2015      0000000909           94028.00             0.00      20415524.00  
26          11/05/2015      0000001202           13455.00             0.00      20428979.00  
27          12/05/2015      0000001236           10500.00             0.00      20439479.00  
28          12/05/2015      0000001144           49905.00             0.00      20489384.00  
29          12/05/2015      0000001157           78000.00             0.00      20567384.00  
30          12/05/2015      0000001197           33390.00             0.00      20600774.00  
31          12/05/2015      0000001258          147020.00             0.00      20747794.00  
32          13/05/2015      0000001270           41301.00             0.00      20789095.00  
33          14/05/2015      0000004564               0.00      15000000.00       5789095.00  
34          14/05/2015      0000001426          196090.00             0.00       5985185.00  
35          14/05/2015      0000001399           11246.00             0.00       5996431.00  
36          15/05/2015      0000001430            5659.00             0.00       6002090.00  
37          15/05/2015      0000001477          166410.00             0.00       6168500.00  
38          16/05/2015      0000001436           74830.00             0.00       6243330.00  
39          16/05/2015      0000001494           19245.00             0.00       6262575.00  
40          16/05/2015      0000001246            2250.00             0.00       6264825.00  
41          16/05/2015      0000001409          114607.00             0.00       6379432.00  
42          16/05/2015      0000001410          111242.00             0.00       6490674.00  
43          16/05/2015      0000001483           14744.00             0.00       6505418.00  
44          18/05/2015      0000001545          115625.00             0.00       6621043.00  
45          18/05/2015      0000001497            8875.00             0.00       6629918.00  
46          19/05/2015      0000001578           10890.00             0.00       6640808.00  
47          19/05/2015      0000001564           36975.00             0.00       6677783.00  
48          20/05/2015      0000001601          131595.00             0.00       6809378.00  
49          20/05/2015      0000001507           14050.00             0.00       6823428.00  
50          20/05/2015      0000001590          173392.00             0.00       6996820.00  
51          21/05/2015      0000001608           44471.00             0.00       7041291.00  
52          21/05/2015      0000001629          427380.00             0.00       7468671.00  
53          22/05/2015      0000001552           50540.00             0.00       7519211.00  
54          22/05/2015      0000001677          178380.00             0.00       7697591.00  
55          22/05/2015      0000001493           79530.00             0.00       7777121.00  
56          22/05/2015      0000001617            1000.00             0.00       7778121.00  
57          22/05/2015      0000001605          135000.00             0.00       7913121.00  
58          22/05/2015      0000001570          167070.00             0.00       8080191.00  
59          22/05/2015      0000001683          127052.00             0.00       8207243.00  
60          23/05/2015      0000001733           90483.00             0.00       8297726.00  
61          25/05/2015      0000001743           61148.00             0.00       8358874.00  
62          25/05/2015      0000001724           93485.00             0.00       8452359.00  
63          25/05/2015      0000001748           32385.00             0.00       8484744.00  
64          26/05/2015      0000001767           98446.00             0.00       8583190.00  
65          26/05/2015      0000001770           57435.00             0.00       8640625.00  
66          26/05/2015      0000001640          141135.00             0.00       8781760.00  
67          26/05/2015      0000001721           16850.00             0.00       8798610.00  
68          26/05/2015      0000001739           15550.00             0.00       8814160.00  
69          27/05/2015      0000001791           20580.00             0.00       8834740.00  
70          27/05/2015      0000001785           97922.00             0.00       8932662.00  
71          28/05/2015      0000001811           72993.00             0.00       9005655.00  
72          28/05/2015      0000001807           49995.00             0.00       9055650.00  
73          28/05/2015      0000001763           53945.00             0.00       9109595.00  
74          28/05/2015      0000001779            9255.00             0.00       9118850.00  
75          28/05/2015      0000001815          252120.00             0.00       9370970.00  
76          29/05/2015      0000001859          158955.00             0.00       9529925.00  
77          29/05/2015      0000001826          148591.00             0.00       9678516.00  
78          29/05/2015      0000001856           52755.00             0.00       9731271.00  
79          30/05/2015      0000001876          135555.00             0.00       9866826.00  
80          30/05/2015      0000001872           13080.00             0.00       9879906.00  
81          30/05/2015      0000001878          120319.00             0.00      10000225.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 6648756.00		Total Debit: 15000000.00		Closing Balance:10000225.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
