                                        Account Statement-04/2015
DDO:SEC AMC VIZIANAGARAM(22010104002)                      Head of Account:Ag_Market_Committee_Funds(8448001200002000000NVN)
                                    Opening Balance:6460189.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           02/04/2015      0000000005           21546.00             0.00       6481735.00  
2           02/04/2015      0000000003              27.00             0.00       6481762.00  
3           02/04/2015      0000000002           22300.00             0.00       6504062.00  
4           02/04/2015      0000000164          128813.00             0.00       6632875.00  
5           02/04/2015      0000000006             180.00             0.00       6633055.00  
6           02/04/2015      022983                   0.00         32800.00       6600255.00  
7           04/04/2015      0000000023            2966.00             0.00       6603221.00  
8           06/04/2015      0000000108            1200.00             0.00       6604421.00  
9           06/04/2015      0000000109            1131.00             0.00       6605552.00  
10          06/04/2015      0000000110              30.00             0.00       6605582.00  
11          07/04/2015      0000000124            1200.00             0.00       6606782.00  
12          08/04/2015      0000000203            3830.00             0.00       6610612.00  
13          08/04/2015      022988                   0.00        139600.00       6471012.00  
14          08/04/2015      022984                   0.00        104385.00       6366627.00  
15          08/04/2015      022990                   0.00        453318.00       5913309.00  
16          09/04/2015      0000000349            2770.00             0.00       5916079.00  
17          09/04/2015      0000000348              30.00             0.00       5916109.00  
18          09/04/2015      0000000346            1402.00             0.00       5917511.00  
19          09/04/2015      0000000345            1000.00             0.00       5918511.00  
20          09/04/2015      0000000343              30.00             0.00       5918541.00  
21          09/04/2015      0000000344            3001.00             0.00       5921542.00  
22          09/04/2015      022987                   0.00        154375.00       5767167.00  
23          09/04/2015      022985                   0.00         95300.00       5671867.00  
24          09/04/2015      022986                   0.00         10700.00       5661167.00  
25          10/04/2015      0000000408            1000.00             0.00       5662167.00  
26          10/04/2015      0000000410            4436.00             0.00       5666603.00  
27          10/04/2015      0000000411            3649.00             0.00       5670252.00  
28          13/04/2015      0000000205           18997.00             0.00       5689249.00  
29          13/04/2015      0000000125           49500.00             0.00       5738749.00  
30          13/04/2015      0000000204           38425.00             0.00       5777174.00  
31          15/04/2015      0000000519           25980.00             0.00       5803154.00  
32          15/04/2015      0000000465           20709.00             0.00       5823863.00  
33          15/04/2015      0000000466            1484.00             0.00       5825347.00  
34          15/04/2015      0000000518             756.00             0.00       5826103.00  
35          16/04/2015      0000000512            1000.00             0.00       5827103.00  
36          16/04/2015      0000000569            6017.00             0.00       5833120.00  
37          16/04/2015      0000000561           11000.00             0.00       5844120.00  
38          16/04/2015      0000000560            8439.00             0.00       5852559.00  
39          16/04/2015      022989                   0.00        196998.00       5655561.00  
40          17/04/2015      0000000593           34217.00             0.00       5689778.00  
41          20/04/2015      0000000708             100.00             0.00       5689878.00  
42          20/04/2015      0000000707           31825.00             0.00       5721703.00  
43          20/04/2015      0000000702              30.00             0.00       5721733.00  
44          20/04/2015      0000000700            9280.00             0.00       5731013.00  
45          20/04/2015      022992                   0.00         10669.00       5720344.00  
46          20/04/2015      022993                   0.00        405074.00       5315270.00  
47          20/04/2015      022991                   0.00        213770.00       5101500.00  
48          21/04/2015      0000000750           12500.00             0.00       5114000.00  
49          21/04/2015      0000000749            2275.00             0.00       5116275.00  
50          21/04/2015      0000000751           30341.00             0.00       5146616.00  
51          21/04/2015      0000000747            1000.00             0.00       5147616.00  
52          21/04/2015      0000000748            1941.00             0.00       5149557.00  
53          22/04/2015      0000000709            1139.00             0.00       5150696.00  
54          22/04/2015      0000000772           11709.00             0.00       5162405.00  
55          22/04/2015      0000000771            2000.00             0.00       5164405.00  
56          22/04/2015      0000000770              80.00             0.00       5164485.00  
57          23/04/2015      0000000834           10500.00             0.00       5174985.00  
58          23/04/2015      0000000835           29053.00             0.00       5204038.00  
59          23/04/2015      0000000840            1743.00             0.00       5205781.00  
60          24/04/2015      0000000902           17800.00             0.00       5223581.00  
61          24/04/2015      0000000903            2613.00             0.00       5226194.00  
62          24/04/2015      0000000904             540.00             0.00       5226734.00  
63          24/04/2015      0000000897           21458.00             0.00       5248192.00  
64          24/04/2015      0000000898              30.00             0.00       5248222.00  
65          25/04/2015      0000000910           23651.00             0.00       5271873.00  
66          25/04/2015      0000000911            1370.00             0.00       5273243.00  
67          25/04/2015      0000000920           21655.00             0.00       5294898.00  
68          25/04/2015      0000000921            2001.00             0.00       5296899.00  
69          27/04/2015      0000000949           32288.00             0.00       5329187.00  
70          27/04/2015      0000000948           52663.00             0.00       5381850.00  
71          27/04/2015      0000000958            1001.00             0.00       5382851.00  
72          27/04/2015      0000000957            7063.00             0.00       5389914.00  
73          28/04/2015      0000000985           13958.00             0.00       5403872.00  
74          28/04/2015      0000000990             500.00             0.00       5404372.00  
75          28/04/2015      0000000989           12000.00             0.00       5416372.00  
76          28/04/2015      0000000986              30.00             0.00       5416402.00  
77          29/04/2015      0000000833          189148.00             0.00       5605550.00  
78          29/04/2015      0000000998             100.00             0.00       5605650.00  
79          29/04/2015      0000000997           18227.00             0.00       5623877.00  
80          29/04/2015      0000000994           10890.00             0.00       5634767.00  
81          30/04/2015      0000001133           14600.00             0.00       5649367.00  
82          30/04/2015      0000001127            3001.00             0.00       5652368.00  
83          30/04/2015      0000001177              30.00             0.00       5652398.00  
84          30/04/2015      0000001126           10854.00             0.00       5663252.00  
85          30/04/2015      0000001124           14014.00             0.00       5677266.00  
86          30/04/2015      0000001182           28125.00             0.00       5705391.00  
87          30/04/2015      0000001176              29.00             0.00       5705420.00  
88          30/04/2015      0000001134            2380.00             0.00       5707800.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 1064600.00		Total Debit: 1816989.00		Closing Balance:5707800.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
