                                        Account Statement-04/2015
DDO:ZILLA GRANDHALAYA SAMSTH, SECY, VIZIANAGARAM(22010313001)                      Head of Account:ZILLA_GRANDALAYA(8448001200003000000NVN)
                                    Opening Balance:41508742.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           02/04/2015      024593                   0.00         57553.00      41451189.00  
2           02/04/2015      024591                   0.00       1070053.00      40381136.00  
3           02/04/2015      024592                   0.00        411388.00      39969748.00  
4           06/04/2015      0000000096             749.00             0.00      39970497.00  
5           06/04/2015      0000000049             100.00             0.00      39970597.00  
6           06/04/2015      0000000042             400.00             0.00      39970997.00  
7           06/04/2015      0000000095             330.00             0.00      39971327.00  
8           06/04/2015      0000000048             424.00             0.00      39971751.00  
9           07/04/2015      0000000027             338.00             0.00      39972089.00  
10          07/04/2015      0000000053             750.00             0.00      39972839.00  
11          08/04/2015      0000000062              30.00             0.00      39972869.00  
12          08/04/2015      0000000061             507.00             0.00      39973376.00  
13          08/04/2015      0000000190             912.00             0.00      39974288.00  
14          08/04/2015      0000000171             472.00             0.00      39974760.00  
15          08/04/2015      024594                   0.00         10290.00      39964470.00  
16          09/04/2015      0000000247             320.00             0.00      39964790.00  
17          13/04/2015      0000000244         2145405.00             0.00      42110195.00  
18          15/04/2015      0000000456             710.00             0.00      42110905.00  
19          15/04/2015      0000000457             320.00             0.00      42111225.00  
20          15/04/2015      0000000373             269.00             0.00      42111494.00  
21          16/04/2015      0000000171           62675.00             0.00      42174169.00  
22          17/04/2015      0000000490             160.00             0.00      42174329.00  
23          17/04/2015      0000000492             520.00             0.00      42174849.00  
24          17/04/2015      0000000135             613.00             0.00      42175462.00  
25          17/04/2015      0000000489            2258.00             0.00      42177720.00  
26          20/04/2015      0000000491             640.00             0.00      42178360.00  
27          20/04/2015      024595                   0.00        168400.00      42009960.00  
28          20/04/2015      024596                   0.00         47700.00      41962260.00  
29          21/04/2015      0000000328             473.00             0.00      41962733.00  
30          21/04/2015      024597                   0.00         30193.00      41932540.00  
31          24/04/2015      0000000690            1240.00             0.00      41933780.00  
32          24/04/2015      0000000562             100.00             0.00      41933880.00  
33          24/04/2015      0000000685            4689.00             0.00      41938569.00  
34          24/04/2015      0000000686            2573.00             0.00      41941142.00  
35          24/04/2015      0000000687             634.00             0.00      41941776.00  
36          24/04/2015      0000000688            1997.00             0.00      41943773.00  
37          24/04/2015      0000000689            2319.00             0.00      41946092.00  
38          25/04/2015      0000000785             185.00             0.00      41946277.00  
39          28/04/2015      0000000688             500.00             0.00      41946777.00  
40          29/04/2015      0000000937            5078.00             0.00      41951855.00  
41          29/04/2015      0000000932            3358.00             0.00      41955213.00  
42          29/04/2015      0000000929            3168.00             0.00      41958381.00  
43          30/04/2015      0000000929             150.00             0.00      41958531.00  
44          30/04/2015      0000000976             685.00             0.00      41959216.00  
45          30/04/2015      0000000366             500.00             0.00      41959716.00  
46          30/04/2015      0000000371             400.00             0.00      41960116.00  
47          30/04/2015      0000000975             463.00             0.00      41960579.00  
48          30/04/2015      0000001005             672.00             0.00      41961251.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 2248086.00		Total Debit: 1795577.00		Closing Balance:41961251.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
