                                        Account Statement-06/2015
DDO:MUNICIPALITY, COMMISSIONER, VIZIANAGARAM(22011802003)                      Head of Account:MuncipalGeneralFund(8448001020003001000NVN)
                                    Opening Balance:96226866.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      0000001992            1350.00             0.00      96228216.00  
2           01/06/2015      024376                   0.00        115120.00      96113096.00  
3           01/06/2015      024377                   0.00         93748.00      96019348.00  
4           02/06/2015      0000002077           53393.00             0.00      96072741.00  
5           03/06/2015      0000002126           23097.00             0.00      96095838.00  
6           03/06/2015      024378                   0.00         20000.00      96075838.00  
7           04/06/2015      0000002057            1000.00             0.00      96076838.00  
8           04/06/2015      0000002070           14000.00             0.00      96090838.00  
9           04/06/2015      0000002043           91661.00             0.00      96182499.00  
10          04/06/2015      0000002044           89220.00             0.00      96271719.00  
11          04/06/2015      0000002049           11325.00             0.00      96283044.00  
12          04/06/2015      0000002051            1600.00             0.00      96284644.00  
13          04/06/2015      0000002052           25500.00             0.00      96310144.00  
14          04/06/2015      0000002055             200.00             0.00      96310344.00  
15          04/06/2015      0000002056           12995.00             0.00      96323339.00  
16          04/06/2015      0000002061           18600.00             0.00      96341939.00  
17          04/06/2015      0000002058            1000.00             0.00      96342939.00  
18          04/06/2015      0000002161           20488.00             0.00      96363427.00  
19          04/06/2015      0000002076           12900.00             0.00      96376327.00  
20          04/06/2015      0000002075           15000.00             0.00      96391327.00  
21          04/06/2015      0000002074           13400.00             0.00      96404727.00  
22          04/06/2015      0000002072            7440.00             0.00      96412167.00  
23          04/06/2015      0000002068            6000.00             0.00      96418167.00  
24          04/06/2015      0000002063            4800.00             0.00      96422967.00  
25          04/06/2015      0000002042           53700.00             0.00      96476667.00  
26          05/06/2015      0000002184           32144.00             0.00      96508811.00  
27          06/06/2015      0000002211           48865.00             0.00      96557676.00  
28          06/06/2015      024385                   0.00        150000.00      96407676.00  
29          06/06/2015      024386                   0.00         84311.00      96323365.00  
30          06/06/2015      024382                   0.00         84589.00      96238776.00  
31          08/06/2015      0000002240           46693.00             0.00      96285469.00  
32          08/06/2015      0000002241            1800.00             0.00      96287269.00  
33          09/06/2015      0000002252           16648.00             0.00      96303917.00  
34          09/06/2015      024384                   0.00        103000.00      96200917.00  
35          09/06/2015      024383                   0.00        220910.00      95980007.00  
36          09/06/2015      024387                   0.00        104500.00      95875507.00  
37          10/06/2015      0000002265           23640.00             0.00      95899147.00  
38          11/06/2015      0000002286           19121.00             0.00      95918268.00  
39          12/06/2015      0000002071           14960.00             0.00      95933228.00  
40          12/06/2015      0000002069           55035.00             0.00      95988263.00  
41          12/06/2015      0000002067            2040.00             0.00      95990303.00  
42          12/06/2015      0000002066           27000.00             0.00      96017303.00  
43          12/06/2015      0000002064           15600.00             0.00      96032903.00  
44          12/06/2015      0000002062           33600.00             0.00      96066503.00  
45          12/06/2015      0000002060            1000.00             0.00      96067503.00  
46          12/06/2015      0000002039         1500000.00             0.00      97567503.00  
47          12/06/2015      0000002059            1000.00             0.00      97568503.00  
48          12/06/2015      0000002054            5000.00             0.00      97573503.00  
49          12/06/2015      0000002053           79570.00             0.00      97653073.00  
50          12/06/2015      0000002040             720.00             0.00      97653793.00  
51          12/06/2015      0000002359            5997.00             0.00      97659790.00  
52          12/06/2015      0000002073           25000.00             0.00      97684790.00  
53          12/06/2015      0000002047           12535.00             0.00      97697325.00  
54          12/06/2015      0000002046            8440.00             0.00      97705765.00  
55          12/06/2015      0000002045           11120.00             0.00      97716885.00  
56          12/06/2015      0000002041             720.00             0.00      97717605.00  
57          12/06/2015      0000002050          157620.00             0.00      97875225.00  
58          12/06/2015      0000002048            8915.00             0.00      97884140.00  
59          15/06/2015      0000002442           16148.00             0.00      97900288.00  
60          16/06/2015      0000002492           22120.00             0.00      97922408.00  
61          17/06/2015      0000002487           11207.00             0.00      97933615.00  
62          17/06/2015      0000002703           37606.00             0.00      97971221.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 2720533.00		Total Debit: 976178.00		Closing Balance:97971221.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
