                                        Account Statement-11/2014
DDO:PD Admin(22012202003)                      Head of Account:ZPP_General_Fund(8448001090003001000NVN)
                                    Opening Balance:62198674.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/11/2014      0000003605           25000.00             0.00      62223674.00  
2           01/11/2014      0000021248               0.00        167330.00      62056344.00  
3           05/11/2014      0000027120             200.00             0.00      62056544.00  
4           06/11/2014      0000021683               0.00         96316.00      61960228.00  
5           06/11/2014      0000021685               0.00         50482.00      61909746.00  
6           06/11/2014      0000006732          236000.00             0.00      62145746.00  
7           06/11/2014      0000021684               0.00        172722.00      61973024.00  
8           06/11/2014      0000021686               0.00        230706.00      61742318.00  
9           07/11/2014      0000007189           47301.00             0.00      61789619.00  
10          07/11/2014      0000021827               0.00         52614.00      61737005.00  
11          07/11/2014      0000007192           93352.00             0.00      61830357.00  
12          07/11/2014      0000007191          146129.00             0.00      61976486.00  
13          07/11/2014      0000007190           96675.00             0.00      62073161.00  
14          08/11/2014      0000006715           25000.00             0.00      62098161.00  
15          10/11/2014      0000027499             150.00             0.00      62098311.00  
16          10/11/2014      0000027501             150.00             0.00      62098461.00  
17          10/11/2014      0000003672           77000.00             0.00      62175461.00  
18          11/11/2014      0000003259           37000.00             0.00      62212461.00  
19          11/11/2014      0000003677            9000.00             0.00      62221461.00  
20          11/11/2014      0000022426               0.00         80850.00      62140611.00  
21          11/11/2014      0000003678            4050.00             0.00      62144661.00  
22          13/11/2014      0000022552               0.00        239577.00      61905084.00  
23          13/11/2014      0000022553               0.00         12664.00      61892420.00  
24          17/11/2014      0000003771            8100.00             0.00      61900520.00  
25          17/11/2014      0000003766           11900.00             0.00      61912420.00  
26          17/11/2014      0000003772           28000.00             0.00      61940420.00  
27          17/11/2014      0000003791           18000.00             0.00      61958420.00  
28          17/11/2014      0000022616               0.00        238149.00      61720271.00  
29          17/11/2014      0000022617               0.00         73700.00      61646571.00  
30          18/11/2014      0000006963            2500.00             0.00      61649071.00  
31          18/11/2014      0000006965            2500.00             0.00      61651571.00  
32          18/11/2014      0000006964            2500.00             0.00      61654071.00  
33          18/11/2014      0000006962            2500.00             0.00      61656571.00  
34          19/11/2014      0000003815            5400.00             0.00      61661971.00  
35          19/11/2014      0000003824            8500.00             0.00      61670471.00  
36          19/11/2014      0000003825            8500.00             0.00      61678971.00  
37          19/11/2014      0000022195           13300.00             0.00      61692271.00  
38          19/11/2014      0000022771               0.00        122000.00      61570271.00  
39          19/11/2014      0000022770               0.00        305418.00      61264853.00  
40          19/11/2014      0000022769               0.00           665.00      61264188.00  
41          19/11/2014      0000003816           12600.00             0.00      61276788.00  
42          20/11/2014      0000023124               0.00        172472.00      61104316.00  
43          20/11/2014      0000023129               0.00         46311.00      61058005.00  
44          21/11/2014      0000023793               0.00        100000.00      60958005.00  
45          21/11/2014      0000003864            2430.00             0.00      60960435.00  
46          21/11/2014      0000003863            6750.00             0.00      60967185.00  
47          21/11/2014      0000003860            3300.00             0.00      60970485.00  
48          22/11/2014      0000023696               0.00        171894.00      60798591.00  
49          25/11/2014      0000003911            1620.00             0.00      60800211.00  
50          25/11/2014      0000003903            2430.00             0.00      60802641.00  
51          25/11/2014      0000003905            2430.00             0.00      60805071.00  
52          25/11/2014      0000003904            6600.00             0.00      60811671.00  
53          25/11/2014      0000003910            2450.00             0.00      60814121.00  
54          25/11/2014      0000003902            9000.00             0.00      60823121.00  
55          26/11/2014      0000024015               0.00         42105.00      60781016.00  
56          26/11/2014      0000003907           10800.00             0.00      60791816.00  
57          26/11/2014      0000003948            5100.00             0.00      60796916.00  
58          26/11/2014      0000024013               0.00         18527.00      60778389.00  
59          26/11/2014      0000024012               0.00        300314.00      60478075.00  
60          26/11/2014      0000024014               0.00         47428.00      60430647.00  
61          26/11/2014      0000024016               0.00         39988.00      60390659.00  
62          26/11/2014      0000024017               0.00         23020.00      60367639.00  
63          27/11/2014      0000007419            5000.00             0.00      60372639.00  
64          27/11/2014      0000007340           15000.00             0.00      60387639.00  
65          27/11/2014      0000007339           15000.00             0.00      60402639.00  
66          27/11/2014      0000024126               0.00        524335.00      59878304.00  
67          27/11/2014      0000003982            9720.00             0.00      59888024.00  
68          27/11/2014      0000003981            4860.00             0.00      59892884.00  
69          27/11/2014      0000007338           15000.00             0.00      59907884.00  
70          27/11/2014      0000007337           15000.00             0.00      59922884.00  
71          27/11/2014      0000007336            7500.00             0.00      59930384.00  
72          27/11/2014      0000007335           12500.00             0.00      59942884.00  
73          27/11/2014      0000003980            9250.00             0.00      59952134.00  
74          27/11/2014      0000007421            5000.00             0.00      59957134.00  
75          28/11/2014      0000024177               0.00         48612.00      59908522.00  
76          29/11/2014      0000007332            6250.00             0.00      59914772.00  
77          29/11/2014      0000007330            6000.00             0.00      59920772.00  
78          29/11/2014      0000024200               0.00         55397.00      59865375.00  
79          29/11/2014      0000024201               0.00         55070.00      59810305.00  
80          29/11/2014      0000024202               0.00         46471.00      59763834.00  
81          29/11/2014      0000024203               0.00         18600.00      59745234.00  
82          29/11/2014      0000007534            8000.00             0.00      59753234.00  
83          29/11/2014      0000007422            5000.00             0.00      59758234.00  
84          29/11/2014      0000007420            2500.00             0.00      59760734.00  
85          29/11/2014      0000007334            7500.00             0.00      59768234.00  
86          29/11/2014      0000007331            9000.00             0.00      59777234.00  
-----------------------------------------------------------------------------------------------------------
                                    Closing Balance:59777234.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
