                                        Account Statement-06/2015
DDO:RES EDN INST SOC - AP(APREI SOCIETY) SECRETARY(27020317001)                      Head of Account:Dep_Education_Inst(8443001230001000000NVN)
                                    Opening Balance:516265608.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/06/2015      017300                   0.00      52603852.00     463661756.00  
2           01/06/2015      017296                   0.00        127213.00     463534543.00  
3           01/06/2015      017299                   0.00         48533.00     463486010.00  
4           01/06/2015      017297                   0.00        176997.00     463309013.00  
5           04/06/2015      017290                   0.00         12100.00     463296913.00  
6           05/06/2015      018301                   0.00       9528253.00     453768660.00  
7           09/06/2015      0000008239         2960000.00             0.00     456728660.00  
8           09/06/2015      017298                   0.00         15000.00     456713660.00  
9           10/06/2015      018302                   0.00         12219.00     456701441.00  
10          13/06/2015      018303                   0.00          8337.00     456693104.00  
11          13/06/2015      018304                   0.00         96814.00     456596290.00  
12          13/06/2015      018305                   0.00      15761303.00     440834987.00  
13          15/06/2015      0000003061         7500000.00             0.00     448334987.00  
14          17/06/2015      0000008753            2507.00             0.00     448337494.00  
15          17/06/2015      0000007996            3342.00             0.00     448340836.00  
16          17/06/2015      0000008002           25482.00             0.00     448366318.00  
17          17/06/2015      0000008006           20529.00             0.00     448386847.00  
18          17/06/2015      0000008008            3300.00             0.00     448390147.00  
19          17/06/2015      0000008011           12792.00             0.00     448402939.00  
20          17/06/2015      0000008012            5045.00             0.00     448407984.00  
21          17/06/2015      0000008015            1575.00             0.00     448409559.00  
22          17/06/2015      0000008746          123902.00             0.00     448533461.00  
23          18/06/2015      0000008014           32093.00             0.00     448565554.00  
24          18/06/2015      0000008745            9954.00             0.00     448575508.00  
25          18/06/2015      0000008013           29537.00             0.00     448605045.00  
26          18/06/2015      0000008010           60304.00             0.00     448665349.00  
27          18/06/2015      0000008009           48251.00             0.00     448713600.00  
28          18/06/2015      0000008007            8612.00             0.00     448722212.00  
29          18/06/2015      0000008005           50395.00             0.00     448772607.00  
30          18/06/2015      0000008003           14266.00             0.00     448786873.00  
31          18/06/2015      0000007995            2000.00             0.00     448788873.00  
32          18/06/2015      0000007994           43389.00             0.00     448832262.00  
33          18/06/2015      0000007993            5680.00             0.00     448837942.00  
34          20/06/2015      0000009625           19104.00             0.00     448857046.00  
35          20/06/2015      0000009626            2428.00             0.00     448859474.00  
36          20/06/2015      0000009627            3125.00             0.00     448862599.00  
37          20/06/2015      0000009628            3125.00             0.00     448865724.00  
38          20/06/2015      0000009629            1075.00             0.00     448866799.00  
39          20/06/2015      0000009630            1986.00             0.00     448868785.00  
40          20/06/2015      0000009631            1071.00             0.00     448869856.00  
41          20/06/2015      0000009632             523.00             0.00     448870379.00  
42          20/06/2015      0000009634            9866.00             0.00     448880245.00  
43          20/06/2015      0000009646            3590.00             0.00     448883835.00  
44          20/06/2015      0000009616           27916.00             0.00     448911751.00  
45          20/06/2015      0000009617           11364.00             0.00     448923115.00  
46          20/06/2015      0000009618            6000.00             0.00     448929115.00  
47          20/06/2015      0000009619            2386.00             0.00     448931501.00  
48          20/06/2015      0000009620           57966.00             0.00     448989467.00  
49          20/06/2015      0000009621            2242.00             0.00     448991709.00  
50          20/06/2015      0000009622            2242.00             0.00     448993951.00  
51          20/06/2015      0000009623           73452.00             0.00     449067403.00  
52          20/06/2015      0000009624           19466.00             0.00     449086869.00  
-----------------------------------------------------------------------------------------------------------
Total Credit: 11211882.00		Total Debit: 78390621.00		Closing Balance:449086869.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
