                                        Account Statement-03/2015
DDO:MUNICIPAL ADMINISTRATION,COMMISSIONER AND DIRECTOR - AP(27021802001)                      Head of Account:Personal_Deposit(8443001060001000000NVN)
                                    Opening Balance:2269742345.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           04/03/2015      029890                   0.00      72209000.00    4054865857.00  
2           04/03/2015      029841                   0.00       1288000.00    4053577857.00  
3           05/03/2015      029894                   0.00       4730000.00    4048847857.00  
4           07/03/2015      0000007493          375000.00             0.00    4049222857.00  
5           11/03/2015      0000007695       278403000.00             0.00    4327625857.00  
6           11/03/2015      0000007630         8441000.00             0.00    4336066857.00  
7           16/03/2015      0000007937        16200000.00             0.00    4352266857.00  
8           16/03/2015      029893                   0.00        150977.00    4352115880.00  
9           18/03/2015      032493                   0.00     285646000.00    4066469880.00  
10          23/03/2015      0000008558        52475000.00             0.00    4118944880.00  
11          23/03/2015      0000008559        41149000.00             0.00    4160093880.00  
12          23/03/2015      032496                   0.00     157248000.00    4002845880.00  
13          23/03/2015      032461                   0.00      19196000.00    3983649880.00  
14          23/03/2015      029827                   0.00       6413000.00    3977236880.00  
15          24/03/2015      0000008557       341912000.00             0.00    4319148880.00  
16          24/03/2015      032418                   0.00       4878000.00    4314270880.00  
17          24/03/2015      033605                   0.00        210155.00    4314060725.00  
18          25/03/2015      029853                   0.00       1090000.00    4312970725.00  
19          25/03/2015      032466                   0.00       3263000.00    4309707725.00  
20          25/03/2015      032453                   0.00       6804000.00    4302903725.00  
21          26/03/2015      0000008734       661283000.00             0.00    4964186725.00  
22          26/03/2015      0000019623         1501556.00             0.00    4965688281.00  
23          26/03/2015      0000008735       828017000.00             0.00    5793705281.00  
24          27/03/2015      032422                   0.00       8935000.00    5784770281.00  
25          27/03/2015      032420                   0.00       9317000.00    5775453281.00  
26          27/03/2015      033608                   0.00     695689568.00    5079763713.00  
27          28/03/2015      032462                   0.00      16445000.00    5063318713.00  
28          28/03/2015      032488                   0.00       7179000.00    5056139713.00  
29          28/03/2015      032459                   0.00       7176000.00    5048963713.00  
30          28/03/2015      032410                   0.00       8122000.00    5040841713.00  
31          28/03/2015      032429                   0.00       8138000.00    5032703713.00  
32          28/03/2015      032473                   0.00       8323000.00    5024380713.00  
33          28/03/2015      032419                   0.00      21616000.00    5002764713.00  
34          28/03/2015      032463                   0.00      19301000.00    4983463713.00  
35          28/03/2015      032451                   0.00       5344000.00    4978119713.00  
36          28/03/2015      032434                   0.00       6744000.00    4971375713.00  
37          28/03/2015      032421                   0.00      15796000.00    4955579713.00  
38          28/03/2015      032448                   0.00      10808000.00    4944771713.00  
39          28/03/2015      029897                   0.00       6050000.00    4938721713.00  
40          28/03/2015      032405                   0.00       7525000.00    4931196713.00  
41          28/03/2015      032446                   0.00       8271000.00    4922925713.00  
42          28/03/2015      032441                   0.00      11191000.00    4911734713.00  
43          28/03/2015      032445                   0.00       9593000.00    4902141713.00  
44          28/03/2015      029899                   0.00       8743000.00    4893398713.00  
45          28/03/2015      032406                   0.00       3992000.00    4889406713.00  
46          28/03/2015      032407                   0.00       9356000.00    4880050713.00  
47          30/03/2015      032489                   0.00      13870000.00    4866180713.00  
48          30/03/2015      029823                   0.00       4633000.00    4861547713.00  
49          30/03/2015      032409                   0.00       8092000.00    4853455713.00  
50          30/03/2015      032428                   0.00      17964000.00    4835491713.00  
51          30/03/2015      032430                   0.00       8907000.00    4826584713.00  
52          30/03/2015      032424                   0.00      13748000.00    4812836713.00  
53          30/03/2015      029900                   0.00       6415000.00    4806421713.00  
54          30/03/2015      032411                   0.00       8645000.00    4797776713.00  
55          30/03/2015      032415                   0.00       7522000.00    4790254713.00  
56          30/03/2015      032439                   0.00      15415000.00    4774839713.00  
57          30/03/2015      032416                   0.00       3631000.00    4771208713.00  
58          30/03/2015      032478                   0.00      25288000.00    4745920713.00  
59          30/03/2015      032426                   0.00       7448000.00    4738472713.00  
60          30/03/2015      032438                   0.00       7733000.00    4730739713.00  
61          30/03/2015      032436                   0.00      17673000.00    4713066713.00  
62          30/03/2015      032412                   0.00       6637000.00    4706429713.00  
63          30/03/2015      033606                   0.00         13600.00    4706416113.00  
64          31/03/2015      0000009290        16520000.00             0.00    4722936113.00  
65          31/03/2015      0000009289       113190000.00             0.00    4836126113.00  
66          31/03/2015      0000009295        43533000.00             0.00    4879659113.00  
67          31/03/2015      0000009274         7498000.00             0.00    4887157113.00  
68          31/03/2015      0000009288          936000.00             0.00    4888093113.00  
69          31/03/2015      0000009287         2811000.00             0.00    4890904113.00  
70          31/03/2015      0000009294       662166000.00             0.00    5553070113.00  
71          31/03/2015      032476                   0.00       8223000.00    5544847113.00  
72          31/03/2015      032423                   0.00       6660000.00    5538187113.00  
73          31/03/2015      032427                   0.00      25828000.00    5512359113.00  
74          31/03/2015      032431                   0.00       4670000.00    5507689113.00  
