S.No,DDOCODE,HOA,"ACCOUNT TYPE","BALANCE(in Rs.)","LOC(in Rs.)"
1,27021311001,8449001200017000000NVN,LOC,1275179507,247917903
2,27022403001,8448001100043000000NVN,LOC,480368306,381325937
3,27020107002,8449001200063000000NVN,LOC,30031373,30031373
4,27021903001,8448001200005001000NVN,LOC,0,0
5,27020404001,8449001200022000000NVN,LOC,0,0
6,27020803001,8443008000027000000NVN,LOC,345783,229000
7,27022501012,8449001200024000000NVN,LOC,0,0
8,27022501011,8449001200033000000NVN,LOC,65297405,48973054
9,27022501008,8449001200002101000NVN,LOC,21369000,21369000
10,27021207001,8443001060001000000NVN,LOC,431660,197531
11,27022002001,8448001200022000000NVN,LOC,107011261,107011261
12,27022501010,8449001200002103000NVN,LOC,0,0
13,27021102002,8443008000001000000NVN,LOC,0,0
14,27020901004,8449001200097000000NVN,LOC,0,0
15,27022501002,8449001200031000000NVN,LOC,231691198,260399
16,27020302001,8448001100045000000NVN,LOC,0,0
17,27021901003,8448001200005002000NVN,LOC,0,0
18,27021906001,8448001100032000000NVN,LOC,0,0
19,27022207003,8448001100044000000NVN,LOC,0,0
20,27021226001,8342001030009000000NVN,LOC,585215,585215
21,27021334001,8449001200059000000NVN,LOC,0,0
22,27022406001,8449001200014001000NVN,LOC,2835351728,2601648911
23,27022201001,8448001200035000000NVN,LOC,83245807,55060284
24,27022802001,8443008000013000000NVN,LOC,147295536,142612824
25,27020902001,8443001060001000000NVN,LOC,7000169,5132600
26,27020102002,8449001200030000000NVN,LOC,946806854,251168881
27,27020702002,8342001170004002000NVN,LOC,121714852,652950
28,27020111001,8448001100026000000NVN,LOC,446234000,446234000
29,27021307001,8449001200093000000NVN,LOC,27198529,17515423
30,27022409001,8448001100024000000NVN,LOC,544405063,488426954
31,27022808001,8448001100029000000NVN,LOC,22005679,22005679
32,27020103001,8449001200092000000NVN,LOC,414940066,156831452
33,27022806001,8449001200035000000NVN,LOC,2942808,0
34,27020909001,8449001200061000000NVN,LOC,250193005,233652468
35,27020102001,8449001200005000000NVN,LOC,1330703028,41744000
36,27021301002,8449001200036000000NVN,LOC,37667000,37667000
37,27022501003,8449001200087000000NVN,LOC,120533702,95393044
38,27022405001,8448001200009000000NVN,LOC,30137127,17203307
39,27020302002,8448001100055000000NVN,LOC,0,0
40,27021802002,8448001200036000000NVN,LOC,880735000,880735000
41,27021901001,8448001200005004000NVN,LOC,100,0
42,27020602003,8342001200010000000NVN,LOC,61324000,57679000
43,27022501007,8449001200089000000NVN,LOC,72257605,54193204
44,27022501009,8449001200002102000NVN,LOC,36250000,0
45,27020705001,8342001170004002000NVN,LOC,0,0
46,27022211001,8448001200033000000NVN,LOC,0,0
47,27020104001,8448001200002000000NVN,LOC,553333936,468483240
48,27020815001,8449001200016000000NVN,LOC,28904267,21720648
49,27022607001,8342001030010000000NVN,LOC,5718698,5718698
50,27021312002,8449001200098000000NVN,LOC,4948252262,2621107662
51,27020801001,8443008000002001000NVN,LOC,2648248326,2680016804
52,27021802001,8443001060001000000NVN,LOC,437251841,312260437
53,27022407001,8449001200027000000NVN,LOC,836556750,692146433
54,27020407001,8449001200072000000NVN,LOC,0,0
55,27020901001,8449001200042000000NVN,LOC,666263038,561820212
56,27022601001,8449001200047000000NVN,LOC,6018180,0
57,27020317001,8443001230001000000NVN,LOC,135521807,45542583
58,27020102003,8449001200043000000NVN,LOC,3397196421,3397196421
59,27021008001,8449001200048000000NVN,LOC,91452343,68589256
60,27020901003,8443008000028000000NVN,LOC,650000100,650000000
61,27021014001,8443001040001000000NVN,LOC,67641008,0
62,27020304002,8448001100011000000NVN,LOC,0,0
63,27020603001,8449001200053001000NVN,LOC,0,0
64,27022501005,8449001200080000000NVN,LOC,307345817,230509363
65,27021304001,8449001200025000000NVN,LOC,156868000,0
66,27020702002,8342001170004001000NVN,LOC,34517773,9312587
67,27020705001,8342001170004001000NVN,LOC,-39244565,0
68,27022402001,8448001200020000000NVN,LOC,1626000,1626000
69,27021331001,8449001200041000000NVN,LOC,359,364
70,27020406001,8449001200074000000NVN,LOC,0,0
71,27021506001,8443001110004000000NVN,LOC,224648,25312
72,27022501004,8449001200086000000NVN,LOC,21750000,21750000
73,27021905001,8449001200038000000NVN,LOC,245909374,146012540
74,27022207001,8448001200029000000NVN,LOC,1679576969,507501000
75,27020801001,8443008000002002000NVN,LOC,417387,0
76,27022503001,8448001100066000000NVN,LOC,71576277,58144782
77,27020306001,8443001110006000000NVN,LOC,67732231,67732231
78,27021316001,8449001200067000000NVN,LOC,479705,4300
79,27021905002,8449001200045000000NVN,LOC,178370,0
80,27020308001,8448001100034000000NVN,LOC,10337907,8505392
81,27022706001,8449001200032000000NVN,LOC,0,0
82,27022003001,8449001200056000000NVN,LOC,672670329,404793617
83,27021301001,8449001200010000000NVN,LOC,4122360,0
84,27020105001,8448001200002000000NVN,LOC,14326180,0
85,27022501006,8449001200082000000NVN,LOC,79488702,59616527
86,27022707001,8449001200028000000NVN,LOC,66706007,46476789
87,27020602002,8449001200053002000NVN,LOC,455605078,422985267
88,27020202001,8449001200009000000NVN,LOC,79400000,29400000
89,27022502001,8449001200019000000NVN,LOC,987901326,712807914
90,27020107001,8449001200062000000NVN,LOC,0,0
91,27021502001,8449001200077000000NVN,LOC,90226694,78033449
92,27021802004,8449001200050000000NVN,LOC,1000000000,1000000000
93,27021305001,8449001200001000000NVN,LOC,585509017,530390481
94,27020913001,8449001200071000000NVN,LOC,2540657450,45787921
95,27022304001,8443008000009000000NVN,LOC,2881193071,400970155
96,27020204001,8449001200060000000NVN,LOC,109514458,69025296
97,27021503001,8342001200009000000NVN,LOC,1947100691,1278567137
98,27020330001,8448001100031000000NVN,LOC,0,0
99,27020331001,8448001100030000000NVN,LOC,23200000,11600000
100,27022207004,8449001200075000000NVN,LOC,0,0
