S.No,DDOCODE,HOA,"ACCOUNT TYPE","BALANCE(in Rs.)","LOC(in Rs.)"
1,27021334001,8449001200059000000NVN,LOC,0,0
2,27021901003,8448001200005002000NVN,LOC,5000000,0
3,27020902001,8443001060001000000NVN,LOC,7040169,5107600
4,27020102002,8449001200030000000NVN,LOC,1163670854,942740592
5,27022501003,8449001200087000000NVN,LOC,158033702,95393044
6,27020705001,8342001170004002000NVN,LOC,0,0
7,27022201001,8448001200035000000NVN,LOC,74942363,46756840
8,27022501007,8449001200089000000NVN,LOC,109757605,54193204
9,27020702002,8342001170004002000NVN,LOC,95837161,5720017
10,27021802001,8443001060001000000NVN,LOC,995950815,311966504
11,27022601001,8449001200047000000NVN,LOC,56018180,0
12,27020603001,8449001200053001000NVN,LOC,0,0
13,27020901003,8443008000028000000NVN,LOC,100,0
14,27020107001,8449001200062000000NVN,LOC,96000000,0
15,27021305001,8449001200001000000NVN,LOC,334655761,279537225
16,27020913001,8449001200071000000NVN,LOC,3340655518,1940797157
17,27022304001,8443008000009000000NVN,LOC,10423747617,79783580
18,27022501002,8449001200031000000NVN,LOC,306691198,260399
19,27021102002,8443008000001000000NVN,LOC,621618000,0
20,27022806001,8449001200035000000NVN,LOC,2942808,0
21,27021905001,8449001200038000000NVN,LOC,302792099,202895265
22,27021905002,8449001200045000000NVN,LOC,36428370,0
23,27021316001,8449001200067000000NVN,LOC,479705,4300
24,27022402001,8448001200020000000NVN,LOC,1626000,1626000
25,27021802004,8449001200050000000NVN,LOC,600000000,600000000
26,27020204001,8449001200060000000NVN,LOC,69203998,28714836
27,27021207001,8443001060001000000NVN,LOC,436160,197531
28,27022501012,8449001200024000000NVN,LOC,0,0
29,27020404001,8449001200022000000NVN,LOC,0,0
30,27021903001,8448001200005001000NVN,LOC,5000000,0
31,27022501011,8449001200033000000NVN,LOC,115297405,48973054
32,27022501008,8449001200002101000NVN,LOC,71369000,21369000
33,27021311001,8449001200017000000NVN,LOC,1231973980,204712376
34,27022002001,8448001200022000000NVN,LOC,107001615,107001615
35,27022403001,8448001100043000000NVN,LOC,476703859,425968116
36,27020803001,8443008000027000000NVN,LOC,354628,229000
37,27020406001,8449001200074000000NVN,LOC,0,0
38,27020107002,8449001200063000000NVN,LOC,68233086,1783086
39,27022501010,8449001200002103000NVN,LOC,37500000,0
40,27020302001,8448001100045000000NVN,LOC,0,0
