                                        Account Statement-04/2015
DDO:PD Administrator(04010313002)                      Head of Account:ZILLA_GRANDALAYA(8448001200003000000NVN)
                                    Opening Balance:44161155.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           02/04/2015      0000000387               0.00       2544410.00      41616745.00  
2           02/04/2015      0000000001             414.00             0.00      41617159.00  
3           02/04/2015      0000000388               0.00       1458910.00      40158249.00  
4           02/04/2015      0000000389               0.00         16164.00      40142085.00  
5           02/04/2015      0000000052           71426.00             0.00      40213511.00  
6           02/04/2015      0000000045             130.00             0.00      40213641.00  
7           02/04/2015      0000000016             135.00             0.00      40213776.00  
8           02/04/2015      0000000023            5299.00             0.00      40219075.00  
9           02/04/2015      0000000053             105.00             0.00      40219180.00  
10          02/04/2015      0000000082             295.00             0.00      40219475.00  
11          02/04/2015      0000000141          122672.00             0.00      40342147.00  
12          02/04/2015      0000000030            5053.00             0.00      40347200.00  
13          02/04/2015      0000000123            2285.00             0.00      40349485.00  
14          02/04/2015      0000000124            6758.00             0.00      40356243.00  
15          02/04/2015      0000000029            2883.00             0.00      40359126.00  
16          02/04/2015      0000000026            1845.00             0.00      40360971.00  
17          02/04/2015      0000000019             120.00             0.00      40361091.00  
18          02/04/2015      0000000105         1127700.00             0.00      41488791.00  
19          02/04/2015      0000000043             200.00             0.00      41488991.00  
20          02/04/2015      0000000044             590.00             0.00      41489581.00  
21          02/04/2015      0000000049           28509.00             0.00      41518090.00  
22          02/04/2015      0000000052            5569.00             0.00      41523659.00  
23          02/04/2015      0000000020          120116.00             0.00      41643775.00  
24          02/04/2015      0000000014              71.00             0.00      41643846.00  
25          02/04/2015      0000000017           10601.00             0.00      41654447.00  
26          02/04/2015      0000000385               0.00          6192.00      41648255.00  
27          04/04/2015      0000000047             620.00             0.00      41648875.00  
28          04/04/2015      0000000029             240.00             0.00      41649115.00  
29          04/04/2015      0000000107            3728.00             0.00      41652843.00  
30          04/04/2015      0000000152            4768.00             0.00      41657611.00  
31          04/04/2015      0000000219            9536.00             0.00      41667147.00  
32          04/04/2015      0000000141           23932.00             0.00      41691079.00  
33          04/04/2015      0000000074            5388.00             0.00      41696467.00  
34          04/04/2015      0000000147           27071.00             0.00      41723538.00  
35          04/04/2015      0000000555               0.00         15880.00      41707658.00  
36          04/04/2015      0000000116            1884.00             0.00      41709542.00  
37          04/04/2015      0000000052            2727.00             0.00      41712269.00  
38          06/04/2015      0000000145            1191.00             0.00      41713460.00  
39          06/04/2015      0000000193           28013.00             0.00      41741473.00  
40          06/04/2015      0000000310            3146.00             0.00      41744619.00  
41          06/04/2015      0000000261           41365.00             0.00      41785984.00  
42          06/04/2015      0000000303           13705.00             0.00      41799689.00  
43          06/04/2015      0000000124           20593.00             0.00      41820282.00  
44          06/04/2015      0000000144            7350.00             0.00      41827632.00  
45          06/04/2015      0000000559           11001.00             0.00      41838633.00  
46          06/04/2015      0000000558           13654.00             0.00      41852287.00  
47          06/04/2015      0000000184            4765.00             0.00      41857052.00  
48          06/04/2015      0000000113            5405.00             0.00      41862457.00  
49          06/04/2015      0000000076             440.00             0.00      41862897.00  
50          07/04/2015      0000000154           17115.00             0.00      41880012.00  
51          07/04/2015      0000000052             195.00             0.00      41880207.00  
52          07/04/2015      0000000783           10509.00             0.00      41890716.00  
53          07/04/2015      0000000788            9232.00             0.00      41899948.00  
54          07/04/2015      0000000315           24918.00             0.00      41924866.00  
55          07/04/2015      0000000327            9275.00             0.00      41934141.00  
56          07/04/2015      0000000176            3008.00             0.00      41937149.00  
57          07/04/2015      0000000201           10557.00             0.00      41947706.00  
58          07/04/2015      0000000379           34239.00             0.00      41981945.00  
59          07/04/2015      0000000173              51.00             0.00      41981996.00  
60          07/04/2015      0000000203           20692.00             0.00      42002688.00  
61          08/04/2015      0000000242            6010.00             0.00      42008698.00  
62          08/04/2015      0000000900           20433.00             0.00      42029131.00  
63          08/04/2015      0000000232             130.00             0.00      42029261.00  
64          08/04/2015      0000000237             116.00             0.00      42029377.00  
65          08/04/2015      0000000294             202.00             0.00      42029579.00  
66          08/04/2015      0000000504           24728.00             0.00      42054307.00  
67          08/04/2015      0000000257            3913.00             0.00      42058220.00  
68          08/04/2015      0000000313              44.00             0.00      42058264.00  
69          09/04/2015      0000000277             576.00             0.00      42058840.00  
70          09/04/2015      0000001069              60.00             0.00      42058900.00  
71          09/04/2015      0000000604            3021.00             0.00      42061921.00  
72          09/04/2015      0000000025             219.00             0.00      42062140.00  
73          09/04/2015      0000000797               0.00          9000.00      42053140.00  
74          09/04/2015      0000000798               0.00        198118.00      41855022.00  
75          09/04/2015      0000000084             350.00             0.00      41855372.00  
76          09/04/2015      0000000647            6463.00             0.00      41861835.00  
77          09/04/2015      0000000343            8782.00             0.00      41870617.00  
78          09/04/2015      0000000280            4853.00             0.00      41875470.00  
79          10/04/2015      0000000684           30949.00             0.00      41906419.00  
80          10/04/2015      0000000745            6053.00             0.00      41912472.00  
81          10/04/2015      0000000746           12459.00             0.00      41924931.00  
82          10/04/2015      0000000330            5166.00             0.00      41930097.00  
83          10/04/2015      0000000800            5323.00             0.00      41935420.00  
84          10/04/2015      0000001136            3629.00             0.00      41939049.00  
85          10/04/2015      0000000422             392.00             0.00      41939441.00  
86          10/04/2015      0000000421             115.00             0.00      41939556.00  
87          13/04/2015      0000000503            5045.00             0.00      41944601.00  
88          13/04/2015      0000001368            5794.00             0.00      41950395.00  
89          13/04/2015      0000000373           12445.00             0.00      41962840.00  
90          13/04/2015      0000000506             417.00             0.00      41963257.00  
91          13/04/2015      0000000028            1676.00             0.00      41964933.00  
92          13/04/2015      0000000823            8828.00             0.00      41973761.00  
93          13/04/2015      0000000886            5362.00             0.00      41979123.00  
94          13/04/2015      0000000887            4920.00             0.00      41984043.00  
95          13/04/2015      0000000824           50162.00             0.00      42034205.00  
96          13/04/2015      0000000891               0.00         29019.00      42005186.00  
97          13/04/2015      0000000822           13434.00             0.00      42018620.00  
98          13/04/2015      0000000415             463.00             0.00      42019083.00  
99          13/04/2015      0000000943           11375.00             0.00      42030458.00  
100         13/04/2015      0000000306           16386.00             0.00      42046844.00  
101         13/04/2015      0000001477            2780.00             0.00      42049624.00  
102         13/04/2015      0000001471             500.00             0.00      42050124.00  
103         13/04/2015      0000001569            2413.00             0.00      42052537.00  
104         15/04/2015      0000000581             227.00             0.00      42052764.00  
105         15/04/2015      0000001470         2059375.00             0.00      44112139.00  
106         15/04/2015      0000001891           24088.00             0.00      44136227.00  
107         15/04/2015      0000000555            4375.00             0.00      44140602.00  
108         15/04/2015      0000000409           10501.00             0.00      44151103.00  
109         15/04/2015      0000000979           24139.00             0.00      44175242.00  
110         15/04/2015      0000001194            6082.00             0.00      44181324.00  
111         15/04/2015      0000000927               0.00         12000.00      44169324.00  
112         15/04/2015      0000000459             309.00             0.00      44169633.00  
113         15/04/2015      0000000489            1200.00             0.00      44170833.00  
114         16/04/2015      0000001395           12193.00             0.00      44183026.00  
115         16/04/2015      0000000664              37.00             0.00      44183063.00  
116         16/04/2015      0000000541             957.00             0.00      44184020.00  
117         16/04/2015      0000000660           11541.00             0.00      44195561.00  
118         16/04/2015      0000001199             437.00             0.00      44195998.00  
119         16/04/2015      0000001188            7335.00             0.00      44203333.00  
120         16/04/2015      0000000984            7502.00             0.00      44210835.00  
121         16/04/2015      0000000361           15116.00             0.00      44225951.00  
122         16/04/2015      0000000474            7213.00             0.00      44233164.00  
123         16/04/2015      0000000542            1174.00             0.00      44234338.00  
124         16/04/2015      0000002015           19077.00             0.00      44253415.00  
125         17/04/2015      0000000429             564.00             0.00      44253979.00  
126         17/04/2015      0000001165            3121.00             0.00      44257100.00  
127         17/04/2015      0000000172            7612.00             0.00      44264712.00  
128         17/04/2015      0000000711             640.00             0.00      44265352.00  
129         17/04/2015      0000000712              65.00             0.00      44265417.00  
130         17/04/2015      0000000705           13077.00             0.00      44278494.00  
131         17/04/2015      0000002275           16673.00             0.00      44295167.00  
132         17/04/2015      0000001485           75598.00             0.00      44370765.00  
133         17/04/2015      0000001483            3935.00             0.00      44374700.00  
134         17/04/2015      0000001484            2971.00             0.00      44377671.00  
135         17/04/2015      0000001445             415.00             0.00      44378086.00  
136         17/04/2015      0000000770            6731.00             0.00      44384817.00  
137         17/04/2015      0000000603            1262.00             0.00      44386079.00  
138         17/04/2015      0000000706            6717.00             0.00      44392796.00  
139         17/04/2015      0000000406            1798.00             0.00      44394594.00  
140         17/04/2015      0000000587            3986.00             0.00      44398580.00  
141         17/04/2015      0000000401           14991.00             0.00      44413571.00  
142         17/04/2015      0000001597            1548.00             0.00      44415119.00  
143         17/04/2015      0000001572           10028.00             0.00      44425147.00  
144         17/04/2015      0000000512            7318.00             0.00      44432465.00  
