                                        Account Statement-09/2014
DDO:COMMISSIONER(G) MPLTY MTM(05011802001)                      Head of Account:Municipal_GF_Salaries(8448001020003002000NVN)
-----------------------------------------------------------------------------------------------------------
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/09/2014      0000004002           31555.00             0.00      39480974.00  
2           01/09/2014      0000013086               0.00       1693868.00      37787106.00  
3           01/09/2014      0000004005          110170.00             0.00      37897276.00  
4           01/09/2014      0000013085               0.00        427000.00      37470276.00  
5           02/09/2014      0000003915            3122.00             0.00      37473398.00  
6           02/09/2014      0000003940           56985.00             0.00      37530383.00  
7           02/09/2014      0000013220               0.00         28500.00      37501883.00  
8           02/09/2014      0000004059           85240.00             0.00      37587123.00  
9           02/09/2014      0000004056           16322.00             0.00      37603445.00  
10          03/09/2014      0000004004           11659.00             0.00      37615104.00  
11          03/09/2014      0000004089           36885.00             0.00      37651989.00  
12          03/09/2014      0000013351               0.00        896364.00      36755625.00  
13          04/09/2014      0000004141          103320.00             0.00      36858945.00  
14          04/09/2014      0000004111           54180.00             0.00      36913125.00  
15          04/09/2014      0000004151           75169.00             0.00      36988294.00  
16          05/09/2014      0000004173          120828.00             0.00      37109122.00  
17          05/09/2014      0000004207          238395.00             0.00      37347517.00  
18          06/09/2014      0000013622               0.00        113154.00      37234363.00  
19          06/09/2014      0000004214           40857.00             0.00      37275220.00  
20          08/09/2014      0000013756               0.00         23745.00      37251475.00  
21          08/09/2014      0000004233          139530.00             0.00      37391005.00  
22          08/09/2014      0000004229           80033.00             0.00      37471038.00  
23          08/09/2014      0000004221          156825.00             0.00      37627863.00  
24          09/09/2014      0000013791               0.00         30449.00      37597414.00  
25          09/09/2014      0000004273          182370.00             0.00      37779784.00  
26          09/09/2014      0000004246           54363.00             0.00      37834147.00  
27          10/09/2014      0000013891               0.00         57372.00      37776775.00  
28          10/09/2014      0000004277           73398.00             0.00      37850173.00  
29          10/09/2014      0000004284          228555.00             0.00      38078728.00  
30          10/09/2014      0000013892               0.00         56824.00      38021904.00  
31          11/09/2014      0000014110               0.00         46777.00      37975127.00  
32          11/09/2014      0000004297           41087.00             0.00      38016214.00  
33          11/09/2014      0000004252           15000.00             0.00      38031214.00  
34          11/09/2014      0000004318           72585.00             0.00      38103799.00  
35          11/09/2014      0000014109               0.00         39184.00      38064615.00  
36          12/09/2014      0000004334           75478.00             0.00      38140093.00  
37          13/09/2014      0000014199               0.00        134793.00      38005300.00  
38          15/09/2014      0000004357           24135.00             0.00      38029435.00  
39          15/09/2014      0000004368          107475.00             0.00      38136910.00  
40          15/09/2014      0000004367          114480.00             0.00      38251390.00  
41          16/09/2014      0000004379           90231.00             0.00      38341621.00  
42          16/09/2014      0000004401          281745.00             0.00      38623366.00  
43          17/09/2014      0000004407           68488.00             0.00      38691854.00  
44          18/09/2014      0000014303               0.00         11141.00      38680713.00  
45          18/09/2014      0000004455           76507.00             0.00      38757220.00  
46          19/09/2014      0000004477           66526.00             0.00      38823746.00  
47          20/09/2014      0000004495          252660.00             0.00      39076406.00  
48          20/09/2014      0000004507           49470.00             0.00      39125876.00  
49          20/09/2014      0000004494           93675.00             0.00      39219551.00  
50          22/09/2014      0000004527           64622.00             0.00      39284173.00  
51          22/09/2014      0000014818               0.00         91978.00      39192195.00  
52          22/09/2014      0000004490          494057.00             0.00      39686252.00  
53          22/09/2014      0000004535          121680.00             0.00      39807932.00  
54          22/09/2014      0000014822               0.00         27125.00      39780807.00  
55          22/09/2014      0000004519           70515.00             0.00      39851322.00  
56          23/09/2014      0000004529           65601.00             0.00      39916923.00  
57          23/09/2014      0000004542           75026.00             0.00      39991949.00  
58          23/09/2014      0000004551           92610.00             0.00      40084559.00  
59          24/09/2014      0000004591           23270.00             0.00      40107829.00  
60          24/09/2014      0000004572           59225.00             0.00      40167054.00  
61          25/09/2014      0000004599           18043.00             0.00      40185097.00  
62          25/09/2014      0000015223               0.00        215021.00      39970076.00  
63          25/09/2014      0000004603           27135.00             0.00      39997211.00  
64          26/09/2014      0000004630           25718.00             0.00      40022929.00  
65          26/09/2014      0000004634           98460.00             0.00      40121389.00  
66          27/09/2014      0000004641           45424.00             0.00      40166813.00  
67          29/09/2014      0000004669          122250.00             0.00      40289063.00  
68          29/09/2014      0000015303               0.00       1752738.00      38536325.00  
69          29/09/2014      0000015304               0.00        807801.00      37728524.00  
70          29/09/2014      0000004667           42643.00             0.00      37771167.00  
71          29/09/2014      0000004636           35512.00             0.00      37806679.00  
-----------------------------------------------------------------------------------------------------------
        Opening Balance: 39449419.00                      Closing Balance:37806679.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
