                                        Account Statement-02/2015
DDO:SEC AMC VIZIANAGARAM(22010104002)                      Head of Account:Ag_Market_Committee_Funds(8448001200002000000NVN)
                                    Opening Balance:1657929.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           02/02/2015      0000009061            3860.00             0.00       1661789.00  
2           02/02/2015      0000009068             563.00             0.00       1662352.00  
3           02/02/2015      0000009066             750.00             0.00       1663102.00  
4           02/02/2015      0000009065            5654.00             0.00       1668756.00  
5           02/02/2015      0000009063             800.00             0.00       1669556.00  
6           02/02/2015      0000009062            5737.00             0.00       1675293.00  
7           03/02/2015      0000009089            3980.00             0.00       1679273.00  
8           03/02/2015      0000009094            2910.00             0.00       1682183.00  
9           04/02/2015      0000009126          155618.00             0.00       1837801.00  
10          04/02/2015      0000009125             600.00             0.00       1838401.00  
11          04/02/2015      0000009124            3415.00             0.00       1841816.00  
12          05/02/2015      0000009175           13900.00             0.00       1855716.00  
13          05/02/2015      0000009174            5070.00             0.00       1860786.00  
14          05/02/2015      0000009176            1275.00             0.00       1862061.00  
15          05/02/2015      022971                   0.00        454818.00       1407243.00  
16          05/02/2015      022974                   0.00        236539.00       1170704.00  
17          06/02/2015      0000009184            6004.00             0.00       1176708.00  
18          06/02/2015      0000009190            6603.00             0.00       1183311.00  
19          06/02/2015      0000009183            8166.00             0.00       1191477.00  
20          07/02/2015      0000009202            7120.00             0.00       1198597.00  
21          07/02/2015      0000009205              30.00             0.00       1198627.00  
22          07/02/2015      0000009203              50.00             0.00       1198677.00  
23          09/02/2015      0000009211            1000.00             0.00       1199677.00  
24          09/02/2015      0000009208            9128.00             0.00       1208805.00  
25          09/02/2015      0000009209            8070.00             0.00       1216875.00  
26          09/02/2015      0000009218             544.00             0.00       1217419.00  
27          09/02/2015      0000009219              60.00             0.00       1217479.00  
28          10/02/2015      0000009274            4211.00             0.00       1221690.00  
29          11/02/2015      0000009316             500.00             0.00       1222190.00  
30          11/02/2015      0000009332            5032.00             0.00       1227222.00  
31          11/02/2015      0000009319          100030.00             0.00       1327252.00  
32          13/02/2015      0000009487            4960.00             0.00       1332212.00  
33          13/02/2015      0000009210            1300.00             0.00       1333512.00  
34          13/02/2015      0000009488              30.00             0.00       1333542.00  
35          13/02/2015      0000009486            7774.00             0.00       1341316.00  
36          14/02/2015      022975                   0.00        125600.00       1215716.00  
37          16/02/2015      0000009498           10576.00             0.00       1226292.00  
38          16/02/2015      0000009502            6885.00             0.00       1233177.00  
39          18/02/2015      0000009552            2091.00             0.00       1235268.00  
40          18/02/2015      0000009550              96.00             0.00       1235364.00  
41          18/02/2015      0000009549           13436.00             0.00       1248800.00  
42          20/02/2015      0000009750             300.00             0.00       1249100.00  
43          20/02/2015      0000009748            9641.00             0.00       1258741.00  
44          20/02/2015      0000009751           89746.00             0.00       1348487.00  
45          21/02/2015      0000009805             800.00             0.00       1349287.00  
46          21/02/2015      0000009800            5010.00             0.00       1354297.00  
47          21/02/2015      0000009801              50.00             0.00       1354347.00  
48          21/02/2015      0000009803          100000.00             0.00       1454347.00  
49          21/02/2015      0000009804            6899.00             0.00       1461246.00  
50          21/02/2015      022976                   0.00         70800.00       1390446.00  
51          23/02/2015      0000009822           34176.00             0.00       1424622.00  
52          23/02/2015      0000009749           23988.00             0.00       1448610.00  
53          23/02/2015      0000009829           51581.00             0.00       1500191.00  
54          23/02/2015      0000009828            8972.00             0.00       1509163.00  
55          23/02/2015      0000009825             210.00             0.00       1509373.00  
56          24/02/2015      0000009888           21229.00             0.00       1530602.00  
-----------------------------------------------------------------------------------------------------------
Total Debit: 887757.00		Total Credit: 760430.00		Closing Balance:1530602.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
