                                        Account Statement-12/2014
DDO:MEM SECY, APS LEGAL SER AUT - AP(27021014001)                      Head of Account:Civil_Court_Deposits(8443001040001000000NVN)
                                    Opening Balance:15351565.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           09/12/2014      0000010667           15295.00             0.00      15366860.00  
2           09/12/2014      0000009227            5000.00             0.00      15371860.00  
3           09/12/2014      0000009228            1000.00             0.00      15372860.00  
4           09/12/2014      0000009229            1000.00             0.00      15373860.00  
5           09/12/2014      0000009231             500.00             0.00      15374360.00  
6           09/12/2014      0000009233             500.00             0.00      15374860.00  
7           09/12/2014      0000009234             500.00             0.00      15375360.00  
8           09/12/2014      0000009235             500.00             0.00      15375860.00  
9           09/12/2014      0000009237             200.00             0.00      15376060.00  
10          09/12/2014      0000009238             200.00             0.00      15376260.00  
11          09/12/2014      0000009240             200.00             0.00      15376460.00  
12          09/12/2014      0000009242             100.00             0.00      15376560.00  
13          09/12/2014      0000009243             100.00             0.00      15376660.00  
14          09/12/2014      0000009245             100.00             0.00      15376760.00  
15          09/12/2014      0000009246             400.00             0.00      15377160.00  
16          09/12/2014      0000009249             400.00             0.00      15377560.00  
17          09/12/2014      0000009250             400.00             0.00      15377960.00  
18          09/12/2014      0000009252            1500.00             0.00      15379460.00  
19          09/12/2014      0000009253             600.00             0.00      15380060.00  
20          09/12/2014      0000009254             350.00             0.00      15380410.00  
21          09/12/2014      0000009256             300.00             0.00      15380710.00  
22          12/12/2014      0000010502           34359.00             0.00      15415069.00  
23          12/12/2014      0000010518             100.00             0.00      15415169.00  
24          12/12/2014      0000010520             100.00             0.00      15415269.00  
25          12/12/2014      0000010522            1000.00             0.00      15416269.00  
26          12/12/2014      0000010523             200.00             0.00      15416469.00  
27          12/12/2014      0000010526             500.00             0.00      15416969.00  
28          12/12/2014      0000010527             500.00             0.00      15417469.00  
29          12/12/2014      0000010528             500.00             0.00      15417969.00  
30          12/12/2014      0000010529             500.00             0.00      15418469.00  
31          12/12/2014      0000010531             500.00             0.00      15418969.00  
32          12/12/2014      0000010534             500.00             0.00      15419469.00  
33          12/12/2014      0000010536             500.00             0.00      15419969.00  
34          12/12/2014      0000010538             500.00             0.00      15420469.00  
35          12/12/2014      0000010539             500.00             0.00      15420969.00  
36          12/12/2014      0000010540             500.00             0.00      15421469.00  
37          12/12/2014      0000010541             500.00             0.00      15421969.00  
38          12/12/2014      0000010542             500.00             0.00      15422469.00  
39          12/12/2014      0000010544            1000.00             0.00      15423469.00  
40          12/12/2014      0000010546            1000.00             0.00      15424469.00  
41          12/12/2014      0000010548            2500.00             0.00      15426969.00  
42          12/12/2014      0000010550            1000.00             0.00      15427969.00  
43          12/12/2014      0000010551             500.00             0.00      15428469.00  
44          12/12/2014      0000010552            1000.00             0.00      15429469.00  
45          12/12/2014      0000010553             500.00             0.00      15429969.00  
46          12/12/2014      0000010554             500.00             0.00      15430469.00  
47          12/12/2014      0000010555             100.00             0.00      15430569.00  
-----------------------------------------------------------------------------------------------------------
Total Debit: 0.00		Total Credit: 79004.00		Closing Balance:15430569.00
-----------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------
