                                        Account Statement-02/2015
DDO:PROH & EXCISE, Commissioner - AP(27022304001)                      Head of Account:AP Brewaries(8443008000009000000NVN)
                                    Opening Balance:4055680284.00
S.No        Date            Chq/Trans              Credit            Debit          Balance
-----------------------------------------------------------------------------------------------------------
1           01/02/2015      1500119483          170000.00             0.00    4055850284.00  
2           01/02/2015      1500119139           15000.00             0.00    4055865284.00  
3           01/02/2015      1500119475          700000.00             0.00    4056565284.00  
4           01/02/2015      1500119251          370000.00             0.00    4056935284.00  
5           01/02/2015      1500119451          150000.00             0.00    4057085284.00  
6           01/02/2015      1500119494          200000.00             0.00    4057285284.00  
7           01/02/2015      1500119496          300000.00             0.00    4057585284.00  
8           01/02/2015      1500119499          100000.00             0.00    4057685284.00  
9           01/02/2015      1500119427          250000.00             0.00    4057935284.00  
10          01/02/2015      1500119476          500000.00             0.00    4058435284.00  
11          01/02/2015      1500119297          280000.00             0.00    4058715284.00  
12          01/02/2015      1500119256          250000.00             0.00    4058965284.00  
13          01/02/2015      1500119196              10.00             0.00    4058965294.00  
14          01/02/2015      1500119336          206000.00             0.00    4059171294.00  
15          01/02/2015      1500119456          300000.00             0.00    4059471294.00  
16          01/02/2015      1500119479           70000.00             0.00    4059541294.00  
17          02/02/2015      1500121877          100000.00             0.00    4059641294.00  
18          02/02/2015      1500120258           50000.00             0.00    4059691294.00  
19          02/02/2015      1500120506          110000.00             0.00    4059801294.00  
20          02/02/2015      1500119870          230000.00             0.00    4060031294.00  
21          02/02/2015      1500120444           50000.00             0.00    4060081294.00  
22          02/02/2015      1500121756           60000.00             0.00    4060141294.00  
23          02/02/2015      1500121885          100000.00             0.00    4060241294.00  
24          02/02/2015      1500121896           90000.00             0.00    4060331294.00  
25          02/02/2015      1500121762          500000.00             0.00    4060831294.00  
26          02/02/2015      1500121906          120000.00             0.00    4060951294.00  
27          02/02/2015      1500121918          230000.00             0.00    4061181294.00  
28          02/02/2015      1500120454          250000.00             0.00    4061431294.00  
29          02/02/2015      1500121773          150000.00             0.00    4061581294.00  
30          02/02/2015      1500121946           93000.00             0.00    4061674294.00  
31          02/02/2015      1500121988          100000.00             0.00    4061774294.00  
32          02/02/2015      1500121778          570000.00             0.00    4062344294.00  
33          02/02/2015      1500122161          100000.00             0.00    4062444294.00  
34          02/02/2015      1500122182           10250.00             0.00    4062454544.00  
35          02/02/2015      1500119878          140000.00             0.00    4062594544.00  
36          02/02/2015      1500120457           50000.00             0.00    4062644544.00  
37          02/02/2015      1500121782          138000.00             0.00    4062782544.00  
38          02/02/2015      1500122194           10250.00             0.00    4062792794.00  
39          02/02/2015      1500122198           29500.00             0.00    4062822294.00  
40          02/02/2015      1500121785          110000.00             0.00    4062932294.00  
41          02/02/2015      1500122567           50000.00             0.00    4062982294.00  
42          02/02/2015      1500122658         1000000.00             0.00    4063982294.00  
43          02/02/2015      1500120460          365000.00             0.00    4064347294.00  
44          02/02/2015      1500121795          225000.00             0.00    4064572294.00  
45          02/02/2015      1500119772          150000.00             0.00    4064722294.00  
46          02/02/2015      1500119931          250000.00             0.00    4064972294.00  
47          02/02/2015      1500121797          230000.00             0.00    4065202294.00  
48          02/02/2015      1500120058          180000.00             0.00    4065382294.00  
49          02/02/2015      1500119715          100000.00             0.00    4065482294.00  
50          02/02/2015      1500120503           80000.00             0.00    4065562294.00  
51          02/02/2015      1500119880          400000.00             0.00    4065962294.00  
52          02/02/2015      1500120465          300000.00             0.00    4066262294.00  
53          02/02/2015      1500121798          500000.00             0.00    4066762294.00  
54          02/02/2015      1500120044          100000.00             0.00    4066862294.00  
55          02/02/2015      1500120199          500000.00             0.00    4067362294.00  
56          02/02/2015      1500121804           50000.00             0.00    4067412294.00  
57          02/02/2015      1500120239          100000.00             0.00    4067512294.00  
58          02/02/2015      1500120274          200000.00             0.00    4067712294.00  
59          02/02/2015      1500120467           50000.00             0.00    4067762294.00  
60          02/02/2015      1500121805           50000.00             0.00    4067812294.00  
61          02/02/2015      1500120392          150000.00             0.00    4067962294.00  
62          02/02/2015      1500120420          100000.00             0.00    4068062294.00  
63          02/02/2015      1500121811           50000.00             0.00    4068112294.00  
64          02/02/2015      1500120429          400000.00             0.00    4068512294.00  
65          02/02/2015      1500120883          350000.00             0.00    4068862294.00  
66          02/02/2015      1500119890          340000.00             0.00    4069202294.00  
67          02/02/2015      1500120471          420000.00             0.00    4069622294.00  
68          02/02/2015      1500121812           50000.00             0.00    4069672294.00  
69          02/02/2015      1500121064           40000.00             0.00    4069712294.00  
70          02/02/2015      1500121136          300000.00             0.00    4070012294.00  
71          02/02/2015      1500121813            9180.00             0.00    4070021474.00  
72          02/02/2015      1500121142          145000.00             0.00    4070166474.00  
