S.No,DDOCODE,HOA,"ACCOUNT TYPE","BALANCE(in Rs.)","LOC(in Rs.)"
1,27021207001,8443001060001000000NVN,LOC,454638,226360
2,27020803001,8443008000027000000NVN,LOC,254850,229000
3,27022403001,8448001100043000000NVN,LOC,351015334,310087271
4,27022002001,8448001200022000000NVN,LOC,20816911,20816911
5,27022501008,8449001200002101000NVN,LOC,21369000,21369000
6,27020404001,8449001200022000000NVN,LOC,0,0
7,27020107002,8449001200063000000NVN,LOC,239890311,7119038
8,27022501010,8449001200002103000NVN,LOC,21369000,21369000
9,27022501011,8449001200033000000NVN,LOC,21750000,21750000
10,27021102002,8443008000001000000NVN,LOC,0,0
11,27022501002,8449001200031000000NVN,LOC,73406000,73406000
12,27020913001,8449001200071000000NVN,LOC,1353749240,922011383
13,27020317001,8443001230001000000NVN,LOC,100947746,4833320
14,27022207003,8448001100044000000NVN,LOC,0,0
15,27020302001,8448001100045000000NVN,LOC,0,0
16,27021334001,8449001200059000000NVN,LOC,0,0
17,27021906001,8448001100032000000NVN,LOC,1000927,1000927
18,27020308001,8448001100034000000NVN,LOC,10977082,9144567
19,27021226001,8342001030009000000NVN,LOC,90354,90354
20,27020107001,8449001200062000000NVN,LOC,70827000,0
21,27022501006,8449001200082000000NVN,LOC,21750000,21750000
22,27020901004,8449001200097000000NVN,LOC,0,0
23,27020111001,8448001100026000000NVN,LOC,47500000,0
24,27020602002,8449001200053002000NVN,LOC,563558242,532651270
25,27022304001,8443008000009000000NVN,LOC,1966619866,925613162
26,27022808001,8448001100029000000NVN,LOC,6188822,1688822
27,27021301002,8449001200036000000NVN,LOC,0,0
28,27020202001,8449001200009000000NVN,LOC,165150000,0
29,27021307001,8449001200093000000NVN,LOC,24451536,17818215
30,27021014001,8443001040001000000NVN,LOC,15573679,-15500
31,27020902001,8443001060001000000NVN,LOC,7175169,5382600
32,27020901003,8443008000028000000NVN,LOC,400000100,400000000
33,27021901001,8448001200005004000NVN,LOC,100,0
34,27022405001,8448001200009000000NVN,LOC,20893261,13325441
35,27022201001,8448001200035000000NVN,LOC,97227366,69041843
36,27021802002,8448001200036000000NVN,LOC,0,0
37,27022501009,8449001200002102000NVN,LOC,36250000,36250000
38,27020815001,8449001200016000000NVN,LOC,24379800,17196181
39,27022407001,8449001200027000000NVN,LOC,225682229,224882229
40,27022806001,8449001200035000000NVN,LOC,8140307,1275325
41,27020901001,8449001200042000000NVN,LOC,657980270,567877920
42,27020603001,8449001200053001000NVN,LOC,0,0
43,27020909001,8449001200061000000NVN,LOC,105514668,88974131
44,27020705001,8342001170004002000NVN,LOC,0,0
45,27020702002,8342001170004002000NVN,LOC,146748971,333
46,27022601001,8449001200047000000NVN,LOC,6018180,0
47,27021305001,8449001200001000000NVN,LOC,386598960,331480424
48,27020705001,8342001170004001000NVN,LOC,0,0
49,27020702002,8342001170004001000NVN,LOC,34517773,9312587
50,27021503001,8342001200009000000NVN,LOC,2582513238,1913979684
51,27020602003,8342001200010000000NVN,LOC,14580000,10935000
52,27021506001,8443001110004000000NVN,LOC,770782,571446
53,27020306001,8443001110006000000NVN,LOC,0,0
54,27022802001,8443008000013000000NVN,LOC,15110136,10677424
55,27020302002,8448001100055000000NVN,LOC,0,0
56,27022503001,8448001100066000000NVN,LOC,13553574,122079
57,27020105001,8448001200002000000NVN,LOC,26034000,0
58,27022402001,8448001200020000000NVN,LOC,1626000,1290000
59,27022207001,8448001200029000000NVN,LOC,182861856,182861856
60,27021301001,8449001200010000000NVN,LOC,73122437,46000077
61,27022707001,8449001200028000000NVN,LOC,21810549,6806331
62,27021905001,8449001200038000000NVN,LOC,382759646,283943212
63,27021905002,8449001200045000000NVN,LOC,713478,0
64,27020407001,8449001200072000000NVN,LOC,0,0
65,27021502001,8449001200077000000NVN,LOC,68521431,49957292
66,27020801001,8443008000002002000NVN,LOC,395724,0
67,27022502001,8449001200019000000NVN,LOC,398257000,398257000
68,27022706001,8449001200032000000NVN,LOC,0,0
69,27021331001,8449001200041000000NVN,LOC,359,364
70,27020204001,8449001200060000000NVN,LOC,113439940,45904050
71,27020406001,8449001200074000000NVN,LOC,0,0
72,27022501005,8449001200080000000NVN,LOC,86999000,86999000
73,27022501004,8449001200086000000NVN,LOC,21750000,21750000
74,27021008001,8449001200048000000NVN,LOC,0,0
75,27022501003,8449001200087000000NVN,LOC,21750000,21750000
76,27022501007,8449001200089000000NVN,LOC,21750000,21750000
77,27020103001,8449001200092000000NVN,LOC,1887528593,216387216
78,27021312002,8449001200098000000NVN,LOC,2202728124,2202728124
79,27022211001,8448001200033000000NVN,LOC,0,0
80,27021304001,8449001200025000000NVN,LOC,45000000,0
81,27021901003,8448001200005002000NVN,LOC,2242000,0
82,27021802001,8443001060001000000NVN,LOC,2155576919,2153792533
83,27020801001,8443008000002001000NVN,LOC,2656600951,0
84,27020102001,8449001200005000000NVN,LOC,1577153064,1494625866
85,27020102002,8449001200030000000NVN,LOC,685349336,457176374
86,27022607001,8342001030010000000NVN,LOC,6433428,6433428
87,27020102003,8449001200043000000NVN,LOC,3054270344,3054270344
88,27020304002,8448001100011000000NVN,LOC,0,0
89,27022409001,8448001100024000000NVN,LOC,415447420,359469311
90,27020104001,8448001200002000000NVN,LOC,560401911,8619684
91,27022406001,8449001200014001000NVN,LOC,1535182903,1301480086
92,27021311001,8449001200017000000NVN,LOC,602607483,445606577
93,27022003001,8449001200056000000NVN,LOC,261949140,183104916
94,27021316001,8449001200067000000NVN,LOC,27499765,27024360
