S.No,DDOCODE,HOA,"ACCOUNT TYPE","BALANCE(in Rs.)","LOC(in Rs.)"
1,27021014001,8443001040001000000NVN,LOC,15568046,0
2,27020111001,8448001100026000000NVN,LOC,47500000,10000001
3,27021906002,8443001040001000000NVN,LOC,109985000,0
4,27022501002,8449001200031000000NVN,LOC,73406000,0
5,27021906002,8056000250000000000NVN,"NON LOC",15062443,0
6,27020702002,8342001170004002000NVN,LOC,146748971,0
7,27021906002,8444520000050000000NVN,LOC,239997479,0
8,27021906002,8965350250000000255PVN,"NON LOC",78924059,0
9,27020107002,8449001200063000000NVN,LOC,239890311,0
10,27022501008,8449001200002101000NVN,LOC,21369000,0
11,27022501011,8449001200033000000NVN,LOC,21750000,0
12,27020803001,8443008000027000000NVN,LOC,254850,0
13,27022403001,8448001100043000000NVN,LOC,351015334,0
14,27022002001,8448001200022000000NVN,LOC,20816911,0
15,27022501010,8449001200002103000NVN,LOC,21369000,0
16,27021102002,8443008000001000000NVN,LOC,0,0
17,27021334001,8449001200059000000NVN,LOC,0,0
18,27021226001,8342001030009000000NVN,LOC,90354,0
19,27020107001,8449001200062000000NVN,LOC,70827000,0
20,27022501006,8449001200082000000NVN,LOC,21750000,0
21,27020901004,8449001200097000000NVN,LOC,0,0
22,27020913001,8449001200071000000NVN,LOC,1418620268,0
23,27020317001,8443001230001000000NVN,LOC,100947746,0
24,27022207003,8448001100044000000NVN,LOC,0,0
25,27021906001,8448001100032000000NVN,LOC,1000727,0
26,27020302001,8448001100045000000NVN,LOC,0,0
27,27020308001,8448001100034000000NVN,LOC,10977082,0
28,27020602002,8449001200053002000NVN,LOC,563558242,0
29,27022201001,8448001200035000000NVN,LOC,97227366,0
30,27021802002,8448001200036000000NVN,LOC,0,0
31,27022304001,8443008000009000000NVN,LOC,1966619866,0
32,27021301002,8449001200036000000NVN,LOC,0,0
33,27022808001,8448001100029000000NVN,LOC,6188822,0
34,27021307001,8449001200093000000NVN,LOC,24451536,0
35,27020202001,8449001200009000000NVN,LOC,191394000,0
36,27022501009,8449001200002102000NVN,LOC,36250000,0
37,27020815001,8449001200016000000NVN,LOC,24379800,0
38,27022407001,8449001200027000000NVN,LOC,238399229,0
39,27022806001,8449001200035000000NVN,LOC,8140307,0
40,27020901001,8449001200042000000NVN,LOC,657980270,0
41,27020603001,8449001200053001000NVN,LOC,0,0
42,27020909001,8449001200061000000NVN,LOC,125989568,0
43,27021503001,8342001200009000000NVN,LOC,2582513238,0
44,27022601001,8449001200047000000NVN,LOC,6018180,0
45,27021305001,8449001200001000000NVN,LOC,420558421,0
46,27020705001,8342001170004001000NVN,LOC,0,0
47,27020306001,8443001110006000000NVN,LOC,0,0
48,27020602003,8342001200010000000NVN,LOC,14580000,0
49,27021506001,8443001110004000000NVN,LOC,770782,0
50,27022802001,8443008000013000000NVN,LOC,15110136,0
51,27020406001,8449001200074000000NVN,LOC,0,0
52,27020302002,8448001100055000000NVN,LOC,0,0
53,27022503001,8448001100066000000NVN,LOC,13553574,0
54,27020105001,8448001200002000000NVN,LOC,26034000,0
55,27022402001,8448001200020000000NVN,LOC,1626000,0
56,27022207001,8448001200029000000NVN,LOC,182861856,0
57,27021301001,8449001200010000000NVN,LOC,73122437,0
58,27022707001,8449001200028000000NVN,LOC,21813104,0
59,27021905001,8449001200038000000NVN,LOC,382759646,0
60,27021905002,8449001200045000000NVN,LOC,713478,0
61,27020407001,8449001200072000000NVN,LOC,0,0
62,27021502001,8449001200077000000NVN,LOC,68521431,0
63,27022502001,8449001200019000000NVN,LOC,398257000,0
64,27022706001,8449001200032000000NVN,LOC,0,0
65,27021331001,8449001200041000000NVN,LOC,359,0
66,27020204001,8449001200060000000NVN,LOC,113439940,0
67,27022501005,8449001200080000000NVN,LOC,86999000,0
68,27022501004,8449001200086000000NVN,LOC,21750000,0
69,27022405001,8448001200009000000NVN,LOC,20893261,0
70,27021008001,8449001200048000000NVN,LOC,0,0
71,27022501003,8449001200087000000NVN,LOC,21750000,0
72,27022501007,8449001200089000000NVN,LOC,21750000,0
73,27020103001,8449001200092000000NVN,LOC,1887528593,0
74,27021312002,8449001200098000000NVN,LOC,2202728124,0
75,27020902001,8443001060001000000NVN,LOC,7175169,0
76,27020901003,8443008000028000000NVN,LOC,400000100,0
77,27021901001,8448001200005004000NVN,LOC,100,0
78,27020705001,8342001170004002000NVN,LOC,0,0
79,27020702002,8342001170004001000NVN,LOC,34517773,0
80,27021901003,8448001200005002000NVN,LOC,2242000,0
81,27020404001,8449001200022000000NVN,LOC,0,0
82,27022607001,8342001030010000000NVN,LOC,112938428,0
83,27020801001,8443008000002002000NVN,LOC,395724,0
84,27021316001,8449001200067000000NVN,LOC,27499765,0
85,27022211001,8448001200033000000NVN,LOC,0,0
86,27022406001,8449001200014001000NVN,LOC,1535182903,0
87,27021802001,8443001060001000000NVN,LOC,2155576919,0
88,27021304001,8449001200025000000NVN,LOC,45000000,0
89,27020801001,8443008000002001000NVN,LOC,2656600951,0
90,27020102001,8449001200005000000NVN,LOC,1577153064,0
91,27020102002,8449001200030000000NVN,LOC,685349336,0
92,27022409001,8448001100024000000NVN,LOC,415447420,0
93,27022003001,8449001200056000000NVN,LOC,261949140,0
94,27021207001,8443001060001000000NVN,LOC,454638,0
95,27020304002,8448001100011000000NVN,LOC,0,0
96,27020104001,8448001200002000000NVN,LOC,560401911,0
97,27020102003,8449001200043000000NVN,LOC,3054270344,0
98,27021311001,8449001200017000000NVN,LOC,602607483,0
