DDO Code,DDO Designation
01010102004,"AGRL DEPT, JT DIRECTOR, SRIKAKULAM"
01010104002,"AGRL MARKETING COMMITTEE, SECY, SRIKAKULAM"
01010302001,"POLYTECHNIC COLLEGE (W), GOVT, ACCOUNTS OFFICER, SRIKAKULAM"
01010302002,"POLYTECHNIC COLLEGE, GOVT,ACCOUNTS OFFICER, SRIKAKULAM"
01010304001,"DEGREE COLLEGE, GOVT, SRIKAKULAM"
01010304002,"DEG COLLEGE (W), GOVT, SRIKAKULAM"
01010307001,"JUNIOR COLLEGE, KG, PRL, CPATNAM"
01010308004,"HIGH SCHOOL, GG, HEAD MASTER, SRIKAKULAM"
01010308005,"HIGH SCHOOL, GG, HEAD MASTER, SRIKAKULAM"
01010308048,"RMSA, DIST PROJECT COORDINATOR OFFICER, SRIKAKULAM"
01010313001,"ZILLA GRANDHALAYA SAMSTH, SECY, SRIKAKULAM"
01010321001,"REGISTRAR, DR B R AMBEDKAR UNIVERSITY, SRIKAKULAM"
01010506001,"AP TRANSCO, SRIKAKULAM"
01010702001,"DIST TREASURY, DY DIRECTOR, SRIKAKULAM"
01010702002,"DIST TREASURY, ASST TRY OFFECER, SRIKAKULAM"
01010704001,"INSURANCE DEPT, ASST DIRECTOR, SRIKAKULAM"
01010705001,"PAY AND ACCOUNTS OFFICE, SRIKAKULAM"
01010802002,"INF AND PUBLIC RELATIONS, DPRO, SRIKAKULAM"
01010903006,"DIST MEDICAL & HEALTH OFFICE, ADMN OFFICER, SRIKAKULAM"
01010913001,"APMSIDC, EXE ENGINEER, SRIKAKULAM"
01011207001,"GROUND WATER DEPT, DY DIRECTOR, SRIKAKULAM"
01011307001,"MINES & GEOLOGY DEPT, ASST DIRECTOR, SRIKAKULAM"
01011502001,"DIST LEVEL TRAINING CENTRE, ASST DIRECTOR, SRIKAKULAM"
01011502003,"ITI FOR GIRLS, GOVT, PRL, SRIKAKULAM"
01011503001,"LABOUR DEPT, ASSTCOMMISSIONER, SRIKAKULAM"
01011603001,"JUDICIAL MAGISTRATE, I-CLASS, SMC, SRIKAKULAM"
01011603004,"DIST COURT, AO, SRIKAKULAM"
01011603005,"ADDL JUDICIAL I CLASS MAGISTRATE, SRIKAKULAM"
01011603006,"SPECIAL JUDICIAL MAGISTRATE-II CLASS, SRIKAKULAM"
01011603007,"OFFICIAL RECIVER COURT, SRIKAKULAM"
01011603008,"PRL JUNIOR CIVIL JUDGE, SRIKAKULAM"
01011603009,"PRL SENIOR CIVIL JUDGE, SRIKAKULAM"
01011603010,SJM1ST CLEXCOURT SRIKAKULAM
01011603015,"DIST LEGAL SERVICES AUTHORITY, CHAIRMAN CUM DIST JUDGE, SRIKAKULAM"
01011603016,"DIST CONSUMER FORUM, PRDT, SRIKAKULAM"
01011603017,"DIST JUDGE, SRIKAKULAM"
01011603020,"FAMILY COURT, JUDGE, SRIKAKULAM"
01011802001,"MUNICIPAL COMMISSIONER, SRIKAKULAM"
01012002001,"PLANING DEPT, CHIEF PLG OFFICER, SRIKAKULAM"
01012002002,"PLANING DEPT, ASST DIRECTOR, O/o CPO, SRIKAKULAM"
01012202002,"ZILLA PARISHAD, CHIEF EXE OFFICER, SRIKAKULAM"
01012202003,"ZILLA PARISHAD, PEO, SRIKAKULAM"
01012202006,"ZILLA PARISHAD, DY CHIEF EXE OFFICER, SRIKAKULAM"
01012202010,"PRI DIVN, EXE ENGINEER, SRIKAKULAM"
01012202014,"PIU DIVN, EXE ENGINEER, SRIKAKULAM"
01012203001,"RWS&S, EXE ENGINEER, SRIKAKULAM"
01012207001,"DIST RURAL DEV AGENCY, PROJECT DIR, SRIKAKULAM"
01012207003,"DIST WATER MNGMT AGENCY, PROJECT DIR, SRIKAKULAM"
01012302001,"COLLECTORATE, ADMN OFFICER, SRIKAKULAM"
01012302002,"REVENUE DIVL OFFICE, ADMN OFFICER, SRIKAKULAM"
01012302003,"DY MANDAL REVENUE OFFICER, SRIKAKULAM"
01012302004,"MANDAL REVENUE OFFICER, GARA"
01012308001,"DIST REGISTRAR, SRIKAKULAM"
01012406002,"APEWIDC, EXE ENGINEER, SRIKAKULAM"
01012503003,"DIST BACKWARD CLASSES WELFARE OFFICER, SRIKAKULAM"
01012603001,"TRANSPORT DEPT, RTO, SRIKAKULAM"
